,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L170,build_options,setup.build_ext_options.build_options~Fn,L168,L103,/content/spaCy/setup.py,94,5,102,13,0,0,0,9,9,3,0,0,0,0,4,1,0,0,9,9,4,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
1,L176,build_extensions,setup.build_ext_subclass.build_extensions~Fn,L174,L103,/content/spaCy/setup.py,106,5,110,40,0,0,0,5,5,3,0,0,0,1,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.8,48.6,0.009,9,8,2.7,27.0
2,L313,__enter__,benchmark_speed.time_context.__enter__~Fn,L310,L103,/content/spaCy/spacy/cli/benchmark_speed.py,67,5,69,19,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L317,__exit__,benchmark_speed.time_context.__exit__~Fn,L310,L103,/content/spaCy/spacy/cli/benchmark_speed.py,71,5,72,55,0,0,0,2,2,1,0,0,0,0,1,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
4,L329,__init__,benchmark_speed.Quartiles.__init__~Fn,L322,L103,/content/spaCy/spacy/cli/benchmark_speed.py,84,5,88,36,0,0,0,5,5,1,0,0,0,0,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
5,L1079,__init__,render.SpanRenderer.__init__~Fn,L1075,L103,/content/spaCy/spacy/displacy/render.py,57,5,100,57,0,11,4,31,44,6,0,0,0,0,28,2,0,11,31,44,28,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
6,L1085,render,render.SpanRenderer.render~Fn,L1075,L103,/content/spaCy/spacy/displacy/render.py,102,5,127,21,0,7,7,18,26,5,0,0,0,1,14,4,0,7,18,26,14,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
7,L1091,render_spans,render.SpanRenderer.render_spans~Fn,L1075,L103,/content/spaCy/spacy/displacy/render.py,129,5,150,21,0,10,10,12,22,2,0,0,0,2,6,4,0,10,12,22,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L1098,_assemble_per_token_info,render.SpanRenderer._assemble_per_token_info~Fn,L1075,L103,/content/spaCy/spacy/displacy/render.py,152,5,221,29,0,22,6,45,70,8,0,0,0,0,27,2,0,22,45,70,27,0,0,0,0,0,0,0,0,0,0,44.03910001730775,3.6666666666666665,257.8547793101622,0.0234413435736511,18,15,14.325265517231234,70.32403072095333
9,L1100,_render_markup,render.SpanRenderer._render_markup~Fn,L1075,L103,/content/spaCy/spacy/displacy/render.py,223,5,248,21,0,4,1,22,26,4,0,0,0,0,11,2,0,4,22,26,11,0,0,0,0,0,0,0,0,0,0,90.56842503028857,3.1666666666666665,421.05238964955953,0.0443213041736378,29,24,23.39179942497553,132.96391252091354
10,L1108,_get_span_slices,render.SpanRenderer._get_span_slices~Fn,L1075,L103,/content/spaCy/spacy/displacy/render.py,250,5,267,35,0,5,1,13,18,2,0,0,0,0,7,2,0,5,13,18,7,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
11,L1112,_get_span_starts,render.SpanRenderer._get_span_starts~Fn,L1075,L103,/content/spaCy/spacy/displacy/render.py,269,5,288,35,0,1,1,19,20,3,0,0,0,0,7,2,0,1,19,20,7,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
12,L1120,__init__,render.DependencyRenderer.__init__~Fn,L1116,L103,/content/spaCy/spacy/displacy/render.py,296,5,314,32,0,8,6,13,19,4,0,0,0,0,12,2,0,8,13,19,12,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
13,L1126,render,render.DependencyRenderer.render~Fn,L1116,L103,/content/spaCy/spacy/displacy/render.py,316,5,349,21,0,9,7,25,34,6,0,0,0,1,19,4,0,9,25,34,19,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
14,L1132,render_svg,render.DependencyRenderer.render_svg~Fn,L1116,L103,/content/spaCy/spacy/displacy/render.py,351,5,389,9,0,7,7,32,39,1,0,0,0,3,10,4,0,7,32,39,10,0,0,0,0,0,0,0,0,0,0,63.35824643629125,1.6,160.1251200553848,0.0333594000115385,24,18,8.895840003076934,100.07820003461548
15,L1139,render_word,render.DependencyRenderer.render_word~Fn,L1116,L103,/content/spaCy/spacy/displacy/render.py,391,5,408,70,0,7,7,11,18,3,0,0,0,0,8,5,0,7,11,18,8,0,0,0,0,0,0,0,0,0,0,54.62919048309069,2.5,183.9358278562653,0.024524777047502,18,17,10.218657103125851,73.57433114250613
16,L1141,render_arrow,render.DependencyRenderer.render_arrow~Fn,L1116,L103,/content/spaCy/spacy/displacy/render.py,410,5,454,9,0,9,9,36,45,9,0,0,0,2,20,6,0,9,36,45,20,0,0,1,0,0,0,0,0,0,1,232.64052645972987,7.763157894736842,3858.7681699061577,0.1656872208547276,89,48,214.37600943923096,497.061662564183
17,L1158,get_arc,render.DependencyRenderer.get_arc~Fn,L1116,L103,/content/spaCy/spacy/displacy/render.py,456,5,468,66,0,8,8,5,13,2,0,0,0,0,4,5,0,8,5,13,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L1160,get_arrowhead,render.DependencyRenderer.get_arrowhead~Fn,L1116,L103,/content/spaCy/spacy/displacy/render.py,470,5,483,88,0,8,8,6,14,2,0,0,0,0,4,5,0,8,6,14,4,0,0,0,0,0,0,0,0,0,0,42.80863530717375,3.272727272727273,448.5756344533322,0.0456882590646912,36,14,24.92086858074068,137.06477719407374
19,L1143,get_levels,render.DependencyRenderer.get_levels~Fn,L1116,L103,/content/spaCy/spacy/displacy/render.py,485,5,501,21,0,6,6,11,17,3,0,0,0,0,10,2,0,6,11,17,10,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
20,L1181,__init__,render.EntityRenderer.__init__~Fn,L1177,L103,/content/spaCy/spacy/displacy/render.py,509,5,539,43,0,6,4,25,31,7,0,0,0,0,22,2,0,6,25,31,22,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
21,L1187,render,render.EntityRenderer.render~Fn,L1177,L103,/content/spaCy/spacy/displacy/render.py,541,5,565,21,0,7,7,18,25,5,0,0,0,1,14,4,0,7,18,25,14,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
22,L1193,render_ents,render.EntityRenderer.render_ents~Fn,L1177,L103,/content/spaCy/spacy/displacy/render.py,567,5,613,21,0,7,6,41,47,12,0,0,0,0,32,4,0,7,41,47,32,0,0,1,0,0,1,1,0,0,0,134.03910001730776,6.0,1620.0,0.09,54,32,90.0,270.0
23,L1226,__getattribute__,errors.ErrorsWithCodes.__getattribute__~Fn,L1224,L103,/content/spaCy/spacy/errors.py,7,5,12,62,0,1,0,6,6,2,0,0,0,0,4,2,0,1,6,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
24,L1633,__init__,errors.MatchPatternError.__init__~Fn,L1631,L103,/content/spaCy/spacy/errors.py,1006,5,1017,38,0,6,6,6,12,2,0,0,0,0,5,3,0,6,6,12,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
25,L1842,get_lookups_config,lemmatizer.CatalanLemmatizer.get_lookups_config~Fn,L1839,L103,/content/spaCy/spacy/lang/ca/lemmatizer.py,18,5,24,51,0,0,0,7,7,2,0,0,0,0,4,2,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
26,L1845,rule_lemmatize,lemmatizer.CatalanLemmatizer.rule_lemmatize~Fn,L1839,L103,/content/spaCy/spacy/lang/ca/lemmatizer.py,26,5,81,20,0,1,0,54,56,14,0,0,0,0,40,2,0,1,54,56,40,0,0,1,0,0,1,1,0,0,0,101.9483369020742,3.75,705.0659577211638,0.0626725295752145,40,26,39.1703309845091,188.0175887256437
27,L2137,rule_lemmatize,lemmatizer.GreekLemmatizer.rule_lemmatize~Fn,L2134,L103,/content/spaCy/spacy/lang/el/lemmatizer.py,18,5,62,20,0,5,5,38,45,12,0,0,0,0,36,2,0,5,38,45,36,0,0,1,0,0,1,1,0,0,0,70.2129994085646,3.1666666666666665,424.2692746481094,0.0446599236471694,31,20,23.570515258228298,133.97977094150824
