,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L186,__init__,torchvision_imagenet_R_50.ClassificationNet.__init__~Fn,L184,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,50,5,52,26,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L191,device,torchvision_imagenet_R_50.ClassificationNet.device~Fn,L184,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,54,5,56,54,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L193,forward,torchvision_imagenet_R_50.ClassificationNet.forward~Fn,L184,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,58,5,65,23,0,0,0,8,8,2,0,0,0,0,6,2,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L198,reset,torchvision_imagenet_R_50.ClassificationAcc.reset~Fn,L196,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,69,5,70,34,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L202,process,torchvision_imagenet_R_50.ClassificationAcc.process~Fn,L196,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,72,5,75,32,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.0,27.0,0.009,9,8,1.5,27.0
5,L206,evaluate,torchvision_imagenet_R_50.ClassificationAcc.evaluate~Fn,L196,L103,/content/detectron2/configs/Misc/torchvision_imagenet_R_50.py,77,5,81,41,0,0,0,5,5,1,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
6,L420,__init__,predictor.VisualizationDemo.__init__~Fn,L418,L103,/content/detectron2/demo/predictor.py,16,5,35,50,0,7,7,12,20,3,0,0,0,0,8,4,0,7,12,20,8,0,0,0,0,0,0,0,0,0,0,10.0,1.5,34.89699375973561,0.0077548875021634,9,6,1.938721875540867,23.264662506490403
7,L431,run_on_image,predictor.VisualizationDemo.run_on_image~Fn,L418,L103,/content/detectron2/demo/predictor.py,37,5,66,38,0,10,9,19,30,4,0,0,0,0,13,2,0,10,19,30,13,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.4,43.2332657996871,0.0102936347142112,11,7,2.401848099982617,30.880904142633646
8,L435,_frame_from_video,predictor.VisualizationDemo._frame_from_video~Fn,L418,L103,/content/detectron2/demo/predictor.py,68,5,74,21,0,0,0,7,7,3,0,0,0,0,5,2,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L438,run_on_video,predictor.VisualizationDemo.run_on_video~Fn,L418,L103,/content/detectron2/demo/predictor.py,76,5,129,71,0,10,10,20,36,6,0,0,0,2,18,2,0,11,36,54,29,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.3333333333333333,48.0,0.012,12,8,2.6666666666666665,36.0
10,L462,__init__,predictor.AsyncPredictor.__init__~Fn,L422,L103,/content/detectron2/demo/predictor.py,160,5,185,38,0,5,5,19,26,4,0,0,0,0,16,3,0,5,19,26,16,0,0,0,0,0,0,0,0,0,0,10.0,1.5,34.89699375973561,0.0077548875021634,9,6,1.938721875540867,23.264662506490403
11,L467,put,predictor.AsyncPredictor.put~Fn,L422,L103,/content/detectron2/demo/predictor.py,187,5,189,50,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
12,L470,get,predictor.AsyncPredictor.get~Fn,L422,L103,/content/detectron2/demo/predictor.py,191,5,205,48,0,2,0,13,15,5,0,0,0,0,12,1,0,2,13,15,12,0,0,0,0,0,0,0,0,0,0,20.264662506490406,2.0,76.0782000346155,0.0126797000057692,12,9,4.226566668589751,38.03910001730775
13,L472,__len__,predictor.AsyncPredictor.__len__~Fn,L422,L103,/content/detectron2/demo/predictor.py,207,5,208,42,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
14,L474,__call__,predictor.AsyncPredictor.__call__~Fn,L422,L103,/content/detectron2/demo/predictor.py,210,5,212,25,0,0,0,3,3,1,0,0,0,2,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L479,shutdown,predictor.AsyncPredictor.shutdown~Fn,L422,L103,/content/detectron2/demo/predictor.py,214,5,216,60,0,0,0,3,3,2,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L481,default_buffer_size,predictor.AsyncPredictor.default_buffer_size~Fn,L422,L103,/content/detectron2/demo/predictor.py,218,5,220,34,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
17,L546,get,catalog.ModelCatalog.get~Fn,L537,L103,/content/detectron2/detectron2/checkpoint/catalog.py,57,5,63,79,0,0,0,7,7,3,0,0,0,2,5,1,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L548,_get_c2_imagenet_pretrained,catalog.ModelCatalog._get_c2_imagenet_pretrained~Fn,L537,L103,/content/detectron2/detectron2/checkpoint/catalog.py,65,5,71,18,0,0,0,7,7,1,0,0,0,0,5,1,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L550,_get_c2_detectron_baseline,catalog.ModelCatalog._get_c2_detectron_baseline~Fn,L537,L103,/content/detectron2/detectron2/checkpoint/catalog.py,73,5,92,18,0,2,0,16,20,3,0,0,0,0,10,1,0,2,16,20,10,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
20,L564,_get_supported_prefixes,catalog.ModelCatalogHandler._get_supported_prefixes~Fn,L560,L103,/content/detectron2/detectron2/checkpoint/catalog.py,102,5,103,28,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L569,_get_local_path,catalog.ModelCatalogHandler._get_local_path~Fn,L560,L103,/content/detectron2/detectron2/checkpoint/catalog.py,105,5,109,65,0,0,0,5,5,1,0,0,0,1,4,3,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L574,_open,catalog.ModelCatalogHandler._open~Fn,L560,L103,/content/detectron2/detectron2/checkpoint/catalog.py,111,5,112,75,0,0,0,2,2,1,0,0,0,1,1,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
23,L586,__init__,detection_checkpoint.DetectionCheckpointer.__init__~Fn,L583,L103,/content/detectron2/detectron2/checkpoint/detection_checkpoint.py,23,5,32,43,0,0,0,10,10,2,0,0,0,0,4,5,0,0,10,10,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
24,L594,load,detection_checkpoint.DetectionCheckpointer.load~Fn,L583,L103,/content/detectron2/detectron2/checkpoint/detection_checkpoint.py,34,5,68,18,0,5,0,30,35,8,0,0,0,0,26,4,0,5,30,35,26,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.5,59.79470570797253,0.0132877123795494,12,10,3.321928094887363,39.86313713864836
25,L599,_load_file,detection_checkpoint.DetectionCheckpointer._load_file~Fn,L583,L103,/content/detectron2/detectron2/checkpoint/detection_checkpoint.py,70,5,111,21,0,4,0,37,42,9,0,0,0,1,27,2,0,4,37,42,27,0,0,0,0,0,0,0,0,0,0,83.65148445440323,4.375,613.5080902902323,0.0467434735459224,31,23,34.0837827939018,140.2304206377674
26,L602,_torch_load,detection_checkpoint.DetectionCheckpointer._torch_load~Fn,L583,L103,/content/detectron2/detectron2/checkpoint/detection_checkpoint.py,113,5,114,36,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
27,L606,_load_model,detection_checkpoint.DetectionCheckpointer._load_model~Fn,L583,L103,/content/detectron2/detectron2/checkpoint/detection_checkpoint.py,116,5,143,27,0,7,0,20,28,7,0,0,0,0,14,2,0,7,20,28,14,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.2,30.319433158222125,0.0084220647661728,9,7,1.6844129532345624,25.26619429851844
28,L651,upgrade,compat._RenameConverter.upgrade~Fn,L647,L103,/content/detectron2/detectron2/config/compat.py,153,5,156,34,0,0,0,4,4,2,0,0,0,1,2,2,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
29,L655,downgrade,compat._RenameConverter.downgrade~Fn,L647,L103,/content/detectron2/detectron2/config/compat.py,158,5,161,34,0,0,0,4,4,2,0,0,0,1,2,2,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
30,L667,upgrade,compat.ConverterV2.upgrade~Fn,L663,L103,/content/detectron2/detectron2/config/compat.py,203,5,219,55,0,0,0,16,17,2,0,0,0,1,11,2,0,0,16,17,11,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
31,L670,downgrade,compat.ConverterV2.downgrade~Fn,L663,L103,/content/detectron2/detectron2/config/compat.py,221,5,229,47,0,1,0,8,9,1,0,0,0,1,6,2,0,1,8,9,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
32,L679,_open_cfg,config.CfgNode._open_cfg~Fn,L676,L103,/content/detectron2/detectron2/config/config.py,32,5,34,46,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
33,L682,merge_from_file,config.CfgNode.merge_from_file~Fn,L676,L103,/content/detectron2/detectron2/config/config.py,37,5,85,35,0,11,7,32,49,3,0,0,0,0,21,3,0,11,32,49,21,0,0,0,0,0,0,0,0,0,0,12.75488750216347,3.0,101.06477719407376,0.0112294196882304,12,7,5.614709844115208,33.68825906469125
