,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L256,__init__,arguments.Arguments.__init__~Fn,L253,L103,/content/freqtrade/freqtrade/commands/arguments.py,280,5,282,52,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
1,L261,get_parsed_arg,arguments.Arguments.get_parsed_arg~Fn,L253,L103,/content/freqtrade/freqtrade/commands/arguments.py,284,5,293,37,0,4,4,5,10,2,0,0,0,2,4,1,0,4,5,10,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L264,_parse_args,arguments.Arguments._parse_args~Fn,L253,L103,/content/freqtrade/freqtrade/commands/arguments.py,295,5,322,25,0,9,3,16,28,9,0,0,0,0,13,1,0,9,16,28,13,0,0,0,0,0,0,0,0,0,0,94.71013448036484,4.861111111111111,857.8234350556087,0.0588221784038131,38,25,47.65685750308937,176.46653521143952
3,L270,_build_args,arguments.Arguments._build_args~Fn,L253,L103,/content/freqtrade/freqtrade/commands/arguments.py,324,5,329,65,0,0,0,6,6,2,0,0,0,0,3,3,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L266,_build_subcommands,arguments.Arguments._build_subcommands~Fn,L253,L103,/content/freqtrade/freqtrade/commands/arguments.py,331,5,672,91,0,42,4,261,342,1,0,0,0,1,109,1,0,42,261,342,109,0,0,5,0,0,1,0,0,0,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L296,__init__,cli_options.Arg.__init__~Fn,L294,L103,/content/freqtrade/freqtrade/commands/cli_options.py,38,5,40,28,0,1,0,3,3,1,0,0,0,0,2,3,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L593,__init__,configuration.Configuration.__init__~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,40,5,43,30,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
7,L599,get_config,configuration.Configuration.get_config~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,45,5,53,26,0,4,4,4,9,2,0,0,0,1,3,1,0,4,4,9,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L604,from_files,configuration.Configuration.from_files~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,55,5,69,29,0,11,10,4,15,1,0,0,0,1,2,1,0,11,4,15,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L602,load_config,configuration.Configuration.load_config~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,71,5,124,21,0,10,4,25,54,4,0,0,0,10,24,1,0,10,25,54,24,0,0,0,0,0,0,0,0,0,0,11.60964047443681,0.6,13.95879750389424,0.0077548875021634,9,6,0.7754887502163467,23.264662506490403
10,L610,_process_logging_options,configuration.Configuration._process_logging_options~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,126,5,137,29,0,5,4,5,12,3,0,0,0,0,4,2,0,5,5,12,4,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
11,L612,_process_trading_options,configuration.Configuration._process_trading_options~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,139,5,153,80,0,1,0,12,15,5,0,0,0,0,10,2,0,1,12,15,10,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
12,L614,_process_common_options,configuration.Configuration._process_common_options~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,155,5,181,59,0,2,0,20,27,9,0,0,0,1,11,2,0,2,20,27,11,0,0,0,0,0,0,0,0,0,0,59.71535681027101,2.6923076923076925,235.7611443123153,0.0291894750100961,21,18,13.097841350684185,87.56842503028855
13,L639,_process_datadir_options,configuration.Configuration._process_datadir_options~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,183,5,222,13,0,7,4,27,40,9,0,0,0,1,19,2,0,7,27,40,19,0,0,0,0,0,0,0,0,0,0,61.30296890880645,2.2857142857142856,228.75017150769253,0.0333594000115385,24,18,12.708342861538474,100.07820003461548
14,L616,_process_optimize_options,configuration.Configuration._process_optimize_options~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,224,5,363,57,0,5,0,120,140,13,0,0,0,3,38,2,0,5,120,140,38,0,0,4,0,0,1,1,0,0,3,75.60964047443682,2.8125,345.8949970438274,0.0409949626126017,28,21,19.21638872465708,122.9848878378053
15,L618,_process_plot_options,configuration.Configuration._process_plot_options~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,365,5,386,57,0,0,0,22,22,1,0,0,0,1,2,2,0,0,22,22,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L620,_process_data_options,configuration.Configuration._process_data_options~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,388,5,402,9,0,0,0,15,15,4,0,0,0,1,6,2,0,0,15,15,6,0,0,0,0,0,0,0,0,0,0,11.60964047443681,0.6,13.95879750389424,0.0077548875021634,9,6,0.7754887502163467,23.264662506490403
17,L622,_process_analyze_options,configuration.Configuration._process_analyze_options~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,404,5,422,57,0,1,0,18,19,1,0,0,0,1,2,2,0,1,18,19,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L646,_args_to_config_loop,configuration.Configuration._args_to_config_loop~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,424,5,426,78,0,0,0,3,3,2,0,0,0,1,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L624,_process_runmode,configuration.Configuration._process_runmode~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,428,5,440,48,0,1,0,10,13,3,0,0,0,1,5,2,0,1,10,13,5,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
20,L626,_process_freqai_options,configuration.Configuration._process_freqai_options~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,442,5,451,14,0,0,0,8,10,1,0,0,0,1,3,2,0,0,8,10,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L637,_args_to_config,configuration.Configuration._args_to_config~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,453,5,481,96,0,9,9,20,29,6,0,0,0,0,7,6,0,9,20,29,7,0,0,1,0,0,0,0,0,0,1,33.28421251514428,1.5,69.90676876406255,0.015534837503125,13,12,3.883709375781253,46.60451250937504
22,L628,_resolve_pairs_list,configuration.Configuration._resolve_pairs_list~Fn,L590,L103,/content/freqtrade/freqtrade/configuration/configuration.py,483,5,518,42,0,10,7,23,36,11,0,0,0,0,21,2,0,10,23,36,21,0,0,1,0,0,1,1,0,0,0,56.1057163358342,2.6153846153846154,277.9474732050232,0.0354246779575029,26,17,15.441526289167951,106.27403387250884
23,L787,__init__,timerange.TimeRange.__init__~Fn,L784,L103,/content/freqtrade/freqtrade/configuration/timerange.py,26,5,36,33,0,0,0,11,11,1,0,0,0,0,4,5,0,0,11,11,4,0,0,0,0,0,0,0,0,0,0,2.0,1.0,9.509775004326938,0.0031699250014423,6,3,0.5283208335737188,9.509775004326938
24,L795,startdt,timerange.TimeRange.startdt~Fn,L784,L103,/content/freqtrade/freqtrade/configuration/timerange.py,38,5,42,19,0,0,0,5,5,2,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
25,L797,stopdt,timerange.TimeRange.stopdt~Fn,L784,L103,/content/freqtrade/freqtrade/configuration/timerange.py,44,5,48,19,0,0,0,5,5,2,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
26,L799,timerange_str,timerange.TimeRange.timerange_str~Fn,L784,L103,/content/freqtrade/freqtrade/configuration/timerange.py,50,5,62,32,0,4,4,9,13,3,0,0,0,0,7,1,0,4,9,13,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
