,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L749,__init__,get_rocm.System.__init__~Fn,L747,L103,/content/jax/build/rocm/tools/get_rocm.py,62,5,64,50,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L755,install_packages,get_rocm.System.install_packages~Fn,L747,L103,/content/jax/build/rocm/tools/get_rocm.py,66,5,79,43,0,0,0,12,14,2,0,0,0,0,7,2,0,0,12,14,7,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
2,L758,install_rocm,get_rocm.System.install_rocm~Fn,L747,L103,/content/jax/build/rocm/tools/get_rocm.py,81,5,82,53,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.2,30.319433158222125,0.0084220647661728,9,7,1.6844129532345624,25.26619429851844
3,L894,abstract,Custom_Operation_for_GPUs.RmsNormFwdClass.abstract~Fn,L887,L103,/content/jax/docs/Custom_Operation_for_GPUs.py,302,5,304,67,0,1,0,3,3,1,0,0,0,1,1,3,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L899,lowering,Custom_Operation_for_GPUs.RmsNormFwdClass.lowering~Fn,L887,L103,/content/jax/docs/Custom_Operation_for_GPUs.py,306,5,308,62,0,0,0,3,3,1,0,0,0,1,1,4,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L905,impl,Custom_Operation_for_GPUs.RmsNormFwdClass.impl~Fn,L887,L103,/content/jax/docs/Custom_Operation_for_GPUs.py,310,5,314,26,0,0,0,5,5,1,0,0,0,0,3,3,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
6,L909,batcher,Custom_Operation_for_GPUs.RmsNormFwdClass.batcher~Fn,L887,L103,/content/jax/docs/Custom_Operation_for_GPUs.py,316,5,324,81,0,0,0,8,9,1,0,0,0,1,6,3,0,0,8,9,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
7,L914,infer_sharding_from_operands,Custom_Operation_for_GPUs.RmsNormFwdClass.infer_sharding_from_operands~Fn,L887,L103,/content/jax/docs/Custom_Operation_for_GPUs.py,326,5,339,49,0,3,0,12,14,1,0,0,0,0,8,4,0,3,12,14,8,0,0,0,0,0,0,0,0,0,0,19.651484454403228,0.5714285714285714,20.57142857142857,0.012,12,8,1.1428571428571428,36.0
8,L919,partition,Custom_Operation_for_GPUs.RmsNormFwdClass.partition~Fn,L887,L103,/content/jax/docs/Custom_Operation_for_GPUs.py,341,5,360,58,0,6,0,15,20,1,0,0,0,0,10,4,0,6,15,20,10,0,0,0,0,0,0,0,0,0,0,19.651484454403228,0.5714285714285714,20.57142857142857,0.012,12,8,1.1428571428571428,36.0
9,L933,abstract,Custom_Operation_for_GPUs.RmsNormBwdClass.abstract~Fn,L926,L103,/content/jax/docs/Custom_Operation_for_GPUs.py,371,5,373,74,0,1,0,3,3,1,0,0,0,1,1,5,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L940,lowering,Custom_Operation_for_GPUs.RmsNormBwdClass.lowering~Fn,L926,L103,/content/jax/docs/Custom_Operation_for_GPUs.py,375,5,377,84,0,0,0,3,3,1,0,0,0,1,1,6,0,0,3,3,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L948,impl,Custom_Operation_for_GPUs.RmsNormBwdClass.impl~Fn,L926,L103,/content/jax/docs/Custom_Operation_for_GPUs.py,379,5,383,32,0,0,0,5,5,1,0,0,0,0,3,5,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
