,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L167,__init__,client.Client.__init__~Fn,L164,L103,/content/gradio/client/python/gradio_client/client.py,76,5,206,48,0,15,11,109,131,19,0,0,0,5,65,11,0,15,109,131,65,0,0,5,0,0,2,1,0,0,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L195,close,client.Client.close~Fn,L164,L103,/content/gradio/client/python/gradio_client/client.py,208,5,210,38,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L197,_stream_heartbeat,client.Client._stream_heartbeat~Fn,L164,L103,/content/gradio/client/python/gradio_client/client.py,212,5,233,22,0,0,0,22,22,6,0,0,0,0,13,1,0,0,22,22,13,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L199,stream_messages,client.Client.stream_messages~Fn,L164,L103,/content/gradio/client/python/gradio_client/client.py,235,5,294,19,0,3,0,56,60,14,0,0,0,0,35,2,0,3,56,60,35,0,0,1,0,0,1,1,0,0,0,81.0965087756926,2.5,289.86305521142435,0.0386484073615232,26,22,16.103503067301354,115.94522208456974
4,L202,send_data,client.Client.send_data~Fn,L164,L103,/content/gradio/client/python/gradio_client/client.py,296,5,326,23,0,0,0,20,25,5,0,0,0,0,12,4,0,0,26,31,16,0,0,0,0,0,0,0,0,0,0,27.651484454403228,2.0,76.10749561002055,0.01268458260167,11,11,4.228194200556697,38.05374780501028
5,L211,duplicate,client.Client.duplicate~Fn,L164,L103,/content/gradio/client/python/gradio_client/client.py,328,5,443,21,0,33,30,84,116,16,0,0,0,0,34,10,0,33,84,116,34,0,0,4,0,0,2,1,0,0,3,40.13896548741762,4.444444444444445,406.1178583528111,0.0304588393764608,24,14,22.56210324182284,91.37651812938248
6,L185,_get_space_state,client.Client._get_space_state~Fn,L164,L103,/content/gradio/client/python/gradio_client/client.py,445,5,449,25,0,0,0,5,5,2,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
7,L224,predict,client.Client.predict~Fn,L164,L103,/content/gradio/client/python/gradio_client/client.py,451,5,476,18,0,15,15,11,26,1,0,0,0,2,2,5,0,15,11,26,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L235,new_helper,client.Client.new_helper~Fn,L164,L103,/content/gradio/client/python/gradio_client/client.py,478,5,484,9,0,0,0,7,7,1,0,0,0,0,1,2,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L231,submit,client.Client.submit~Fn,L164,L103,/content/gradio/client/python/gradio_client/client.py,486,5,559,18,0,20,19,38,66,6,0,0,0,3,17,6,0,20,45,74,21,0,0,1,0,0,0,0,0,0,1,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
