,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L161,__init__,benchmark.BenchmarkRunner.__init__~Fn,L159,L103,/content/pytorch-image-models/benchmark.py,215,5,291,36,0,0,0,73,77,9,0,0,0,2,40,15,0,0,73,77,40,0,0,2,0,0,1,0,0,0,2,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
1,L181,_init_input,benchmark.BenchmarkRunner._init_input~Fn,L159,L103,/content/pytorch-image-models/benchmark.py,293,5,297,99,0,0,0,5,5,2,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L185,__init__,benchmark.InferenceBenchmarkRunner.__init__~Fn,L183,L103,/content/pytorch-image-models/benchmark.py,302,5,310,25,0,0,0,9,9,1,0,0,0,0,2,5,0,0,9,9,2,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
3,L193,run,benchmark.InferenceBenchmarkRunner.run~Fn,L183,L103,/content/pytorch-image-models/benchmark.py,312,5,372,22,0,1,0,47,55,9,0,0,0,4,32,1,0,1,53,61,37,0,0,0,0,0,0,0,0,0,0,33.28421251514428,1.8333333333333333,111.73133127247604,0.0203147875040865,17,12,6.2072961818042245,60.94436251225966
4,L202,__init__,benchmark.TrainBenchmarkRunner.__init__~Fn,L200,L103,/content/pytorch-image-models/benchmark.py,377,5,396,47,0,0,0,17,20,2,0,0,0,0,7,5,0,0,17,20,7,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
5,L210,_gen_target,benchmark.TrainBenchmarkRunner._gen_target~Fn,L200,L103,/content/pytorch-image-models/benchmark.py,398,5,400,110,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
6,L213,run,benchmark.TrainBenchmarkRunner.run~Fn,L200,L103,/content/pytorch-image-models/benchmark.py,402,5,498,22,0,0,0,66,72,7,0,0,0,2,36,1,0,1,91,97,59,0,0,1,0,0,0,0,0,0,1,33.28421251514428,1.8333333333333333,111.73133127247604,0.0203147875040865,17,12,6.2072961818042245,60.94436251225966
7,L221,__init__,benchmark.ProfileRunner.__init__~Fn,L219,L103,/content/pytorch-image-models/benchmark.py,503,5,512,25,0,0,0,10,10,4,0,0,0,0,9,5,0,0,10,10,9,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
8,L229,run,benchmark.ProfileRunner.run~Fn,L219,L103,/content/pytorch-image-models/benchmark.py,514,5,538,22,0,0,0,21,25,3,0,0,0,2,10,1,0,0,21,25,10,0,0,0,0,0,0,0,0,0,0,33.28421251514428,1.8333333333333333,111.73133127247604,0.0203147875040865,17,12,6.2072961818042245,60.94436251225966
9,L396,__init__,test_layers.MLP.__init__~Fn,L394,L103,/content/pytorch-image-models/tests/test_layers.py,15,5,19,37,0,0,0,5,5,1,0,0,0,0,4,3,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
