,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L421,__call__,gallery_order.MplExplicitOrder.__call__~Fn,L418,L103,/content/matplotlib/doc/sphinxext/gallery_order.py,59,5,64,67,0,1,1,5,6,2,0,0,0,0,3,2,0,1,5,6,3,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,18.575424759098897,0.0046438561897747,6,5,1.0319680421721609,13.931568569324174
1,L432,__init__,gallery_order.MplExplicitSubOrder.__init__~Fn,L429,L103,/content/matplotlib/doc/sphinxext/gallery_order.py,110,5,112,53,0,1,0,3,3,1,0,0,0,0,2,2,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L437,__call__,gallery_order.MplExplicitSubOrder.__call__~Fn,L429,L103,/content/matplotlib/doc/sphinxext/gallery_order.py,114,5,120,31,0,2,1,5,7,2,0,0,0,0,3,2,0,2,5,7,3,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,18.575424759098897,0.0046438561897747,6,5,1.0319680421721609,13.931568569324174
3,L505,run,math_symbol_table.MathSymbolTableDirective.run~Fn,L498,L103,/content/matplotlib/doc/sphinxext/math_symbol_table.py,121,5,122,38,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L577,redirects,redirect_from.RedirectFromDomain.redirects~Fn,L572,L103,/content/matplotlib/doc/sphinxext/redirect_from.py,71,5,74,52,0,1,1,3,4,1,0,0,0,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L582,clear_doc,redirect_from.RedirectFromDomain.clear_doc~Fn,L572,L103,/content/matplotlib/doc/sphinxext/redirect_from.py,76,5,77,41,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L585,merge_domaindata,redirect_from.RedirectFromDomain.merge_domaindata~Fn,L572,L103,/content/matplotlib/doc/sphinxext/redirect_from.py,79,5,86,79,0,0,0,8,8,4,0,0,0,0,5,3,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
7,L592,run,redirect_from.RedirectFrom.run~Fn,L589,L103,/content/matplotlib/doc/sphinxext/redirect_from.py,92,5,102,17,0,0,0,11,11,2,0,0,0,0,8,1,0,0,11,11,8,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L773,__init__,bayes_update.UpdateDist.__init__~Fn,L771,L103,/content/matplotlib/galleries/examples/animation/bayes_update.py,28,5,42,60,0,3,0,10,15,1,0,0,0,0,9,3,0,3,10,15,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L779,start,bayes_update.UpdateDist.start~Fn,L771,L103,/content/matplotlib/galleries/examples/animation/bayes_update.py,44,5,47,25,0,2,0,2,4,1,0,0,0,0,1,1,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
