,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L119,__init__,abstract_accelerator.DeepSpeedAccelerator.__init__~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,12,5,15,36,0,0,0,4,4,1,0,0,0,0,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L123,is_synchronized_device,abstract_accelerator.DeepSpeedAccelerator.is_synchronized_device~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,17,5,19,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L126,use_host_timers,abstract_accelerator.DeepSpeedAccelerator.use_host_timers~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,21,5,23,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L129,resolves_data_dependency,abstract_accelerator.DeepSpeedAccelerator.resolves_data_dependency~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,25,5,27,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L132,handles_memory_backpressure,abstract_accelerator.DeepSpeedAccelerator.handles_memory_backpressure~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,29,5,31,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L135,device_name,abstract_accelerator.DeepSpeedAccelerator.device_name~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,34,5,36,11,0,1,0,2,3,1,0,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L139,device,abstract_accelerator.DeepSpeedAccelerator.device~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,38,5,40,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L143,set_device,abstract_accelerator.DeepSpeedAccelerator.set_device~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,42,5,44,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L147,current_device,abstract_accelerator.DeepSpeedAccelerator.current_device~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,46,5,48,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L150,current_device_name,abstract_accelerator.DeepSpeedAccelerator.current_device_name~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,50,5,52,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L153,device_count,abstract_accelerator.DeepSpeedAccelerator.device_count~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,54,5,56,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L156,synchronize,abstract_accelerator.DeepSpeedAccelerator.synchronize~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,58,5,60,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L160,random,abstract_accelerator.DeepSpeedAccelerator.random~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,63,5,65,11,0,1,0,2,3,1,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L163,set_rng_state,abstract_accelerator.DeepSpeedAccelerator.set_rng_state~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,67,5,69,11,0,0,0,2,3,1,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L168,get_rng_state,abstract_accelerator.DeepSpeedAccelerator.get_rng_state~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,71,5,73,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L172,manual_seed,abstract_accelerator.DeepSpeedAccelerator.manual_seed~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,75,5,77,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L176,manual_seed_all,abstract_accelerator.DeepSpeedAccelerator.manual_seed_all~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,79,5,81,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L180,initial_seed,abstract_accelerator.DeepSpeedAccelerator.initial_seed~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,83,5,85,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L183,default_generator,abstract_accelerator.DeepSpeedAccelerator.default_generator~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,87,5,89,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
