,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L183,__init__,download-model.ModelDownloader.__init__~Fn,L181,L103,/content/text-generation-webui/download-model.py,30,5,32,41,0,0,0,3,3,1,0,0,0,1,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L188,get_session,download-model.ModelDownloader.get_session~Fn,L181,L103,/content/text-generation-webui/download-model.py,34,5,52,22,0,0,0,15,19,6,0,0,0,0,13,1,0,0,15,19,13,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.3333333333333333,48.0,0.012,12,8,2.6666666666666665,36.0
2,L191,sanitize_model_and_branch_names,download-model.ModelDownloader.sanitize_model_and_branch_names~Fn,L181,L103,/content/text-generation-webui/download-model.py,54,5,73,28,0,0,0,16,20,7,0,0,0,0,13,3,0,0,16,20,13,0,0,0,0,0,0,0,0,0,0,53.563522809337215,4.090909090909091,401.3145335045788,0.0326997027300027,24,17,22.29525186136549,98.09910819000817
3,L195,get_download_links_from_huggingface,download-model.ModelDownloader.get_download_links_from_huggingface~Fn,L181,L103,/content/text-generation-webui/download-model.py,75,5,169,50,0,6,0,77,95,35,0,0,0,0,75,5,0,6,77,95,75,0,0,2,0,0,1,1,0,0,1,249.1502365442816,8.923076923076923,4656.624865347678,0.1739543771537925,92,51,258.7013814082043,521.8631314613776
4,L201,get_output_folder,download-model.ModelDownloader.get_output_folder~Fn,L181,L103,/content/text-generation-webui/download-model.py,171,5,186,28,0,1,0,12,16,5,0,0,0,0,10,6,0,1,12,16,10,0,0,1,0,0,0,0,0,0,1,31.26112492884004,2.857142857142857,133.15575002678582,0.015534837503125,13,12,7.397541668154768,46.60451250937504
5,L208,get_single_file,download-model.ModelDownloader.get_single_file~Fn,L181,L103,/content/text-generation-webui/download-model.py,188,5,251,85,0,5,0,54,64,11,0,0,0,0,41,4,0,5,54,64,41,0,0,1,0,0,1,1,0,0,0,142.09567279432156,7.413043478260869,1772.538412102591,0.0797035845129219,47,34,98.47435622792172,239.110753538766
6,L213,start_download_threads,download-model.ModelDownloader.start_download_threads~Fn,L181,L103,/content/text-generation-webui/download-model.py,253,5,254,157,0,0,0,2,2,1,0,0,0,1,1,5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L220,download_model_files,download-model.ModelDownloader.download_model_files~Fn,L181,L103,/content/text-generation-webui/download-model.py,256,5,279,113,0,1,0,17,24,4,0,0,0,0,13,11,0,1,17,24,13,0,0,1,0,0,1,0,0,0,1,20.264662506490406,1.75,61.02105627776452,0.0116230583386218,11,9,3.3900586820980285,34.86917501586544
8,L232,check_model_files,download-model.ModelDownloader.check_model_files~Fn,L181,L103,/content/text-generation-webui/download-model.py,281,5,304,90,0,1,0,20,24,5,0,0,0,0,17,6,0,1,20,24,17,0,0,1,0,0,0,0,0,0,1,20.264662506490406,1.75,61.02105627776452,0.0116230583386218,11,9,3.3900586820980285,34.86917501586544
9,L317,__init__,custom_scheduler.FPNEFtuneTrainer.__init__~Fn,L315,L103,/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py,264,5,268,56,0,0,0,5,5,2,0,0,0,1,4,5,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
10,L325,_activate_neftune,custom_scheduler.FPNEFtuneTrainer._activate_neftune~Fn,L315,L103,/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py,271,5,292,20,0,6,3,12,22,3,0,0,0,0,11,2,0,6,12,22,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L330,train,custom_scheduler.FPNEFtuneTrainer.train~Fn,L315,L103,/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py,294,5,311,21,0,2,0,12,18,5,0,0,0,0,11,3,0,2,12,18,11,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
12,L336,__init__,custom_scheduler.FPSchedulerTrainer.__init__~Fn,L334,L103,/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py,315,5,319,56,0,0,0,5,5,2,0,0,0,1,4,5,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
13,L344,_activate_neftune,custom_scheduler.FPSchedulerTrainer._activate_neftune~Fn,L334,L103,/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py,322,5,343,20,0,6,3,12,22,3,0,0,0,0,11,2,0,6,12,22,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L349,train,custom_scheduler.FPSchedulerTrainer.train~Fn,L334,L103,/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py,345,5,362,21,0,2,0,12,18,5,0,0,0,0,11,3,0,2,12,18,11,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
15,L353,create_scheduler,custom_scheduler.FPSchedulerTrainer.create_scheduler~Fn,L334,L103,/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py,365,5,433,104,0,1,0,55,69,10,0,0,0,3,36,3,0,1,55,69,36,0,0,0,0,0,1,0,0,0,0,84.99664330558272,5.294117647058823,1077.672113060641,0.0678534293408552,45,23,59.87067294781341,203.5602880225656
16,L643,__init__,script.MyLogits.__init__~Fn,L640,L103,/content/text-generation-webui/extensions/example/script.py,31,5,32,12,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L647,__call__,script.MyLogits.__call__~Fn,L640,L103,/content/text-generation-webui/extensions/example/script.py,34,5,38,21,0,3,0,2,5,1,0,0,0,0,1,3,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L750,__init__,script.MyLogits.__init__~Fn,L747,L103,/content/text-generation-webui/extensions/long_replies/script.py,24,5,26,12,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
19,L754,__call__,script.MyLogits.__call__~Fn,L747,L103,/content/text-generation-webui/extensions/long_replies/script.py,28,5,36,21,0,4,0,4,9,2,0,0,0,0,3,3,0,4,4,9,3,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,47.548875021634686,0.0105664166714743,10,9,2.6416041678685938,31.699250014423125
20,L813,name,abstract_pipeline.AbstractMultimodalPipeline.name~Fn,L811,L103,/content/text-generation-webui/extensions/multimodal/abstract_pipeline.py,10,5,14,12,0,1,1,4,5,1,0,0,0,0,1,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L815,image_start,abstract_pipeline.AbstractMultimodalPipeline.image_start~Fn,L811,L103,/content/text-generation-webui/extensions/multimodal/abstract_pipeline.py,16,5,20,12,0,1,1,4,5,1,0,0,0,0,1,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L817,image_end,abstract_pipeline.AbstractMultimodalPipeline.image_end~Fn,L811,L103,/content/text-generation-webui/extensions/multimodal/abstract_pipeline.py,22,5,26,12,0,1,1,4,5,1,0,0,0,0,1,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
