,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L133,load_model_from_config,ldsr_model_arch.LDSR.load_model_from_config~Fn,L131,L103,/content/stable-diffusion-webui/extensions-builtin/LDSR/ldsr_model_arch.py,22,5,52,31,0,1,0,27,31,8,0,0,0,0,24,2,0,1,27,31,24,0,0,0,0,0,0,0,0,0,0,32.0,2.0,86.03910001730776,0.0143398500028846,12,12,4.779950000961542,43.01955000865388
1,L141,__init__,ldsr_model_arch.LDSR.__init__~Fn,L131,L103,/content/stable-diffusion-webui/extensions-builtin/LDSR/ldsr_model_arch.py,54,5,56,33,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L145,run,ldsr_model_arch.LDSR.run~Fn,L131,L103,/content/stable-diffusion-webui/extensions-builtin/LDSR/ldsr_model_arch.py,58,5,104,19,0,1,0,42,47,6,0,0,0,2,25,4,0,1,42,47,25,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.7142857142857142,68.33680652339717,0.0132877123795494,12,10,3.796489251299843,39.86313713864836
3,L154,super_resolution,ldsr_model_arch.LDSR.super_resolution~Fn,L131,L103,/content/stable-diffusion-webui/extensions-builtin/LDSR/ldsr_model_arch.py,106,5,154,16,0,4,0,34,49,2,0,0,0,2,31,5,0,4,34,49,31,0,0,0,0,0,0,0,0,0,0,96.22039775975506,3.947368421052632,696.5784284662086,0.0588221784038131,38,25,38.69880158145603,176.46653521143952
4,L205,__init__,ldsr_model.UpscalerLDSR.__init__~Fn,L203,L103,/content/stable-diffusion-webui/extensions-builtin/LDSR/scripts/ldsr_model.py,12,5,19,36,0,0,0,8,8,1,0,0,0,0,7,2,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L210,load_model,ldsr_model.UpscalerLDSR.load_model~Fn,L203,L103,/content/stable-diffusion-webui/extensions-builtin/LDSR/scripts/ldsr_model.py,21,5,49,32,0,1,0,22,29,8,0,0,0,0,20,2,0,1,22,29,20,0,0,0,0,0,0,0,0,0,0,41.21928094887362,2.0,114.22064766172812,0.019036774610288,15,14,6.345591536762672,57.11032383086405
6,L213,do_upscale,ldsr_model.UpscalerLDSR.do_upscale~Fn,L203,L103,/content/stable-diffusion-webui/extensions-builtin/LDSR/scripts/ldsr_model.py,51,5,58,65,0,0,0,8,8,2,0,0,0,2,6,3,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L228,__init__,sd_hijack_autoencoder.VQModel.__init__~Fn,L226,L103,/content/stable-diffusion-webui/extensions-builtin/LDSR/sd_hijack_autoencoder.py,21,5,67,38,0,1,0,45,47,7,0,0,0,1,26,16,0,1,45,47,26,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L249,ema_scope,sd_hijack_autoencoder.VQModel.ema_scope~Fn,L226,L103,/content/stable-diffusion-webui/extensions-builtin/LDSR/sd_hijack_autoencoder.py,69,5,82,66,0,0,0,14,14,5,0,0,0,0,11,2,0,0,14,14,11,0,0,0,0,0,0,0,0,0,0,2.0,1.0,9.509775004326938,0.0031699250014423,6,3,0.5283208335737188,9.509775004326938
9,L247,init_from_ckpt,sd_hijack_autoencoder.VQModel.init_from_ckpt~Fn,L226,L103,/content/stable-diffusion-webui/extensions-builtin/LDSR/sd_hijack_autoencoder.py,84,5,97,51,0,0,0,14,14,7,0,0,0,0,13,3,0,0,14,14,13,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
