,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L140,getExpectedRuntime,any.Any.getExpectedRuntime~Fn,L137,L103,/content/Ciphey/ciphey/basemods/Checkers/any.py,10,5,11,16,0,1,0,2,2,1,0,0,0,0,1,2,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L148,__init__,any.Any.__init__~Fn,L137,L103,/content/Ciphey/ciphey/basemods/Checkers/any.py,13,5,14,32,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L151,check,any.Any.check~Fn,L137,L103,/content/Ciphey/ciphey/basemods/Checkers/any.py,16,5,17,17,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L154,getParams,any.Any.getParams~Fn,L137,L103,/content/Ciphey/ciphey/basemods/Checkers/any.py,19,5,21,12,0,0,0,3,3,1,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L162,getExpectedRuntime,brandon.Brandon.getExpectedRuntime~Fn,L159,L103,/content/Ciphey/ciphey/basemods/Checkers/brandon.py,81,5,84,19,0,3,0,2,4,1,0,0,0,0,1,2,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L168,clean_text,brandon.Brandon.clean_text~Fn,L159,L103,/content/Ciphey/ciphey/basemods/Checkers/brandon.py,88,5,106,19,0,12,11,7,19,1,0,0,0,0,6,2,0,12,7,19,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
6,L172,checker,brandon.Brandon.checker~Fn,L159,L103,/content/Ciphey/ciphey/basemods/Checkers/brandon.py,108,5,163,20,0,17,11,36,56,8,0,0,0,0,29,5,0,17,36,56,29,0,0,0,0,0,0,0,0,0,0,67.75720079023742,5.923076923076923,844.7707145468299,0.0475412090437609,33,20,46.93170636371278,142.62362713128297
7,L179,__init__,brandon.Brandon.__init__~Fn,L159,L103,/content/Ciphey/ciphey/basemods/Checkers/brandon.py,165,5,179,53,0,1,0,11,15,1,0,0,0,0,10,2,0,1,11,15,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L182,check,brandon.Brandon.check~Fn,L159,L103,/content/Ciphey/ciphey/basemods/Checkers/brandon.py,181,5,239,37,0,18,11,37,59,8,0,0,0,0,26,2,0,18,37,59,26,0,0,0,0,0,0,0,0,0,0,24.406371956566694,2.142857142857143,113.89467753899528,0.0177169498393992,16,10,6.327482085499738,53.1508495181978
9,L186,calculateWhatChecker,brandon.Brandon.calculateWhatChecker~Fn,L159,L103,/content/Ciphey/ciphey/basemods/Checkers/brandon.py,241,5,267,26,0,16,14,10,27,4,0,0,0,0,8,3,0,16,10,27,8,0,0,0,0,0,0,0,0,0,0,12.75488750216347,2.25,63.16548574629609,0.009357849740192,10,7,3.509193652572005,28.07354922057604
10,L191,getParams,brandon.Brandon.getParams~Fn,L159,L103,/content/Ciphey/ciphey/basemods/Checkers/brandon.py,269,5,297,9,0,0,0,29,29,1,0,0,0,0,1,0,0,0,29,29,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L198,check,entropy.Entropy.check~Fn,L195,L103,/content/Ciphey/ciphey/basemods/Checkers/entropy.py,16,5,18,12,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L203,getExpectedRuntime,entropy.Entropy.getExpectedRuntime~Fn,L195,L103,/content/Ciphey/ciphey/basemods/Checkers/entropy.py,20,5,23,31,0,2,0,2,4,1,0,0,0,0,1,2,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
13,L206,__init__,entropy.Entropy.__init__~Fn,L195,L103,/content/Ciphey/ciphey/basemods/Checkers/entropy.py,25,5,26,32,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L209,getParams,entropy.Entropy.getParams~Fn,L195,L103,/content/Ciphey/ciphey/basemods/Checkers/entropy.py,28,5,30,12,0,0,0,3,3,1,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L216,check,ezcheck.EzCheck.check~Fn,L213,L103,/content/Ciphey/ciphey/basemods/Checkers/ezcheck.py,19,5,27,19,0,0,0,9,9,5,0,0,0,0,5,2,0,0,9,9,5,0,0,0,0,0,0,0,0,0,0,32.0,2.5,134.43609377704337,0.0179248125036057,15,12,7.468671876502409,53.77443751081735
