,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L707,has_object_permission,api_permissions.HasObjectPermission.has_object_permission~Fn,L705,L103,/content/label-studio/label_studio/core/api_permissions.py,5,5,6,47,0,0,0,2,2,1,0,0,0,0,1,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,12.75488750216347,1.875,42.11032383086406,0.0074862797921536,8,7,2.339462435048004,22.458839376460837
1,L716,has_object_permission,api_permissions.HasOwnerPermission.has_object_permission~Fn,L714,L103,/content/label-studio/label_studio/core/api_permissions.py,10,5,13,47,0,0,0,4,4,3,0,0,0,0,3,4,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,12.75488750216347,1.875,42.11032383086406,0.0074862797921536,8,7,2.339462435048004,22.458839376460837
2,L794,process_request,current_request.ThreadLocalMiddleware.process_request~Fn,L792,L103,/content/label-studio/label_studio/core/current_request.py,17,5,18,40,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L1055,filter,filters.ListFilter.filter~Fn,L1053,L103,/content/label-studio/label_studio/core/filters.py,6,5,11,17,0,0,0,6,6,2,0,0,0,0,5,3,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
4,L1170,add_arguments,locked_migrate.Command.add_arguments~Fn,L1167,L103,/content/label-studio/label_studio/core/management/commands/locked_migrate.py,15,5,22,9,0,0,0,8,8,1,0,0,0,0,2,2,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L1175,handle,locked_migrate.Command.handle~Fn,L1167,L103,/content/label-studio/label_studio/core/management/commands/locked_migrate.py,24,5,42,46,0,2,0,15,19,2,0,0,0,0,13,3,0,2,15,19,13,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
6,L1186,add_arguments,show_async_migrations.Command.add_arguments~Fn,L1183,L103,/content/label-studio/label_studio/core/management/commands/show_async_migrations.py,12,5,13,97,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
7,L1191,handle,show_async_migrations.Command.handle~Fn,L1183,L103,/content/label-studio/label_studio/core/management/commands/show_async_migrations.py,15,5,26,104,0,0,0,10,12,5,0,0,0,0,8,3,0,0,10,12,8,0,0,0,0,0,0,0,0,0,0,16.36452797660028,2.7,121.5,0.015,15,8,6.750000000000001,45.0
8,L1209,process_view,middleware.DisableCSRF.process_view~Fn,L1207,L103,/content/label-studio/label_studio/core/middleware.py,38,5,44,63,0,2,0,7,7,3,0,0,0,0,5,5,0,2,7,7,5,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
9,L1225,__init__,middleware.CommonMiddlewareAppendSlashWithoutRedirect.__init__~Fn,L1219,L103,/content/label-studio/label_studio/core/middleware.py,60,5,72,89,0,2,0,8,13,1,0,0,0,0,7,3,0,2,8,13,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
10,L1231,get_full_path_with_slash,middleware.CommonMiddlewareAppendSlashWithoutRedirect.get_full_path_with_slash~Fn,L1219,L103,/content/label-studio/label_studio/core/middleware.py,74,5,81,23,0,4,3,4,8,1,0,0,0,0,3,2,0,4,4,8,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L1235,process_response,middleware.CommonMiddlewareAppendSlashWithoutRedirect.process_response~Fn,L1219,L103,/content/label-studio/label_studio/core/middleware.py,83,5,97,23,0,2,0,10,15,4,0,0,0,0,9,3,0,2,10,15,9,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
12,L1241,process_request,middleware.SetSessionUIDMiddleware.process_request~Fn,L1239,L103,/content/label-studio/label_studio/core/middleware.py,101,5,103,49,0,0,0,3,3,2,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,141.86291712607164,4.038461538461538,916.7216236141804,0.0756659117903768,45,33,50.92897908967669,226.9977353711304
13,L1248,__init__,middleware.ContextLogMiddleware.__init__~Fn,L1246,L103,/content/label-studio/label_studio/core/middleware.py,107,5,109,31,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
14,L1253,__call__,middleware.ContextLogMiddleware.__call__~Fn,L1246,L103,/content/label-studio/label_studio/core/middleware.py,111,5,127,23,0,2,0,14,17,4,0,0,0,0,11,2,0,2,14,17,11,0,0,0,0,0,0,0,0,0,0,63.61549134016113,3.230769230769231,274.48147009943165,0.0283195167562905,20,19,15.248970561079537,84.9585502688717
15,L1256,process_request,middleware.ContextLogMiddleware.process_request~Fn,L1246,L103,/content/label-studio/label_studio/core/middleware.py,129,5,131,68,0,0,0,3,3,2,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,141.86291712607164,4.038461538461538,916.7216236141804,0.0756659117903768,45,33,50.92897908967669,226.9977353711304
16,L1262,__init__,middleware.DatabaseIsLockedRetryMiddleware.__init__~Fn,L1259,L103,/content/label-studio/label_studio/core/middleware.py,138,5,141,40,0,0,0,4,4,2,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
17,L1267,__call__,middleware.DatabaseIsLockedRetryMiddleware.__call__~Fn,L1259,L103,/content/label-studio/label_studio/core/middleware.py,143,5,158,23,0,0,0,16,16,5,0,0,0,0,10,2,0,0,16,16,10,0,0,0,0,0,0,0,0,0,0,63.61549134016113,3.230769230769231,274.48147009943165,0.0283195167562905,20,19,15.248970561079537,84.9585502688717
18,L1272,process_view,middleware.UpdateLastActivityMiddleware.process_view~Fn,L1270,L103,/content/label-studio/label_studio/core/middleware.py,162,5,165,51,0,0,0,4,4,4,0,0,0,0,3,5,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
19,L1284,process_request,middleware.InactivitySessionTimeoutMiddleWare.process_request~Fn,L1280,L103,/content/label-studio/label_studio/core/middleware.py,175,5,209,9,0,4,0,27,35,16,0,0,0,0,15,2,0,4,27,35,15,0,0,1,0,0,1,1,0,0,0,141.86291712607164,4.038461538461538,916.7216236141804,0.0756659117903768,45,33,50.92897908967669,226.9977353711304
20,L1309,has_permission,mixins.DummyModelMixin.has_permission~Fn,L1307,L103,/content/label-studio/label_studio/core/mixins.py,12,5,13,19,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L1317,get_parent_object,mixins.GetParentObjectMixin.get_parent_object~Fn,L1314,L103,/content/label-studio/label_studio/core/mixins.py,19,5,47,18,0,7,4,17,29,3,0,0,0,0,10,1,0,7,17,29,10,0,0,0,0,0,0,0,0,0,0,36.52932501298081,2.2222222222222223,123.34799060470309,0.0185021985907054,15,13,6.852666144705727,55.506595772116384
22,L1339,__str__,models.AsyncMigrationStatus.__str__~Fn,L1326,L103,/content/label-studio/label_studio/core/models.py,43,5,44,108,0,0,0,2,2,2,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,15.509775004326936,0.5,12.63309714925922,0.0084220647661728,9,7,0.701838730514401,25.26619429851844
23,L1770,hashed_name,storage.SkipMissedManifestStaticFilesStorage.hashed_name~Fn,L1766,L103,/content/label-studio/label_studio/core/storage.py,28,5,59,40,0,6,0,27,32,10,0,0,0,0,24,4,0,6,27,32,24,0,0,0,0,0,1,0,0,0,0,99.0586500259616,4.444444444444445,647.6161389438839,0.0485712104207912,31,26,35.97867438577133,145.71363126237387
24,L1779,url,storage.StorageProxyMixin.url~Fn,L1777,L103,/content/label-studio/label_studio/core/storage.py,63,5,69,53,0,0,0,7,7,3,0,0,0,0,5,5,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,32.0,2.25,120.99248439933903,0.0179248125036057,15,12,6.721804688852169,53.77443751081735
25,L1794,__init__,storage.AlternativeGoogleCloudStorageBase.__init__~Fn,L1791,L103,/content/label-studio/label_studio/core/storage.py,85,5,88,57,0,0,0,4,4,1,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
26,L1799,url,storage.AlternativeGoogleCloudStorageBase.url~Fn,L1791,L103,/content/label-studio/label_studio/core/storage.py,90,5,121,23,0,8,7,24,32,6,0,0,0,1,14,2,0,8,24,32,14,0,0,0,0,0,0,0,0,0,0,32.0,2.25,120.99248439933903,0.0179248125036057,15,12,6.721804688852169,53.77443751081735
27,L1805,_get_signing_credentials,storage.AlternativeGoogleCloudStorageBase._get_signing_credentials~Fn,L1791,L103,/content/label-studio/label_studio/core/storage.py,123,5,130,40,0,0,0,8,8,3,0,0,0,0,7,1,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
28,L1803,_get_signing_kwargs,storage.AlternativeGoogleCloudStorageBase._get_signing_kwargs~Fn,L1791,L103,/content/label-studio/label_studio/core/storage.py,132,5,139,18,0,0,0,8,8,1,0,0,0,1,3,1,0,0,8,8,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
29,L1962,__init__,common.temporary_disconnect_signal.__init__~Fn,L1959,L103,/content/label-studio/label_studio/core/utils/common.py,566,5,570,40,0,0,0,5,5,1,0,0,0,0,4,5,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
30,L1970,__enter__,common.temporary_disconnect_signal.__enter__~Fn,L1959,L103,/content/label-studio/label_studio/core/utils/common.py,572,5,573,106,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
31,L1972,__exit__,common.temporary_disconnect_signal.__exit__~Fn,L1959,L103,/content/label-studio/label_studio/core/utils/common.py,575,5,576,103,0,0,0,2,2,1,0,0,0,0,1,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
32,L1979,__init__,common.temporary_disconnect_all_signals.__init__~Fn,L1977,L103,/content/label-studio/label_studio/core/utils/common.py,580,5,591,9,0,0,0,12,12,2,0,0,0,0,2,2,0,0,12,12,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
33,L1984,__enter__,common.temporary_disconnect_all_signals.__enter__~Fn,L1977,L103,/content/label-studio/label_studio/core/utils/common.py,593,5,595,35,0,0,0,3,3,2,0,0,0,1,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
34,L1988,__exit__,common.temporary_disconnect_all_signals.__exit__~Fn,L1977,L103,/content/label-studio/label_studio/core/utils/common.py,597,5,599,34,0,0,0,3,3,2,0,0,0,1,2,4,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
35,L1986,disconnect,common.temporary_disconnect_all_signals.disconnect~Fn,L1977,L103,/content/label-studio/label_studio/core/utils/common.py,601,5,603,29,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
36,L1993,reconnect,common.temporary_disconnect_all_signals.reconnect~Fn,L1977,L103,/content/label-studio/label_studio/core/utils/common.py,605,5,607,40,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
37,L2001,get_filter_parameters,common.DjangoFilterDescriptionInspector.get_filter_parameters~Fn,L1999,L103,/content/label-studio/label_studio/core/utils/common.py,611,5,623,25,0,0,0,10,13,5,0,0,0,0,9,2,0,0,10,13,9,0,0,0,0,0,0,0,0,0,0,2.0,0.5,3.1699250014423126,0.0021132833342948,4,3,0.1761069445245729,6.339850002884625
38,L2015,__init__,common.temporary_disconnect_list_signal.__init__~Fn,L2012,L103,/content/label-studio/label_studio/core/utils/common.py,652,5,653,30,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
39,L2020,__enter__,common.temporary_disconnect_list_signal.__enter__~Fn,L2012,L103,/content/label-studio/label_studio/core/utils/common.py,655,5,661,87,0,0,0,7,7,3,0,0,0,0,6,1,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
40,L2022,__exit__,common.temporary_disconnect_list_signal.__exit__~Fn,L2012,L103,/content/label-studio/label_studio/core/utils/common.py,663,5,669,84,0,0,0,7,7,3,0,0,0,0,6,4,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
41,L2053,__init__,contextlog.ContextLog.__init__~Fn,L2050,L103,/content/label-studio/label_studio/core/utils/contextlog.py,45,5,48,46,0,0,0,4,4,1,0,0,0,1,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
42,L2059,_get_label_studio_env,contextlog.ContextLog._get_label_studio_env~Fn,L2050,L103,/content/label-studio/label_studio/core/utils/contextlog.py,50,5,55,18,0,0,0,6,6,3,0,0,0,0,5,1,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
43,L2057,_get_server_id,contextlog.ContextLog._get_server_id~Fn,L2050,L103,/content/label-studio/label_studio/core/utils/contextlog.py,57,5,69,22,0,1,0,13,13,3,0,0,0,0,10,1,0,1,13,13,10,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
44,L2062,_is_docker,contextlog.ContextLog._is_docker~Fn,L2050,L103,/content/label-studio/label_studio/core/utils/contextlog.py,71,5,77,9,0,0,0,7,7,3,0,0,0,0,2,1,0,0,7,7,2,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
