,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L168,run,0.ExampleWork.run~Fn,L166,L103,/content/lightning/docs/source-app/code_samples/basics/0.py,5,5,6,79,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L181,__init__,1.ExampleWork.__init__~Fn,L179,L103,/content/lightning/docs/source-app/code_samples/basics/1.py,5,5,6,43,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L185,run,1.ExampleWork.run~Fn,L179,L103,/content/lightning/docs/source-app/code_samples/basics/1.py,8,5,9,79,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L203,__init__,app.RootFlow.__init__~Fn,L201,L103,/content/lightning/docs/source-app/code_samples/convert_pl_to_app/app.py,6,5,11,9,0,0,0,6,6,1,0,0,0,0,2,1,0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L207,run,app.RootFlow.run~Fn,L201,L103,/content/lightning/docs/source-app/code_samples/convert_pl_to_app/app.py,13,5,14,25,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L215,__init__,train.LitAutoEncoder.__init__~Fn,L213,L103,/content/lightning/docs/source-app/code_samples/convert_pl_to_app/train.py,14,5,17,91,0,0,0,4,4,1,0,0,0,0,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,2.0,12.0,0.002,6,2,0.6666666666666666,6.0
6,L219,forward,train.LitAutoEncoder.forward~Fn,L213,L103,/content/lightning/docs/source-app/code_samples/convert_pl_to_app/train.py,19,5,23,24,0,2,0,3,5,1,0,0,0,0,2,2,0,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L222,training_step,train.LitAutoEncoder.training_step~Fn,L213,L103,/content/lightning/docs/source-app/code_samples/convert_pl_to_app/train.py,25,5,34,19,0,2,0,8,10,1,0,0,0,0,7,3,0,2,8,10,7,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
8,L226,configure_optimizers,train.LitAutoEncoder.configure_optimizers~Fn,L213,L103,/content/lightning/docs/source-app/code_samples/convert_pl_to_app/train.py,36,5,38,24,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L244,__init__,app_0.RootFlow.__init__~Fn,L242,L103,/content/lightning/docs/source-app/code_samples/quickstart/app/app_0.py,6,5,9,40,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
