,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L221,__init__,masks.RandomIrregularMaskGenerator.__init__~Fn,L219,L103,/content/sd-webui-controlnet/annotator/lama/saicinpainting/training/data/masks.py,52,5,60,82,0,0,0,9,9,2,0,0,0,0,7,8,0,0,9,9,7,0,0,1,0,0,1,0,0,0,1,68.75488750216347,2.4375,403.8186092467308,0.0552230576747666,39,19,22.434367180373936,165.66917302429982
1,L232,__call__,masks.RandomIrregularMaskGenerator.__call__~Fn,L219,L103,/content/sd-webui-controlnet/annotator/lama/saicinpainting/training/data/masks.py,62,5,69,71,0,0,0,8,8,3,0,0,0,1,5,4,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0,27.651484454403228,2.2857142857142856,94.88726725405158,0.0138377264745491,12,11,5.27151484744731,41.51317942364757
2,L247,__init__,masks.RandomRectangleMaskGenerator.__init__~Fn,L245,L103,/content/sd-webui-controlnet/annotator/lama/saicinpainting/training/data/masks.py,87,5,93,82,0,0,0,7,7,2,0,0,0,0,6,7,0,0,7,7,6,0,0,1,0,0,1,0,0,0,1,68.75488750216347,2.4375,403.8186092467308,0.0552230576747666,39,19,22.434367180373936,165.66917302429982
3,L257,__call__,masks.RandomRectangleMaskGenerator.__call__~Fn,L245,L103,/content/sd-webui-controlnet/annotator/lama/saicinpainting/training/data/masks.py,95,5,101,66,0,0,0,7,7,3,0,0,0,1,4,4,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,27.651484454403228,2.2857142857142856,94.88726725405158,0.0138377264745491,12,11,5.27151484744731,41.51317942364757
4,L265,__init__,masks.RandomSegmentationMaskGenerator.__init__~Fn,L263,L103,/content/sd-webui-controlnet/annotator/lama/saicinpainting/training/data/masks.py,105,5,107,28,0,1,0,3,3,1,0,0,0,0,2,2,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,68.75488750216347,2.4375,403.8186092467308,0.0552230576747666,39,19,22.434367180373936,165.66917302429982
5,L270,__call__,masks.RandomSegmentationMaskGenerator.__call__~Fn,L263,L103,/content/sd-webui-controlnet/annotator/lama/saicinpainting/training/data/masks.py,109,5,115,38,0,0,0,6,7,2,0,0,0,0,5,4,0,0,6,7,5,0,0,0,0,0,0,0,0,0,0,27.651484454403228,2.2857142857142856,94.88726725405158,0.0138377264745491,12,11,5.27151484744731,41.51317942364757
6,L283,__init__,masks.RandomSuperresMaskGenerator.__init__~Fn,L281,L103,/content/sd-webui-controlnet/annotator/lama/saicinpainting/training/data/masks.py,137,5,138,28,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,68.75488750216347,2.4375,403.8186092467308,0.0552230576747666,39,19,22.434367180373936,165.66917302429982
7,L288,__call__,masks.RandomSuperresMaskGenerator.__call__~Fn,L281,L103,/content/sd-webui-controlnet/annotator/lama/saicinpainting/training/data/masks.py,140,5,141,70,0,0,0,2,2,1,0,0,0,1,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,27.651484454403228,2.2857142857142856,94.88726725405158,0.0138377264745491,12,11,5.27151484744731,41.51317942364757
8,L298,__init__,masks.DumbAreaMaskGenerator.__init__~Fn,L293,L103,/content/sd-webui-controlnet/annotator/lama/saicinpainting/training/data/masks.py,149,5,152,38,0,2,0,2,4,1,0,0,0,0,1,2,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,68.75488750216347,2.4375,403.8186092467308,0.0552230576747666,39,19,22.434367180373936,165.66917302429982
9,L303,_random_vector,masks.DumbAreaMaskGenerator._random_vector~Fn,L293,L103,/content/sd-webui-controlnet/annotator/lama/saicinpainting/training/data/masks.py,154,5,165,19,0,0,0,12,12,2,0,0,0,0,10,2,0,0,12,12,10,0,0,0,0,0,0,0,0,0,0,77.48686830125578,3.0588235294117645,523.9776313761956,0.0571001264961238,39,21,29.10986840978865,171.30037948837168
