,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L134,__init__,game.Game.__init__~Fn,L132,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/game.py,6,5,9,30,0,0,0,4,4,1,0,0,0,1,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
1,L138,add_random_tile,game.Game.add_random_tile~Fn,L132,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/game.py,10,5,18,55,0,0,0,9,9,5,0,0,0,0,8,1,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L144,move_up,game.Game.move_up~Fn,L132,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/game.py,19,5,23,30,0,0,0,5,5,1,0,0,0,3,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L150,move_down,game.Game.move_down~Fn,L132,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/game.py,24,5,28,30,0,0,0,5,5,1,0,0,0,3,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L152,move_left,game.Game.move_left~Fn,L132,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/game.py,29,5,33,30,0,0,0,5,5,1,0,0,0,3,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L154,move_right,game.Game.move_right~Fn,L132,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/game.py,34,5,38,30,0,0,0,5,5,1,0,0,0,3,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L146,move_tiles,game.Game.move_tiles~Fn,L132,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/game.py,39,5,59,54,0,0,0,21,21,17,0,0,0,1,20,2,0,0,21,21,20,0,0,1,0,0,1,1,0,0,0,42.80863530717375,3.0,411.19433158222125,0.0456882590646912,36,14,22.844129532345622,137.06477719407374
7,L158,move_tile,game.Game.move_tile~Fn,L132,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/game.py,60,5,66,35,0,0,0,7,7,4,0,0,0,0,6,5,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,54.62919048309069,4.791666666666667,685.5015806680258,0.0476870664812539,35,17,38.08342114822366,143.0611994437619
8,L148,merge_tiles,game.Game.merge_tiles~Fn,L132,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/game.py,67,5,91,47,0,0,0,25,25,17,0,0,0,0,24,2,0,0,25,25,24,0,0,1,0,0,1,1,0,0,0,103.8483063527908,5.238095238095238,1674.2518615093036,0.1065433002778647,68,26,93.01399230607242,319.6299008335943
9,L167,is_game_over,game.Game.is_game_over~Fn,L132,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/game.py,92,5,103,19,0,0,0,12,12,9,0,0,0,0,11,1,0,0,12,12,11,0,0,0,0,0,0,0,0,0,0,72.0,2.5,324.1446071165521,0.0432192809488736,30,20,18.00803372869734,129.65784284662087
10,L175,__init__,main.GameApp.__init__~Fn,L173,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/main.py,7,5,11,29,0,0,0,5,5,1,0,0,0,1,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L180,create_widgets,main.GameApp.create_widgets~Fn,L173,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/main.py,12,5,16,31,0,0,0,5,5,1,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L183,handle_keypress,main.GameApp.handle_keypress~Fn,L173,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/main.py,17,5,29,95,0,0,0,13,13,6,0,0,0,1,12,2,0,0,13,13,12,0,0,0,0,0,0,0,0,0,0,11.60964047443681,0.8,24.8156400069231,0.0103398500028846,12,6,1.3786466670512834,31.019550008653876
13,L186,update_grid,main.GameApp.update_grid~Fn,L173,L103,/content/ChatDev/WareHouse/2048_THUNLP_20230822144615/main.py,30,5,42,28,0,0,0,13,13,4,0,0,0,0,12,1,0,0,13,13,12,0,0,0,0,0,0,0,0,0,0,51.01955000865388,3.0,324.0,0.036,27,16,18.0,108.0
14,L201,__init__,main.App.__init__~Fn,L199,L103,/content/ChatDev/WareHouse/ArtCanvas_THUNLP_20230825093558/main.py,7,5,13,27,0,0,0,7,7,1,0,0,0,0,6,1,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L212,__init__,main.Canvas.__init__~Fn,L202,L103,/content/ChatDev/WareHouse/ArtCanvas_THUNLP_20230825093558/main.py,15,5,17,43,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L215,draw,main.Canvas.draw~Fn,L202,L103,/content/ChatDev/WareHouse/ArtCanvas_THUNLP_20230825093558/main.py,18,5,22,98,0,0,0,5,5,1,0,0,0,0,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,6.754887502163469,2.6666666666666665,74.30169903639559,0.0092877123795494,12,5,4.127872168688644,27.863137138648348
17,L219,__init__,main.Toolbar.__init__~Fn,L207,L103,/content/ChatDev/WareHouse/ArtCanvas_THUNLP_20230825093558/main.py,24,5,32,42,0,0,0,9,9,1,0,0,0,0,8,2,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L222,get_brush_size,main.Toolbar.get_brush_size~Fn,L207,L103,/content/ChatDev/WareHouse/ArtCanvas_THUNLP_20230825093558/main.py,33,5,34,36,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L224,get_brush_color,main.Toolbar.get_brush_color~Fn,L207,L103,/content/ChatDev/WareHouse/ArtCanvas_THUNLP_20230825093558/main.py,35,5,36,37,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L237,calculate_bmi,bmi_calculator.BMICalculator.calculate_bmi~Fn,L235,L103,/content/ChatDev/WareHouse/BMI Calculator_DefaultOrganization_20230918110521/bmi_calculator.py,5,5,9,18,0,0,0,5,5,2,0,0,0,0,4,3,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.8,48.6,0.009,9,8,2.7,27.0
21,L249,__init__,main.BMIApplication.__init__~Fn,L247,L103,/content/ChatDev/WareHouse/BMI Calculator_DefaultOrganization_20230918110521/main.py,7,5,23,32,0,0,0,17,17,1,0,0,0,0,16,1,0,0,17,17,16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L253,calculate_bmi,main.BMIApplication.calculate_bmi~Fn,L247,L103,/content/ChatDev/WareHouse/BMI Calculator_DefaultOrganization_20230918110521/main.py,24,5,33,82,0,0,0,10,10,3,0,0,0,0,7,1,0,0,10,10,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
23,L266,__init__,ebook_reader.EbookReader.__init__~Fn,L264,L103,/content/ChatDev/WareHouse/BookBreeze_THUNLP_20230825072339/ebook_reader.py,12,5,20,37,0,0,0,9,9,1,0,0,0,3,8,1,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
24,L270,create_menu,ebook_reader.EbookReader.create_menu~Fn,L264,L103,/content/ChatDev/WareHouse/BookBreeze_THUNLP_20230825072339/ebook_reader.py,21,5,27,39,0,0,0,7,7,1,0,0,0,0,6,1,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
25,L272,create_book_display,ebook_reader.EbookReader.create_book_display~Fn,L264,L103,/content/ChatDev/WareHouse/BookBreeze_THUNLP_20230825072339/ebook_reader.py,28,5,30,57,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
26,L274,create_bookmarks_panel,ebook_reader.EbookReader.create_bookmarks_panel~Fn,L264,L103,/content/ChatDev/WareHouse/BookBreeze_THUNLP_20230825072339/ebook_reader.py,31,5,41,42,0,0,0,11,11,1,0,0,0,0,10,1,0,0,11,11,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
