,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L151,__init__,docvqa.DocVQAExample.__init__~Fn,L149,L103,/content/PaddleNLP/applications/document_intelligence/doc_vqa/Extraction/docvqa.py,28,5,34,28,0,0,0,7,7,1,0,0,0,0,6,7,0,0,7,7,6,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L164,__init__,docvqa.DocVQAFeatures.__init__~Fn,L161,L103,/content/PaddleNLP/applications/document_intelligence/doc_vqa/Extraction/docvqa.py,40,5,46,26,0,0,0,7,7,1,0,0,0,0,6,7,0,0,7,7,6,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L176,__init__,docvqa.DocVQA.__init__~Fn,L174,L103,/content/PaddleNLP/applications/document_intelligence/doc_vqa/Extraction/docvqa.py,50,5,63,48,0,0,0,13,14,1,0,0,0,1,10,8,0,0,13,14,10,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L189,check_is_max_context,docvqa.DocVQA.check_is_max_context~Fn,L174,L103,/content/PaddleNLP/applications/document_intelligence/doc_vqa/Extraction/docvqa.py,65,5,99,48,0,17,1,16,35,6,0,0,0,0,15,4,0,17,16,35,15,0,0,0,0,0,0,0,0,0,0,88.0,6.0,990.3519001557698,0.0550195500086538,36,24,55.01955000865388,165.05865002596164
4,L195,convert_examples_to_features,docvqa.DocVQA.convert_examples_to_features~Fn,L174,L103,/content/PaddleNLP/applications/document_intelligence/doc_vqa/Extraction/docvqa.py,101,5,261,23,0,12,0,135,161,20,0,0,0,1,123,8,0,12,135,161,123,0,0,7,0,0,2,1,0,0,6,292.0782000346155,5.333333333333333,2973.365720093493,0.1858353575058433,96,56,165.18698444963852,557.50607251753
5,L205,create_examples,docvqa.DocVQA.create_examples~Fn,L174,L103,/content/PaddleNLP/applications/document_intelligence/doc_vqa/Extraction/docvqa.py,263,5,309,23,0,1,1,41,47,10,0,0,0,0,29,3,0,1,41,47,29,0,0,0,0,0,1,0,0,0,0,150.11571282193984,4.178571428571429,1254.2412854696822,0.1000534358779233,59,34,69.68007141498235,300.16030763377006
6,L187,docvqa_input,docvqa.DocVQA.docvqa_input~Fn,L174,L103,/content/PaddleNLP/applications/document_intelligence/doc_vqa/Extraction/docvqa.py,311,5,345,9,0,1,0,31,35,4,0,0,0,0,16,1,0,1,31,35,16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L211,__getitem__,docvqa.DocVQA.__getitem__~Fn,L174,L103,/content/PaddleNLP/applications/document_intelligence/doc_vqa/Extraction/docvqa.py,347,5,354,9,0,0,0,8,8,1,0,0,0,0,1,2,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L214,__len__,docvqa.DocVQA.__len__~Fn,L174,L103,/content/PaddleNLP/applications/document_intelligence/doc_vqa/Extraction/docvqa.py,356,5,359,43,0,0,0,4,4,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L221,__init__,model.Crf_decoding.__init__~Fn,L219,L103,/content/PaddleNLP/applications/document_intelligence/doc_vqa/Extraction/model.py,23,5,32,9,0,0,0,9,10,1,0,0,0,0,6,5,0,0,9,10,6,0,0,0,0,0,0,0,0,0,0,10.0,1.5,34.89699375973561,0.0077548875021634,9,6,1.938721875540867,23.264662506490403
