,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L125,__init__,PPOCRLabel.MainWindow.__init__~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,66,5,738,66,0,66,0,500,673,17,0,0,0,7,393,7,0,66,500,673,393,0,0,8,0,0,2,1,0,0,7,149.31568569324173,6.6,1726.5166635036755,0.0871978112880644,51,35,95.91759241687086,261.5934338641933
1,L135,menu,PPOCRLabel.MainWindow.menu~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,740,5,744,19,0,0,0,5,5,2,0,0,0,0,4,3,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L152,keyReleaseEvent,PPOCRLabel.MainWindow.keyReleaseEvent~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,746,5,748,54,0,0,0,3,3,2,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
3,L155,keyPressEvent,PPOCRLabel.MainWindow.keyPressEvent~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,750,5,753,53,0,1,0,3,4,2,0,0,0,0,2,2,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
4,L158,noShapes,PPOCRLabel.MainWindow.noShapes~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,755,5,756,37,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
5,L137,populateModeActions,PPOCRLabel.MainWindow.populateModeActions~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,758,5,763,68,0,1,0,6,6,1,0,0,0,0,5,1,0,1,6,6,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
6,L161,setDirty,PPOCRLabel.MainWindow.setDirty~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,765,5,767,42,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L163,setClean,PPOCRLabel.MainWindow.setClean~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,769,5,773,48,0,0,0,5,5,1,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L165,toggleActions,PPOCRLabel.MainWindow.toggleActions~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,775,5,780,36,0,1,1,5,6,3,0,0,0,0,4,2,0,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L139,queueEvent,PPOCRLabel.MainWindow.queueEvent~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,782,5,783,38,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L171,status,PPOCRLabel.MainWindow.status~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,785,5,786,52,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L175,resetState,PPOCRLabel.MainWindow.resetState~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,788,5,802,28,0,2,0,14,15,1,0,0,0,0,13,1,0,2,14,15,13,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L177,currentItem,PPOCRLabel.MainWindow.currentItem~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,804,5,808,19,0,0,0,5,5,2,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L179,currentBox,PPOCRLabel.MainWindow.currentBox~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,810,5,814,19,0,0,0,5,5,2,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L181,addRecentFile,PPOCRLabel.MainWindow.addRecentFile~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,816,5,821,44,0,0,0,6,6,3,0,0,0,0,5,2,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
15,L184,beginner,PPOCRLabel.MainWindow.beginner~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,823,5,824,29,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L186,advanced,PPOCRLabel.MainWindow.advanced~Fn,L123,L103,/content/PaddleOCR/PPOCRLabel/PPOCRLabel.py,826,5,827,34,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
