,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L272,__iter__,run_corpora_and_vector_spaces.MyCorpus.__iter__~Fn,L270,L103,/content/gensim/docs/src/auto_examples/core/run_corpora_and_vector_spaces.py,140,5,143,58,0,1,0,3,4,2,0,0,0,0,2,1,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L606,__iter__,run_word2vec.MyCorpus.__iter__~Fn,L603,L103,/content/gensim/docs/src/auto_examples/tutorials/run_word2vec.py,203,5,207,47,0,1,0,4,5,2,0,0,0,0,3,1,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L757,__iter__,run_corpora_and_vector_spaces.MyCorpus.__iter__~Fn,L755,L103,/content/gensim/docs/src/gallery/core/run_corpora_and_vector_spaces.py,140,5,143,58,0,1,0,3,4,2,0,0,0,0,2,1,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L1079,__iter__,run_word2vec.MyCorpus.__iter__~Fn,L1076,L103,/content/gensim/docs/src/gallery/tutorials/run_word2vec.py,203,5,207,47,0,1,0,4,5,2,0,0,0,0,3,1,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L1326,__init__,bleicorpus.BleiCorpus.__init__~Fn,L1323,L103,/content/gensim/gensim/corpora/bleicorpus.py,37,5,78,45,0,20,20,20,42,4,0,0,0,0,13,3,0,20,20,42,13,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
5,L1333,__iter__,bleicorpus.BleiCorpus.__iter__~Fn,L1323,L103,/content/gensim/gensim/corpora/bleicorpus.py,80,5,93,32,0,8,8,6,14,2,0,0,0,1,5,1,0,8,6,14,5,0,0,0,0,0,0,0,0,0,0,4.0,1.5,15.0,0.0033333333333333,5,4,0.8333333333333334,10.0
6,L1336,line2doc,bleicorpus.BleiCorpus.line2doc~Fn,L1323,L103,/content/gensim/gensim/corpora/bleicorpus.py,95,5,114,18,0,13,13,7,20,2,0,0,0,0,6,2,0,13,7,20,6,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
7,L1341,save_corpus,bleicorpus.BleiCorpus.save_corpus~Fn,L1323,L103,/content/gensim/gensim/corpora/bleicorpus.py,116,5,166,22,0,24,23,24,51,5,0,0,0,0,21,4,0,24,24,51,21,0,0,0,0,0,0,0,0,0,0,51.01955000865388,2.0,144.0,0.024,18,16,8.0,72.0
8,L1347,docbyoffset,bleicorpus.BleiCorpus.docbyoffset~Fn,L1323,L103,/content/gensim/gensim/corpora/bleicorpus.py,168,5,185,46,0,14,14,4,18,1,0,0,0,1,3,2,0,14,4,18,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L1359,__init__,csvcorpus.CsvCorpus.__init__~Fn,L1356,L103,/content/gensim/gensim/corpora/csvcorpus.py,31,5,53,97,0,11,10,10,23,1,0,0,0,0,9,3,0,11,10,23,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
