,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L170,__repr__,abc._Undefined.__repr__~Fn,L168,L103,/content/discord.py/discord/abc.py,115,5,116,26,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L203,display_name,abc.User.display_name~Fn,L193,L103,/content/discord.py/discord/abc.py,236,5,239,33,0,1,1,3,4,1,0,0,0,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L208,mention,abc.User.mention~Fn,L193,L103,/content/discord.py/discord/abc.py,241,5,244,33,0,1,1,3,4,1,0,0,0,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L211,avatar,abc.User.avatar~Fn,L193,L103,/content/discord.py/discord/abc.py,246,5,249,33,0,1,1,3,4,1,0,0,0,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L214,default_avatar,abc.User.default_avatar~Fn,L193,L103,/content/discord.py/discord/abc.py,251,5,254,33,0,1,1,3,4,1,0,0,0,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L217,display_avatar,abc.User.display_avatar~Fn,L193,L103,/content/discord.py/discord/abc.py,256,5,264,33,0,6,6,3,9,1,0,0,0,0,1,1,0,6,3,9,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L220,mentioned_in,abc.User.mentioned_in~Fn,L193,L103,/content/discord.py/discord/abc.py,266,5,279,33,0,12,12,2,14,1,0,0,0,0,1,2,0,12,2,14,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L235,__init__,abc._Overwrites.__init__~Fn,L230,L103,/content/discord.py/discord/abc.py,310,5,314,47,0,0,0,5,5,1,0,0,0,0,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L240,_asdict,abc._Overwrites._asdict~Fn,L230,L103,/content/discord.py/discord/abc.py,316,5,322,9,0,0,0,7,7,1,0,0,0,0,1,1,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L242,is_role,abc._Overwrites.is_role~Fn,L230,L103,/content/discord.py/discord/abc.py,324,5,325,29,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
