,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L224,required_components,nlu_dense.BytePairFeaturizer.required_components~Fn,L222,L103,/content/rasa/data/test_classes/custom_graph_components/nlu_dense.py,34,5,37,26,0,1,1,3,4,1,0,0,0,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L230,required_packages,nlu_dense.BytePairFeaturizer.required_packages~Fn,L222,L103,/content/rasa/data/test_classes/custom_graph_components/nlu_dense.py,39,5,42,24,0,1,1,3,4,1,0,0,0,0,1,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L232,get_default_config,nlu_dense.BytePairFeaturizer.get_default_config~Fn,L222,L103,/content/rasa/data/test_classes/custom_graph_components/nlu_dense.py,44,5,58,9,0,6,1,9,15,1,0,0,0,0,1,0,0,6,9,15,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L234,__init__,nlu_dense.BytePairFeaturizer.__init__~Fn,L222,L103,/content/rasa/data/test_classes/custom_graph_components/nlu_dense.py,60,5,73,9,0,2,1,12,14,1,0,0,0,0,2,3,0,2,12,14,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L241,create,nlu_dense.BytePairFeaturizer.create~Fn,L222,L103,/content/rasa/data/test_classes/custom_graph_components/nlu_dense.py,75,5,84,55,0,1,1,9,10,1,0,0,0,0,1,5,0,1,9,10,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L248,process,nlu_dense.BytePairFeaturizer.process~Fn,L222,L103,/content/rasa/data/test_classes/custom_graph_components/nlu_dense.py,86,5,91,23,0,1,1,5,6,3,0,0,0,1,4,2,0,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L254,process_training_data,nlu_dense.BytePairFeaturizer.process_training_data~Fn,L222,L103,/content/rasa/data/test_classes/custom_graph_components/nlu_dense.py,93,5,96,28,0,1,1,3,4,1,0,0,0,1,2,2,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L259,_create_word_vector,nlu_dense.BytePairFeaturizer._create_word_vector~Fn,L222,L103,/content/rasa/data/test_classes/custom_graph_components/nlu_dense.py,98,5,104,74,0,1,1,5,7,2,0,0,0,0,4,2,0,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L252,_set_features,nlu_dense.BytePairFeaturizer._set_features~Fn,L222,L103,/content/rasa/data/test_classes/custom_graph_components/nlu_dense.py,106,5,136,53,0,4,1,24,31,2,0,0,0,1,9,3,0,4,24,31,9,0,0,0,0,0,0,0,0,0,0,4.0,1.0,8.0,0.0026666666666666,4,4,0.4444444444444444,8.0
9,L268,validate_config,nlu_dense.BytePairFeaturizer.validate_config~Fn,L222,L103,/content/rasa/data/test_classes/custom_graph_components/nlu_dense.py,138,5,148,88,0,1,1,10,11,4,0,0,0,0,6,2,0,1,10,11,6,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.5,6.0,0.004,6,4,0.3333333333333333,12.0
