,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L123,setup,benchmarks.TextSuite.setup~Fn,L121,L103,/content/rich/benchmarks/benchmarks.py,15,5,20,53,0,0,0,6,6,1,0,0,0,0,3,1,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
1,L127,time_wrapping,benchmarks.TextSuite.time_wrapping~Fn,L121,L103,/content/rich/benchmarks/benchmarks.py,22,5,23,57,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L129,time_indent_guides,benchmarks.TextSuite.time_indent_guides~Fn,L121,L103,/content/rich/benchmarks/benchmarks.py,25,5,26,58,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L131,time_fit,benchmarks.TextSuite.time_fit~Fn,L121,L103,/content/rich/benchmarks/benchmarks.py,28,5,29,42,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L133,time_split,benchmarks.TextSuite.time_split~Fn,L121,L103,/content/rich/benchmarks/benchmarks.py,31,5,32,25,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L135,time_divide,benchmarks.TextSuite.time_divide~Fn,L121,L103,/content/rich/benchmarks/benchmarks.py,34,5,35,60,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L137,time_align_center,benchmarks.TextSuite.time_align_center~Fn,L121,L103,/content/rich/benchmarks/benchmarks.py,37,5,38,82,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
7,L139,time_render,benchmarks.TextSuite.time_render~Fn,L121,L103,/content/rich/benchmarks/benchmarks.py,40,5,41,44,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L141,time_wrapping_unicode_heavy,benchmarks.TextSuite.time_wrapping_unicode_heavy~Fn,L121,L103,/content/rich/benchmarks/benchmarks.py,43,5,44,81,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L143,time_fit_unicode_heavy,benchmarks.TextSuite.time_fit_unicode_heavy~Fn,L121,L103,/content/rich/benchmarks/benchmarks.py,46,5,47,49,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
