,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L204,__init__,appid_manager.AppidManager.__init__~Fn,L201,L103,/content/XX-Net/code/default/gae_proxy/local/appid_manager.py,17,5,26,26,0,0,0,8,10,1,0,0,0,1,7,3,0,0,8,10,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L210,reset_appid,appid_manager.AppidManager.reset_appid~Fn,L201,L103,/content/XX-Net/code/default/gae_proxy/local/appid_manager.py,28,5,39,42,0,1,0,11,12,3,0,0,0,0,10,1,0,1,11,12,10,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
2,L213,get,appid_manager.AppidManager.get~Fn,L201,L103,/content/XX-Net/code/default/gae_proxy/local/appid_manager.py,41,5,64,23,0,0,0,23,24,9,0,0,0,1,19,1,0,0,23,24,19,0,0,0,0,0,0,0,0,0,0,99.0586500259616,4.888888888888889,758.3376078600963,0.051704836899552,33,26,42.12986710333868,155.11451069865606
3,L215,report_out_of_quota,appid_manager.AppidManager.report_out_of_quota~Fn,L201,L103,/content/XX-Net/code/default/gae_proxy/local/appid_manager.py,66,5,74,20,0,0,0,9,9,3,0,0,0,0,7,2,0,0,9,9,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
4,L218,report_not_exist,appid_manager.AppidManager.report_not_exist~Fn,L201,L103,/content/XX-Net/code/default/gae_proxy/local/appid_manager.py,76,5,79,18,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L222,process_appid_not_exist,appid_manager.AppidManager.process_appid_not_exist~Fn,L201,L103,/content/XX-Net/code/default/gae_proxy/local/appid_manager.py,81,5,88,70,0,0,0,7,8,3,0,0,0,1,5,3,0,0,7,8,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
6,L226,set_appid_not_exist,appid_manager.AppidManager.set_appid_not_exist~Fn,L201,L103,/content/XX-Net/code/default/gae_proxy/local/appid_manager.py,90,5,103,20,0,0,0,13,14,4,0,0,0,0,10,2,0,0,13,14,10,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
7,L230,appid_exist,appid_manager.AppidManager.appid_exist~Fn,L201,L103,/content/XX-Net/code/default/gae_proxy/local/appid_manager.py,105,5,111,20,0,0,0,7,7,4,0,0,0,0,6,2,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,18.575424759098897,0.0046438561897747,6,5,1.0319680421721609,13.931568569324174
8,L266,create_ca,cert_util.CertUtil.create_ca~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,76,5,103,22,0,2,0,26,28,1,0,0,0,1,21,0,0,2,26,28,21,0,0,0,0,0,0,0,0,0,0,36.52932501298081,2.4444444444444446,153.7738282871965,0.0209691584027995,17,13,8.542990460399805,62.907475208398566
9,L267,generate_ca_file,cert_util.CertUtil.generate_ca_file~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,105,5,113,86,0,0,0,9,9,1,0,0,0,1,7,0,0,0,9,9,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L268,generate_cert_keyfile,cert_util.CertUtil.generate_cert_keyfile~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,115,5,123,38,0,0,0,9,9,1,0,0,0,1,7,0,0,0,9,9,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L269,_get_cert,cert_util.CertUtil._get_cert~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,125,5,170,23,0,2,0,42,46,7,0,0,0,1,36,3,0,2,42,46,36,0,0,0,0,0,0,0,0,0,0,96.22039775975506,3.0,404.015488510401,0.044890609834489,29,25,22.4453049172445,134.671829503467
12,L275,_get_old_cert,cert_util.CertUtil._get_old_cert~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,172,5,186,27,0,1,0,14,15,4,0,0,0,2,10,1,0,1,14,15,10,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.0,27.0,0.009,9,8,1.5,27.0
13,L279,get_cert,cert_util.CertUtil.get_cert~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,188,5,205,61,0,2,0,14,18,7,0,0,0,2,12,3,0,2,14,18,12,0,0,0,0,0,0,0,0,0,0,49.66338827944709,2.5,170.0,0.0226666666666666,17,16,9.444444444444445,68.0
14,L287,win32_notify,cert_util.CertUtil.win32_notify~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,207,5,212,18,0,1,0,5,6,1,0,0,0,0,3,2,0,1,5,6,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L290,import_windows_ca,cert_util.CertUtil.import_windows_ca~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,214,5,315,23,0,6,0,82,95,25,0,0,0,4,74,1,0,6,89,102,74,0,0,2,0,0,1,1,0,0,1,201.5030616154924,6.617647058823529,2765.001084565113,0.1392741287040205,77,43,153.6111713647285,417.8223861120616
16,L300,get_linux_firefox_path,cert_util.CertUtil.get_linux_firefox_path~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,317,5,328,34,0,1,0,10,12,5,0,0,0,0,8,0,0,1,10,12,8,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
17,L301,import_linux_firefox_ca,cert_util.CertUtil.import_linux_firefox_ca~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,330,5,349,19,0,3,0,16,20,3,0,0,0,4,14,2,0,3,16,20,14,0,0,0,0,0,0,0,0,0,0,26.0,1.0,43.18506523353572,0.0143950217445119,13,10,2.399170290751984,43.18506523353572
18,L307,import_linux_ca,cert_util.CertUtil.import_linux_ca~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,351,5,403,19,0,4,0,21,32,4,0,0,0,2,19,2,0,5,39,53,35,0,0,0,0,0,0,0,0,0,0,61.30296890880645,2.0,183.47670006346172,0.0305794500105769,22,18,10.193150003525652,91.73835003173087
19,L314,import_ubuntu_system_ca,cert_util.CertUtil.import_ubuntu_system_ca~Fn,L247,L103,/content/XX-Net/code/default/gae_proxy/local/cert_util.py,405,5,416,102,0,0,0,11,12,5,0,0,0,2,9,2,0,0,11,12,9,0,0,0,0,0,0,0,0,0,0,41.21928094887362,2.0,121.83535750584332,0.0203058929176405,16,14,6.768630972546851,60.91767875292166
