,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L128,__init__,abc.AbstractRouter.__init__~Fn,L126,L103,/content/aiohttp/aiohttp/abc.py,34,5,35,28,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L132,post_init,abc.AbstractRouter.post_init~Fn,L126,L103,/content/aiohttp/aiohttp/abc.py,37,5,43,11,0,6,6,1,7,1,0,0,0,0,0,2,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L136,frozen,abc.AbstractRouter.frozen~Fn,L126,L103,/content/aiohttp/aiohttp/abc.py,45,5,47,27,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L138,freeze,abc.AbstractRouter.freeze~Fn,L126,L103,/content/aiohttp/aiohttp/abc.py,49,5,51,27,0,1,1,2,3,1,0,0,0,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L141,resolve,abc.AbstractRouter.resolve~Fn,L126,L103,/content/aiohttp/aiohttp/abc.py,53,5,55,49,0,1,1,2,3,1,0,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L147,handler,abc.AbstractMatchInfo.handler~Fn,L145,L103,/content/aiohttp/aiohttp/abc.py,59,5,62,45,0,2,1,3,4,1,0,0,0,0,0,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L152,expect_handler,abc.AbstractMatchInfo.expect_handler~Fn,L145,L103,/content/aiohttp/aiohttp/abc.py,64,5,69,56,0,1,1,5,6,1,0,0,0,0,0,1,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L155,http_exception,abc.AbstractMatchInfo.http_exception~Fn,L145,L103,/content/aiohttp/aiohttp/abc.py,71,5,74,74,0,2,1,3,4,1,0,0,0,0,0,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L158,get_info,abc.AbstractMatchInfo.get_info~Fn,L145,L103,/content/aiohttp/aiohttp/abc.py,76,5,78,73,0,2,1,2,3,1,0,0,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L161,apps,abc.AbstractMatchInfo.apps~Fn,L145,L103,/content/aiohttp/aiohttp/abc.py,80,5,87,11,0,6,5,3,8,1,0,0,0,0,0,1,0,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L164,add_app,abc.AbstractMatchInfo.add_app~Fn,L145,L103,/content/aiohttp/aiohttp/abc.py,89,5,91,55,0,1,1,2,3,1,0,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L168,freeze,abc.AbstractMatchInfo.freeze~Fn,L145,L103,/content/aiohttp/aiohttp/abc.py,93,5,101,11,0,7,7,2,9,1,0,0,0,0,0,1,0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L174,__init__,abc.AbstractView.__init__~Fn,L171,L103,/content/aiohttp/aiohttp/abc.py,107,5,108,31,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L179,request,abc.AbstractView.request~Fn,L171,L103,/content/aiohttp/aiohttp/abc.py,110,5,113,28,0,1,1,3,4,1,0,0,0,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L182,__await__,abc.AbstractView.__await__~Fn,L171,L103,/content/aiohttp/aiohttp/abc.py,115,5,117,39,0,1,1,2,3,1,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
