,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L339,__init__,check_deprecation_warning.Dummy1.__init__~Fn,L337,L103,/content/imgaug/checks/check_deprecation_warning.py,7,5,9,12,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L345,__init__,check_deprecation_warning.Dummy2.__init__~Fn,L343,L103,/content/imgaug/checks/check_deprecation_warning.py,13,5,15,12,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L351,__init__,check_deprecation_warning.Dummy3.__init__~Fn,L349,L103,/content/imgaug/checks/check_deprecation_warning.py,19,5,20,12,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L355,foo,check_deprecation_warning.Dummy3.foo~Fn,L349,L103,/content/imgaug/checks/check_deprecation_warning.py,22,5,25,12,0,0,0,4,4,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L380,map_coordinates,check_elastic_transformation.ElasticTransformationScipy.map_coordinates~Fn,L373,L103,/content/imgaug/checks/check_elastic_transformation.py,133,5,224,21,0,3,0,78,92,27,0,0,0,1,63,7,0,3,78,92,63,0,0,3,0,0,2,1,0,0,2,419.5881851891487,9.80952380952381,9531.872258941696,0.3238985719057857,156,75,529.5484588300942,971.6957157173572
5,L391,map_coordinates,check_elastic_transformation.ElasticTransformationCv2.map_coordinates~Fn,L376,L103,/content/imgaug/checks/check_elastic_transformation.py,228,5,319,21,0,3,0,78,92,27,0,0,0,1,63,7,0,3,78,92,63,0,0,3,0,0,2,1,0,0,2,419.5881851891487,9.80952380952381,9531.872258941696,0.3238985719057857,156,75,529.5484588300942,971.6957157173572
6,L484,__init__,check_multicore_pool.PoolWithMarkedWorker.__init__~Fn,L482,L103,/content/imgaug/checks/check_multicore_pool.py,15,5,16,67,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L490,_worker,check_multicore_pool.PoolWithMarkedWorker._worker~Fn,L482,L103,/content/imgaug/checks/check_multicore_pool.py,18,5,25,55,0,1,0,7,8,3,0,0,0,0,5,3,0,1,7,8,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L801,__init__,batches.UnnormalizedBatch.__init__~Fn,L798,L103,/content/imgaug/imgaug/augmentables/batches.py,133,5,151,24,0,1,1,18,19,1,0,0,0,0,15,9,0,1,18,19,15,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L814,get_column_names,batches.UnnormalizedBatch.get_column_names~Fn,L798,L103,/content/imgaug/imgaug/augmentables/batches.py,153,5,168,48,0,14,14,2,16,1,0,0,0,1,1,1,0,14,2,16,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
