,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L231,__init__,incidental.CoverageData.__init__~Fn,L201,L103,/content/ansible/hacking/azp/incidental.py,284,5,294,103,0,1,0,7,11,1,0,0,0,0,6,2,0,1,7,11,6,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
1,L235,__init__,incidental.Git.__init__~Fn,L198,L103,/content/ansible/hacking/azp/incidental.py,298,5,305,69,0,0,0,7,8,2,0,0,0,1,5,2,0,0,7,8,5,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
2,L210,show,incidental.Git.show~Fn,L198,L103,/content/ansible/hacking/azp/incidental.py,307,5,308,48,0,0,0,2,2,2,0,0,0,1,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
3,L240,run,incidental.Git.run~Fn,L198,L103,/content/ansible/hacking/azp/incidental.py,310,5,311,75,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
4,L245,__init__,incidental.CoverageTool.__init__~Fn,L195,L103,/content/ansible/hacking/azp/incidental.py,315,5,316,77,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
5,L212,combine,incidental.CoverageTool.combine~Fn,L195,L103,/content/ansible/hacking/azp/incidental.py,318,5,319,91,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,15.509775004326936,0.5,12.63309714925922,0.0084220647661728,9,7,0.701838730514401,25.26619429851844
6,L214,filter,incidental.CoverageTool.filter~Fn,L195,L103,/content/ansible/hacking/azp/incidental.py,321,5,338,92,0,0,0,13,18,7,0,0,0,0,12,7,0,0,13,18,12,0,0,1,0,0,1,0,0,0,1,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
7,L216,missing,incidental.CoverageTool.missing~Fn,L195,L103,/content/ansible/hacking/azp/incidental.py,340,5,346,101,0,0,0,5,7,2,0,0,0,0,4,5,0,0,5,7,4,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
8,L218,expand,incidental.CoverageTool.expand~Fn,L195,L103,/content/ansible/hacking/azp/incidental.py,348,5,349,85,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
9,L267,__init__,incidental.SourceFile.__init__~Fn,L265,L103,/content/ansible/hacking/azp/incidental.py,353,5,369,118,0,0,0,14,17,3,0,0,0,1,12,5,0,0,14,17,12,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
10,L380,create,create-bulk-issues.Issue.create~Fn,L373,L103,/content/ansible/hacking/create-bulk-issues.py,39,5,48,18,0,0,0,8,10,3,0,0,0,0,7,1,0,0,8,10,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L390,from_dict,create-bulk-issues.Feature.from_dict~Fn,L384,L103,/content/ansible/hacking/create-bulk-issues.py,58,5,82,9,0,0,0,20,25,6,0,0,0,0,13,1,0,0,20,25,13,0,0,0,0,0,0,0,0,0,0,21.651484454403228,1.0,41.20902501875006,0.0137363416729166,13,9,2.289390278819448,41.20902501875006
12,L392,create_issue,create-bulk-issues.Feature.create_issue~Fn,L384,L103,/content/ansible/hacking/create-bulk-issues.py,84,5,105,9,0,0,0,21,22,1,0,0,0,0,2,2,0,0,21,22,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L403,create_issue,create-bulk-issues.BugReport.create_issue~Fn,L397,L103,/content/ansible/hacking/create-bulk-issues.py,115,5,160,9,0,0,0,45,46,1,0,0,0,0,2,2,0,0,45,46,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L410,parse,create-bulk-issues.Deprecation.parse~Fn,L408,L103,/content/ansible/hacking/create-bulk-issues.py,165,5,168,12,0,0,0,4,4,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
15,L412,create_bug_report,create-bulk-issues.Deprecation.create_bug_report~Fn,L408,L103,/content/ansible/hacking/create-bulk-issues.py,170,5,172,12,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L421,parse,create-bulk-issues.DeprecatedConfig.parse~Fn,L416,L103,/content/ansible/hacking/create-bulk-issues.py,181,5,192,9,0,0,0,10,12,2,0,0,0,0,4,1,0,0,10,12,4,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
17,L423,create_bug_report,create-bulk-issues.DeprecatedConfig.create_bug_report~Fn,L416,L103,/content/ansible/hacking/create-bulk-issues.py,194,5,199,9,0,0,0,6,6,1,0,0,0,0,1,1,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L435,__post_init__,create-bulk-issues.UpdateBundled.__post_init__~Fn,L427,L103,/content/ansible/hacking/create-bulk-issues.py,211,5,212,78,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L439,parse,create-bulk-issues.UpdateBundled.parse~Fn,L427,L103,/content/ansible/hacking/create-bulk-issues.py,214,5,227,9,0,0,0,12,14,2,0,0,0,0,4,1,0,0,12,14,4,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
20,L441,create_bug_report,create-bulk-issues.UpdateBundled.create_bug_report~Fn,L427,L103,/content/ansible/hacking/create-bulk-issues.py,229,5,234,9,0,0,0,6,6,1,0,0,0,0,1,1,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L448,run,create-bulk-issues.Args.run~Fn,L444,L103,/content/ansible/hacking/create-bulk-issues.py,248,5,249,35,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L455,run,create-bulk-issues.DeprecationArgs.run~Fn,L452,L103,/content/ansible/hacking/create-bulk-issues.py,256,5,257,32,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
23,L464,run,create-bulk-issues.FeatureArgs.run~Fn,L461,L103,/content/ansible/hacking/create-bulk-issues.py,264,5,265,29,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
24,L637,freeze_requirements,update-sanity-requirements.SanityTest.freeze_requirements~Fn,L632,L103,/content/ansible/hacking/update-sanity-requirements.py,37,5,65,50,0,1,0,19,29,3,0,0,0,1,18,1,0,1,19,29,18,0,0,0,0,0,0,0,0,0,0,30.529325012980813,1.3333333333333333,83.02635884729514,0.0207565897118237,18,11,4.612575491516397,62.26976913547136
25,L643,update_pre_build,update-sanity-requirements.SanityTest.update_pre_build~Fn,L632,L103,/content/ansible/hacking/update-sanity-requirements.py,67,5,74,45,0,1,1,6,8,1,0,0,0,1,5,1,0,1,6,8,5,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
26,L641,write_requirements,update-sanity-requirements.SanityTest.write_requirements~Fn,L632,L103,/content/ansible/hacking/update-sanity-requirements.py,76,5,83,48,0,1,1,5,8,1,0,0,0,1,4,2,0,1,5,8,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
27,L651,create,update-sanity-requirements.SanityTest.create~Fn,L632,L103,/content/ansible/hacking/update-sanity-requirements.py,85,5,91,9,0,0,0,7,7,1,0,0,0,0,1,1,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
