,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L125,__init__,alias.AliasLoader.__init__~Fn,L123,L103,/content/aws-cli/awscli/alias.py,33,5,42,28,0,5,5,5,10,1,0,0,0,0,2,2,0,5,5,10,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L125,__init__,alias.AliasLoader.__init__~Fn,L123,L103,/content/aws-cli/awscli/alias.py,33,5,42,28,0,5,5,5,10,1,0,0,0,0,2,2,0,5,5,10,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L131,_build_aliases,alias.AliasLoader._build_aliases~Fn,L123,L103,/content/aws-cli/awscli/alias.py,44,5,46,69,0,0,0,3,3,1,0,0,0,2,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L131,_build_aliases,alias.AliasLoader._build_aliases~Fn,L123,L103,/content/aws-cli/awscli/alias.py,44,5,46,69,0,0,0,3,3,1,0,0,0,2,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L133,_load_aliases,alias.AliasLoader._load_aliases~Fn,L123,L103,/content/aws-cli/awscli/alias.py,48,5,52,31,0,0,0,5,5,2,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L133,_load_aliases,alias.AliasLoader._load_aliases~Fn,L123,L103,/content/aws-cli/awscli/alias.py,48,5,52,31,0,0,0,5,5,2,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L135,_cleanup_alias_values,alias.AliasLoader._cleanup_alias_values~Fn,L123,L103,/content/aws-cli/awscli/alias.py,54,5,58,51,0,2,0,3,5,2,0,0,0,0,2,2,0,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L135,_cleanup_alias_values,alias.AliasLoader._cleanup_alias_values~Fn,L123,L103,/content/aws-cli/awscli/alias.py,54,5,58,51,0,2,0,3,5,2,0,0,0,0,2,2,0,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L143,get_aliases,alias.AliasLoader.get_aliases~Fn,L123,L103,/content/aws-cli/awscli/alias.py,60,5,63,48,0,0,0,4,4,2,0,0,0,1,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
9,L143,get_aliases,alias.AliasLoader.get_aliases~Fn,L123,L103,/content/aws-cli/awscli/alias.py,60,5,63,48,0,0,0,4,4,2,0,0,0,1,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
10,L148,__init__,alias.AliasCommandInjector.__init__~Fn,L146,L103,/content/aws-cli/awscli/alias.py,67,5,77,41,0,8,8,3,11,1,0,0,0,0,2,3,0,8,3,11,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L148,__init__,alias.AliasCommandInjector.__init__~Fn,L146,L103,/content/aws-cli/awscli/alias.py,67,5,77,41,0,8,8,3,11,1,0,0,0,0,2,3,0,8,3,11,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L155,inject_aliases,alias.AliasCommandInjector.inject_aliases~Fn,L146,L103,/content/aws-cli/awscli/alias.py,79,5,97,49,0,4,0,15,19,4,0,0,0,0,8,3,0,4,15,19,8,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
13,L155,inject_aliases,alias.AliasCommandInjector.inject_aliases~Fn,L146,L103,/content/aws-cli/awscli/alias.py,79,5,97,49,0,4,0,15,19,4,0,0,0,0,8,3,0,4,15,19,8,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
14,L165,__init__,alias.BaseAliasCommand.__init__~Fn,L162,L103,/content/aws-cli/awscli/alias.py,103,5,114,39,0,9,9,3,12,1,0,0,0,0,2,3,0,9,3,12,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
