,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L234,render_output_ui,app.Output.render_output_ui~Fn,L231,L103,/content/MockingBird/control/mkgui/app.py,81,5,97,33,0,4,3,12,17,1,0,0,0,0,11,3,0,4,12,17,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L278,render_output_ui,app_vc.Output.render_output_ui~Fn,L275,L103,/content/MockingBird/control/mkgui/app_vc.py,83,5,103,33,0,4,3,16,21,1,0,0,0,0,15,3,0,4,16,21,15,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L330,__iter__,outputs.ClassificationOutput.__iter__~Fn,L327,L103,/content/MockingBird/control/mkgui/base/components/outputs.py,14,5,15,34,0,1,0,2,2,1,0,0,0,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L334,__getitem__,outputs.ClassificationOutput.__getitem__~Fn,L327,L103,/content/MockingBird/control/mkgui/base/components/outputs.py,17,5,18,34,0,1,0,2,2,1,0,0,0,0,1,2,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L337,render_output_ui,outputs.ClassificationOutput.render_output_ui~Fn,L327,L103,/content/MockingBird/control/mkgui/base/components/outputs.py,20,5,42,61,0,1,0,21,23,2,0,0,0,0,7,2,0,1,21,23,7,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
5,L345,as_bytes,types.FileContent.as_bytes~Fn,L343,L103,/content/MockingBird/control/mkgui/base/components/types.py,6,5,7,52,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L349,as_str,types.FileContent.as_str~Fn,L343,L103,/content/MockingBird/control/mkgui/base/components/types.py,9,5,10,39,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L352,__modify_schema__,types.FileContent.__modify_schema__~Fn,L343,L103,/content/MockingBird/control/mkgui/base/components/types.py,12,5,14,42,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L355,__get_validators__,types.FileContent.__get_validators__~Fn,L343,L103,/content/MockingBird/control/mkgui/base/components/types.py,16,5,18,26,0,1,0,3,3,1,0,0,0,0,1,1,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L357,validate,types.FileContent.validate~Fn,L343,L103,/content/MockingBird/control/mkgui/base/components/types.py,20,5,29,41,0,0,0,10,10,4,0,0,0,0,7,2,0,0,10,10,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
