,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L124,__init__,conftest.DefaultPatches.__init__~Fn,L122,L103,/content/borg/conftest.py,60,5,70,39,0,0,0,5,7,2,0,0,0,0,4,2,0,0,9,11,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L132,undo,conftest.DefaultPatches.undo~Fn,L122,L103,/content/borg/conftest.py,72,5,73,68,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L142,__init__,conftest.ArchiverSetup.__init__~Fn,L137,L103,/content/borg/conftest.py,94,5,104,53,0,0,0,11,11,1,0,0,0,0,10,1,0,0,11,11,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L146,get_kind,conftest.ArchiverSetup.get_kind~Fn,L137,L103,/content/borg/conftest.py,106,5,112,26,0,0,0,7,7,3,0,0,0,0,5,1,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
4,L356,__init__,setup.Sdist.__init__~Fn,L352,L103,/content/borg/setup.py,79,9,80,62,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L366,initialize_options,setup.Clean.initialize_options~Fn,L363,L103,/content/borg/setup.py,98,5,99,12,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L370,finalize_options,setup.Clean.finalize_options~Fn,L363,L103,/content/borg/setup.py,101,5,102,12,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L372,run,setup.Clean.run~Fn,L363,L103,/content/borg/setup.py,104,5,110,28,0,0,0,7,7,3,0,0,0,1,6,1,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L413,initialize_options,setup_docs.build_usage.initialize_options~Fn,L409,L103,/content/borg/setup_docs.py,45,5,46,12,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L417,finalize_options,setup_docs.build_usage.finalize_options~Fn,L409,L103,/content/borg/setup_docs.py,48,5,49,12,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L419,run,setup_docs.build_usage.run~Fn,L409,L103,/content/borg/setup_docs.py,51,5,65,49,0,4,0,8,15,1,0,0,0,1,7,1,0,4,8,15,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L421,generate_level,setup_docs.build_usage.generate_level~Fn,L409,L103,/content/borg/setup_docs.py,67,5,122,28,0,0,0,51,56,14,0,0,0,3,41,5,0,0,51,56,41,0,0,1,0,0,1,1,0,0,0,135.74788919877133,4.76,1237.6,0.0866666666666666,52,32,68.75555555555555,260.0
12,L428,write_usage,setup_docs.build_usage.write_usage~Fn,L409,L103,/content/borg/setup_docs.py,124,5,131,24,0,0,0,8,8,4,0,0,0,1,7,3,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L430,write_options,setup_docs.build_usage.write_options~Fn,L409,L103,/content/borg/setup_docs.py,133,5,185,68,0,3,0,38,48,13,0,0,0,3,33,3,0,5,43,53,36,0,0,1,0,0,1,1,0,0,0,20.264662506490406,1.75,61.02105627776452,0.0116230583386218,11,9,3.3900586820980285,34.86917501586544
14,L446,rows_to_table,setup_docs.build_usage.rows_to_table~Fn,L409,L103,/content/borg/setup_docs.py,187,5,244,9,0,9,0,40,52,9,0,0,0,1,26,3,0,9,46,58,31,0,0,0,0,0,0,0,0,0,0,51.01955000865388,2.0,144.0,0.024,18,16,8.0,72.0
15,L432,write_options_group,setup_docs.build_usage.write_options_group~Fn,L409,L103,/content/borg/setup_docs.py,246,5,279,66,0,0,0,24,32,10,0,0,0,1,22,5,0,0,26,34,23,0,0,0,0,0,1,0,0,0,0,59.71535681027101,3.269230769230769,354.44362512259653,0.0361393500125,26,18,19.69131250681092,108.41805003750012
16,L468,initialize_options,setup_docs.build_man.initialize_options~Fn,L461,L103,/content/borg/setup_docs.py,325,5,326,12,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L472,finalize_options,setup_docs.build_man.finalize_options~Fn,L461,L103,/content/borg/setup_docs.py,328,5,329,12,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L474,run,setup_docs.build_man.run~Fn,L461,L103,/content/borg/setup_docs.py,331,5,345,31,0,1,0,11,15,1,0,0,0,3,10,1,0,1,11,15,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L476,generate_level,setup_docs.build_man.generate_level~Fn,L461,L103,/content/borg/setup_docs.py,347,5,424,28,0,1,0,61,78,19,0,0,0,9,57,5,0,1,61,78,57,0,0,1,0,0,1,1,0,0,0,135.74788919877133,4.76,1237.6,0.0866666666666666,52,32,68.75555555555555,260.0
20,L478,build_topic_pages,setup_docs.build_man.build_topic_pages~Fn,L461,L103,/content/borg/setup_docs.py,426,5,435,56,0,0,0,9,10,2,0,0,0,4,8,2,0,0,9,10,8,0,0,0,0,0,0,0,0,0,0,11.60964047443681,0.6,13.95879750389424,0.0077548875021634,9,6,0.7754887502163467,23.264662506490403
21,L480,build_intro_page,setup_docs.build_man.build_intro_page~Fn,L461,L103,/content/borg/setup_docs.py,437,5,446,64,0,0,0,8,10,1,0,0,0,3,7,1,0,0,8,10,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
22,L487,new_doc,setup_docs.build_man.new_doc~Fn,L461,L103,/content/borg/setup_docs.py,448,5,452,25,0,0,0,5,5,1,0,0,0,1,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
