,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L134,test_from_json_unrecognized,challenges_test.ChallengeTest.test_from_json_unrecognized~Fn,L132,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,22,5,26,55,0,0,0,5,5,1,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
1,L140,setUp,challenges_test.UnrecognizedChallengeTest.setUp~Fn,L138,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,31,5,34,53,0,0,0,4,4,1,0,0,0,0,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L144,test_to_partial_json,challenges_test.UnrecognizedChallengeTest.test_to_partial_json~Fn,L138,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,36,5,37,56,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
3,L146,test_from_json,challenges_test.UnrecognizedChallengeTest.test_from_json~Fn,L138,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,39,5,41,71,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
4,L150,setUp,challenges_test.KeyAuthorizationChallengeResponseTest.setUp~Fn,L148,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,46,5,51,47,0,0,0,3,3,1,0,0,0,0,2,1,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L159,test_verify_ok,challenges_test.KeyAuthorizationChallengeResponseTest.test_verify_ok~Fn,L148,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,53,5,57,60,0,0,0,5,5,1,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L161,test_verify_wrong_token,challenges_test.KeyAuthorizationChallengeResponseTest.test_verify_wrong_token~Fn,L148,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,59,5,63,64,0,0,0,5,5,1,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
7,L163,test_verify_wrong_thumbprint,challenges_test.KeyAuthorizationChallengeResponseTest.test_verify_wrong_thumbprint~Fn,L148,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,65,5,69,64,0,0,0,5,5,1,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
8,L165,test_verify_wrong_form,challenges_test.KeyAuthorizationChallengeResponseTest.test_verify_wrong_form~Fn,L148,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,71,5,76,64,0,0,0,6,6,1,0,0,0,0,3,1,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
9,L169,setUp,challenges_test.DNS01ResponseTest.setUp~Fn,L167,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,81,5,92,48,0,0,0,11,12,1,0,0,0,0,6,1,0,0,11,12,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L173,test_to_partial_json,challenges_test.DNS01ResponseTest.test_to_partial_json~Fn,L167,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,94,5,95,47,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
11,L175,test_from_json,challenges_test.DNS01ResponseTest.test_from_json~Fn,L167,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,97,5,99,61,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
12,L177,test_from_json_hashable,challenges_test.DNS01ResponseTest.test_from_json_hashable~Fn,L167,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,101,5,103,48,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L179,test_simple_verify_failure,challenges_test.DNS01ResponseTest.test_simple_verify_failure~Fn,L167,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,105,5,109,27,0,0,0,5,5,1,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
14,L181,test_simple_verify_success,challenges_test.DNS01ResponseTest.test_simple_verify_success~Fn,L167,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,111,5,114,23,0,0,0,4,4,1,0,0,0,0,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L185,setUp,challenges_test.DNS01Test.setUp~Fn,L183,L103,/content/certbot/acme/acme/_internal/tests/challenges_test.py,119,5,126,9,0,0,0,8,8,1,0,0,0,0,3,1,0,0,8,8,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
