,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L125,find_class,checkpoint_pickle.Unpickler.find_class~Fn,L123,L103,/content/ComfyUI/comfy/checkpoint_pickle.py,9,5,13,47,0,1,0,4,5,2,0,0,0,0,3,3,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L142,__init__,cldm.ControlNet.__init__~Fn,L140,L103,/content/ComfyUI/comfy/cldm/cldm.py,23,5,276,32,0,11,0,235,254,32,0,0,0,1,99,34,0,11,235,254,99,0,0,7,0,0,2,1,0,0,6,335.49577839754267,13.02,11249.28,0.288,144,64,624.9599999999999,864.0
2,L179,make_zero_conv,cldm.ControlNet.make_zero_conv~Fn,L140,L103,/content/ComfyUI/comfy/cldm/cldm.py,278,5,279,116,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L184,forward,cldm.ControlNet.forward~Fn,L140,L103,/content/ComfyUI/comfy/cldm/cldm.py,281,5,307,19,0,0,0,21,27,4,0,0,0,0,19,7,0,0,21,27,19,0,0,1,0,0,1,0,0,0,1,28.75488750216347,1.875,97.296514274174,0.0172971580931864,15,11,5.405361904120777,51.89147427955947
4,L198,__init__,cli_args.EnumAction.__init__~Fn,L195,L103,/content/ComfyUI/comfy/cli_args.py,9,5,26,30,0,3,0,11,18,3,0,0,0,0,10,2,0,3,11,18,10,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
5,L203,__call__,cli_args.EnumAction.__call__~Fn,L195,L103,/content/ComfyUI/comfy/cli_args.py,28,5,31,44,0,1,0,3,4,1,0,0,0,0,2,5,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L230,__init__,clip_vision.ClipVisionModel.__init__~Fn,L228,L103,/content/ComfyUI/comfy/clip_vision.py,12,5,34,53,0,1,0,21,23,2,0,0,0,0,12,2,0,1,21,23,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L235,load_sd,clip_vision.ClipVisionModel.load_sd~Fn,L228,L103,/content/ComfyUI/comfy/clip_vision.py,36,5,37,59,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L238,encode_image,clip_vision.ClipVisionModel.encode_image~Fn,L228,L103,/content/ComfyUI/comfy/clip_vision.py,39,5,63,22,0,0,0,21,25,5,0,0,0,0,18,2,0,0,21,25,18,0,0,0,0,0,0,0,0,0,0,40.13896548741762,2.5,133.25742227201613,0.0177676563029354,14,14,7.403190126223119,53.30296890880645
9,L262,__init__,controlnet.ControlBase.__init__~Fn,L260,L103,/content/ComfyUI/comfy/controlnet.py,32,5,43,43,0,0,0,11,12,2,0,0,0,0,10,2,0,0,11,12,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L267,set_cond_hint,controlnet.ControlBase.set_cond_hint~Fn,L260,L103,/content/ComfyUI/comfy/controlnet.py,45,5,49,19,0,0,0,5,5,1,0,0,0,0,4,4,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
