,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L191,__init__,file_helpers.NamedTemporaryDir.__init__~Fn,L189,L103,/content/openpilot/common/file_helpers.py,43,3,44,47,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L196,name,file_helpers.NamedTemporaryDir.name~Fn,L189,L103,/content/openpilot/common/file_helpers.py,46,3,48,21,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L198,close,file_helpers.NamedTemporaryDir.close~Fn,L189,L103,/content/openpilot/common/file_helpers.py,50,3,51,29,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L200,__enter__,file_helpers.NamedTemporaryDir.__enter__~Fn,L189,L103,/content/openpilot/common/file_helpers.py,53,3,54,15,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L202,__exit__,file_helpers.NamedTemporaryDir.__exit__~Fn,L189,L103,/content/openpilot/common/file_helpers.py,56,3,57,16,0,0,0,2,2,1,0,0,0,1,1,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L211,__init__,file_helpers.CallbackReader.__init__~Fn,L208,L103,/content/openpilot/common/file_helpers.py,63,3,67,23,0,0,0,5,5,1,0,0,0,0,4,4,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L218,__getattr__,file_helpers.CallbackReader.__getattr__~Fn,L208,L103,/content/openpilot/common/file_helpers.py,69,3,70,32,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L221,read,file_helpers.CallbackReader.read~Fn,L208,L103,/content/openpilot/common/file_helpers.py,72,3,76,16,0,0,0,5,5,1,0,0,0,0,4,3,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L244,__init__,filter_simple.FirstOrderFilter.__init__~Fn,L242,L103,/content/openpilot/common/filter_simple.py,3,3,7,34,0,1,0,5,5,1,0,0,0,1,4,5,0,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L252,update_alpha,filter_simple.FirstOrderFilter.update_alpha~Fn,L242,L103,/content/openpilot/common/filter_simple.py,9,3,10,41,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,18.575424759098897,0.0046438561897747,6,5,1.0319680421721609,13.931568569324174
10,L256,update,filter_simple.FirstOrderFilter.update~Fn,L242,L103,/content/openpilot/common/filter_simple.py,12,3,18,17,0,0,0,7,7,2,0,0,0,0,5,2,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,20.264662506490406,2.0,76.0782000346155,0.0126797000057692,12,9,4.226566668589751,38.03910001730775
