,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L202,__init__,bandits.Bandit.__init__~Fn,L200,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,11,5,16,26,0,0,0,5,6,1,0,0,0,0,4,4,0,0,5,6,4,0,0,0,0,0,0,0,0,0,0,40.13896548741762,3.055555555555556,197.77093622910328,0.021575011224993,17,14,10.987274234950185,64.72503367497926
1,L209,__repr__,bandits.Bandit.__repr__~Fn,L200,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,18,5,22,48,0,1,1,4,5,1,0,0,0,0,3,1,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L212,hyperparameters,bandits.Bandit.hyperparameters~Fn,L200,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,24,5,27,17,0,1,1,3,4,1,0,0,0,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L215,oracle_payoff,bandits.Bandit.oracle_payoff~Fn,L200,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,29,5,45,12,0,14,14,3,17,1,0,0,0,0,1,2,0,14,3,17,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L219,pull,bandits.Bandit.pull~Fn,L200,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,47,5,67,42,0,16,16,4,21,1,0,0,0,1,3,3,0,16,4,21,3,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
5,L226,reset,bandits.Bandit.reset~Fn,L200,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,69,5,71,21,0,1,1,2,3,1,0,0,0,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L224,_pull,bandits.Bandit._pull~Fn,L200,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,73,5,75,12,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
7,L233,__init__,bandits.MultinomialBandit.__init__~Fn,L231,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,79,5,107,47,0,14,14,12,29,2,0,0,0,0,11,3,0,14,12,29,11,0,0,0,0,0,0,0,0,0,0,40.13896548741762,3.055555555555556,197.77093622910328,0.021575011224993,17,14,10.987274234950185,64.72503367497926
8,L240,hyperparameters,bandits.MultinomialBandit.hyperparameters~Fn,L231,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,109,5,116,9,0,1,1,7,8,1,0,0,0,0,1,1,0,1,7,8,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L243,oracle_payoff,bandits.MultinomialBandit.oracle_payoff~Fn,L231,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,118,5,134,42,0,15,15,2,17,1,0,0,0,0,1,2,0,15,2,17,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L247,_pull,bandits.MultinomialBandit._pull~Fn,L231,L103,/content/numpy-ml/numpy_ml/bandits/bandits.py,136,5,139,49,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
