,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L184,ready,apps.RestFrameworkConfig.ready~Fn,L177,L103,/content/django-rest-framework/rest_framework/apps.py,8,5,10,51,0,2,0,2,3,1,0,0,0,0,1,1,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L197,_reject,authentication.CSRFCheck._reject~Fn,L195,L103,/content/django-rest-framework/rest_framework/authentication.py,28,5,30,21,0,1,0,2,3,1,0,0,0,0,1,3,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L206,authenticate,authentication.BaseAuthentication.authenticate~Fn,L203,L103,/content/django-rest-framework/rest_framework/authentication.py,38,5,42,72,0,3,3,2,5,1,0,0,0,0,1,2,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
3,L212,authenticate_header,authentication.BaseAuthentication.authenticate_header~Fn,L203,L103,/content/django-rest-framework/rest_framework/authentication.py,44,5,50,12,0,5,5,2,7,1,0,0,0,0,1,2,0,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L220,authenticate,authentication.BasicAuthentication.authenticate~Fn,L216,L103,/content/django-rest-framework/rest_framework/authentication.py,59,5,87,71,0,4,4,20,29,7,0,0,0,2,17,2,0,4,20,29,17,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
5,L227,authenticate_credentials,authentication.BasicAuthentication.authenticate_credentials~Fn,L216,L103,/content/django-rest-framework/rest_framework/authentication.py,89,5,106,27,0,4,4,11,18,3,0,0,0,0,7,4,0,4,11,18,7,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
6,L234,authenticate_header,authentication.BasicAuthentication.authenticate_header~Fn,L216,L103,/content/django-rest-framework/rest_framework/authentication.py,108,5,109,63,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L241,authenticate,authentication.SessionAuthentication.authenticate~Fn,L238,L103,/content/django-rest-framework/rest_framework/authentication.py,117,5,133,27,0,7,4,6,17,3,0,0,0,1,5,2,0,7,6,17,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L247,enforce_csrf,authentication.SessionAuthentication.enforce_csrf~Fn,L238,L103,/content/django-rest-framework/rest_framework/authentication.py,135,5,148,73,0,5,3,6,12,2,0,0,0,0,5,2,0,6,8,14,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
9,L259,get_model,authentication.TokenAuthentication.get_model~Fn,L254,L103,/content/django-rest-framework/rest_framework/authentication.py,164,5,168,20,0,0,0,5,5,2,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
