,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L170,build_options,setup.build_ext_options.build_options~Fn,L168,L103,/content/spaCy/setup.py,94,5,102,13,0,0,0,9,9,3,0,0,0,0,4,1,0,0,9,9,4,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
1,L176,build_extensions,setup.build_ext_subclass.build_extensions~Fn,L174,L103,/content/spaCy/setup.py,106,5,110,40,0,0,0,5,5,3,0,0,0,1,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.8,48.6,0.009,9,8,2.7,27.0
2,L312,__enter__,benchmark_speed.time_context.__enter__~Fn,L309,L103,/content/spaCy/spacy/cli/benchmark_speed.py,65,5,67,19,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L316,__exit__,benchmark_speed.time_context.__exit__~Fn,L309,L103,/content/spaCy/spacy/cli/benchmark_speed.py,69,5,70,55,0,0,0,2,2,1,0,0,0,0,1,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
4,L328,__init__,benchmark_speed.Quartiles.__init__~Fn,L321,L103,/content/spaCy/spacy/cli/benchmark_speed.py,82,5,86,36,0,0,0,5,5,1,0,0,0,0,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
5,L1073,__init__,render.SpanRenderer.__init__~Fn,L1069,L103,/content/spaCy/spacy/displacy/render.py,57,5,100,57,0,11,4,31,44,6,0,0,0,0,28,2,0,11,31,44,28,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
6,L1079,render,render.SpanRenderer.render~Fn,L1069,L103,/content/spaCy/spacy/displacy/render.py,102,5,127,21,0,7,7,18,26,5,0,0,0,1,14,4,0,7,18,26,14,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
7,L1085,render_spans,render.SpanRenderer.render_spans~Fn,L1069,L103,/content/spaCy/spacy/displacy/render.py,129,5,200,21,0,26,10,47,72,8,0,0,0,1,31,4,0,26,47,72,31,0,0,0,0,0,0,0,0,0,0,53.563522809337215,3.272727272727273,254.16587121956655,0.0258872646612521,19,17,14.12032617886481,77.66179398375645
8,L1092,_render_markup,render.SpanRenderer._render_markup~Fn,L1069,L103,/content/spaCy/spacy/displacy/render.py,202,5,227,21,0,4,1,22,26,4,0,0,0,0,11,2,0,4,22,26,11,0,0,0,0,0,0,0,0,0,0,90.56842503028857,3.1666666666666665,421.05238964955953,0.0443213041736378,29,24,23.39179942497553,132.96391252091354
9,L1097,_get_span_slices,render.SpanRenderer._get_span_slices~Fn,L1069,L103,/content/spaCy/spacy/displacy/render.py,229,5,246,35,0,5,1,13,18,2,0,0,0,0,7,2,0,5,13,18,7,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
10,L1101,_get_span_starts,render.SpanRenderer._get_span_starts~Fn,L1069,L103,/content/spaCy/spacy/displacy/render.py,248,5,267,35,0,1,1,19,20,3,0,0,0,0,7,2,0,1,19,20,7,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
11,L1109,__init__,render.DependencyRenderer.__init__~Fn,L1105,L103,/content/spaCy/spacy/displacy/render.py,275,5,293,32,0,8,6,13,19,4,0,0,0,0,12,2,0,8,13,19,12,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
12,L1115,render,render.DependencyRenderer.render~Fn,L1105,L103,/content/spaCy/spacy/displacy/render.py,295,5,328,21,0,9,7,25,34,6,0,0,0,1,19,4,0,9,25,34,19,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
13,L1121,render_svg,render.DependencyRenderer.render_svg~Fn,L1105,L103,/content/spaCy/spacy/displacy/render.py,330,5,368,9,0,7,7,32,39,1,0,0,0,3,10,4,0,7,32,39,10,0,0,0,0,0,0,0,0,0,0,63.35824643629125,1.6,160.1251200553848,0.0333594000115385,24,18,8.895840003076934,100.07820003461548
14,L1128,render_word,render.DependencyRenderer.render_word~Fn,L1105,L103,/content/spaCy/spacy/displacy/render.py,370,5,387,70,0,7,7,11,18,3,0,0,0,0,8,5,0,7,11,18,8,0,0,0,0,0,0,0,0,0,0,54.62919048309069,2.5,183.9358278562653,0.024524777047502,18,17,10.218657103125851,73.57433114250613
15,L1130,render_arrow,render.DependencyRenderer.render_arrow~Fn,L1105,L103,/content/spaCy/spacy/displacy/render.py,389,5,433,9,0,9,9,36,45,9,0,0,0,2,20,6,0,9,36,45,20,0,0,1,0,0,0,0,0,0,1,232.64052645972987,7.763157894736842,3858.7681699061577,0.1656872208547276,89,48,214.37600943923096,497.061662564183
16,L1147,get_arc,render.DependencyRenderer.get_arc~Fn,L1105,L103,/content/spaCy/spacy/displacy/render.py,435,5,447,66,0,8,8,5,13,2,0,0,0,0,4,5,0,8,5,13,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L1149,get_arrowhead,render.DependencyRenderer.get_arrowhead~Fn,L1105,L103,/content/spaCy/spacy/displacy/render.py,449,5,462,88,0,8,8,6,14,2,0,0,0,0,4,5,0,8,6,14,4,0,0,0,0,0,0,0,0,0,0,42.80863530717375,3.272727272727273,448.5756344533322,0.0456882590646912,36,14,24.92086858074068,137.06477719407374
18,L1132,get_levels,render.DependencyRenderer.get_levels~Fn,L1105,L103,/content/spaCy/spacy/displacy/render.py,464,5,480,21,0,6,6,11,17,3,0,0,0,0,10,2,0,6,11,17,10,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
19,L1170,__init__,render.EntityRenderer.__init__~Fn,L1166,L103,/content/spaCy/spacy/displacy/render.py,488,5,518,43,0,6,4,25,31,7,0,0,0,0,22,2,0,6,25,31,22,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
20,L1176,render,render.EntityRenderer.render~Fn,L1166,L103,/content/spaCy/spacy/displacy/render.py,520,5,544,21,0,7,7,18,25,5,0,0,0,1,14,4,0,7,18,25,14,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
21,L1182,render_ents,render.EntityRenderer.render_ents~Fn,L1166,L103,/content/spaCy/spacy/displacy/render.py,546,5,592,21,0,7,6,41,47,12,0,0,0,0,32,4,0,7,41,47,32,0,0,1,0,0,1,1,0,0,0,134.03910001730776,6.0,1620.0,0.09,54,32,90.0,270.0
22,L1215,__getattribute__,errors.ErrorsWithCodes.__getattribute__~Fn,L1213,L103,/content/spaCy/spacy/errors.py,7,5,12,62,0,1,0,6,6,2,0,0,0,0,4,2,0,1,6,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
23,L1619,__init__,errors.MatchPatternError.__init__~Fn,L1617,L103,/content/spaCy/spacy/errors.py,1002,5,1013,38,0,6,6,6,12,2,0,0,0,0,5,3,0,6,6,12,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
24,L1807,get_lookups_config,lemmatizer.CatalanLemmatizer.get_lookups_config~Fn,L1804,L103,/content/spaCy/spacy/lang/ca/lemmatizer.py,18,5,24,51,0,0,0,7,7,2,0,0,0,0,4,2,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
25,L1810,rule_lemmatize,lemmatizer.CatalanLemmatizer.rule_lemmatize~Fn,L1804,L103,/content/spaCy/spacy/lang/ca/lemmatizer.py,26,5,81,20,0,1,0,54,56,14,0,0,0,0,40,2,0,1,54,56,40,0,0,1,0,0,1,1,0,0,0,101.9483369020742,3.75,705.0659577211638,0.0626725295752145,40,26,39.1703309845091,188.0175887256437
26,L2102,rule_lemmatize,lemmatizer.GreekLemmatizer.rule_lemmatize~Fn,L2099,L103,/content/spaCy/spacy/lang/el/lemmatizer.py,18,5,62,20,0,5,5,38,45,12,0,0,0,0,36,2,0,5,38,45,36,0,0,1,0,0,1,1,0,0,0,70.2129994085646,3.1666666666666665,424.2692746481094,0.0446599236471694,31,20,23.570515258228298,133.97977094150824
27,L2161,is_base_form,lemmatizer.EnglishLemmatizer.is_base_form~Fn,L2158,L103,/content/spaCy/spacy/lang/en/lemmatizer.py,8,5,40,24,0,10,8,23,33,14,0,0,0,0,17,2,0,10,23,33,17,0,0,1,0,0,1,1,0,0,0,158.33497312415662,1.7903225806451613,500.950978158602,0.0932701520895895,55,34,27.830609897700118,279.8104562687687
