,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L234,__init__,arguments.Arguments.__init__~Fn,L231,L103,/content/freqtrade/freqtrade/commands/arguments.py,133,5,135,61,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L239,get_parsed_arg,arguments.Arguments.get_parsed_arg~Fn,L231,L103,/content/freqtrade/freqtrade/commands/arguments.py,137,5,146,37,0,4,4,5,10,2,0,0,0,2,4,1,0,4,5,10,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L242,_parse_args,arguments.Arguments._parse_args~Fn,L231,L103,/content/freqtrade/freqtrade/commands/arguments.py,148,5,175,25,0,9,3,16,28,9,0,0,0,0,13,1,0,9,16,28,13,0,0,0,0,0,0,0,0,0,0,94.71013448036484,4.861111111111111,857.8234350556087,0.0588221784038131,38,25,47.65685750308937,176.46653521143952
3,L248,_build_args,arguments.Arguments._build_args~Fn,L231,L103,/content/freqtrade/freqtrade/commands/arguments.py,177,5,181,65,0,0,0,4,5,2,0,0,0,0,3,3,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L244,_build_subcommands,arguments.Arguments._build_subcommands~Fn,L231,L103,/content/freqtrade/freqtrade/commands/arguments.py,183,5,483,55,0,41,4,220,301,1,0,0,0,1,106,1,0,41,220,301,106,0,0,5,0,0,1,0,0,0,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L289,__init__,cli_options.Arg.__init__~Fn,L287,L103,/content/freqtrade/freqtrade/commands/cli_options.py,37,5,39,28,0,1,0,3,3,1,0,0,0,0,2,3,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L565,__init__,configuration.Configuration.__init__~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,31,5,34,30,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L571,get_config,configuration.Configuration.get_config~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,36,5,44,26,0,4,4,4,9,2,0,0,0,1,3,1,0,4,4,9,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L576,from_files,configuration.Configuration.from_files~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,46,5,60,29,0,11,10,4,15,1,0,0,0,1,2,1,0,11,4,15,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L574,load_config,configuration.Configuration.load_config~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,62,5,112,21,0,10,4,23,51,3,0,0,0,10,22,1,0,10,23,51,22,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
10,L582,_process_logging_options,configuration.Configuration._process_logging_options~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,114,5,125,29,0,5,4,5,12,3,0,0,0,0,4,2,0,5,5,12,4,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
11,L584,_process_trading_options,configuration.Configuration._process_trading_options~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,127,5,141,80,0,1,0,12,15,5,0,0,0,0,10,2,0,1,12,15,10,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
12,L586,_process_common_options,configuration.Configuration._process_common_options~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,143,5,165,59,0,2,0,15,23,9,0,0,0,1,11,2,0,2,15,23,11,0,0,0,0,0,0,0,0,0,0,59.71535681027101,2.6923076923076925,235.7611443123153,0.0291894750100961,21,18,13.097841350684185,87.56842503028855
13,L611,_process_datadir_options,configuration.Configuration._process_datadir_options~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,167,5,199,61,0,7,4,21,33,8,0,0,0,1,17,2,0,7,21,33,17,0,0,0,0,0,0,0,0,0,0,61.30296890880645,2.2857142857142856,228.75017150769253,0.0333594000115385,24,18,12.708342861538474,100.07820003461548
14,L588,_process_optimize_options,configuration.Configuration._process_optimize_options~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,201,5,390,86,0,5,0,135,190,13,0,0,0,2,73,2,0,5,135,190,73,0,0,5,0,0,1,1,0,0,4,98.04820237218406,2.875,480.639115641684,0.0557262742772966,36,25,26.702173091204667,167.17882283189007
15,L590,_process_plot_options,configuration.Configuration._process_plot_options~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,392,5,442,67,0,0,0,35,51,1,0,0,0,1,17,2,0,0,35,51,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L592,_process_data_options,configuration.Configuration._process_data_options~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,444,5,453,69,0,0,0,10,10,3,0,0,0,1,5,2,0,0,10,10,5,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
17,L594,_process_analyze_options,configuration.Configuration._process_analyze_options~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,455,5,494,93,0,1,0,27,40,1,0,0,0,1,13,2,0,1,27,40,13,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L596,_process_runmode,configuration.Configuration._process_runmode~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,496,5,507,48,0,1,0,8,12,3,0,0,0,1,5,2,0,1,8,12,5,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
19,L598,_process_freqai_options,configuration.Configuration._process_freqai_options~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,509,5,517,14,0,0,0,6,9,1,0,0,0,1,3,2,0,0,6,9,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L609,_args_to_config,configuration.Configuration._args_to_config~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,519,5,540,82,0,9,9,12,22,6,0,0,0,0,7,6,0,9,12,22,7,0,0,1,0,0,0,0,0,0,1,33.28421251514428,1.5,69.90676876406255,0.015534837503125,13,12,3.883709375781253,46.60451250937504
21,L600,_resolve_pairs_list,configuration.Configuration._resolve_pairs_list~Fn,L562,L103,/content/freqtrade/freqtrade/configuration/configuration.py,542,5,577,42,0,10,7,23,36,11,0,0,0,0,21,2,0,10,23,36,21,0,0,1,0,0,1,1,0,0,0,56.1057163358342,2.6153846153846154,277.9474732050232,0.0354246779575029,26,17,15.441526289167951,106.27403387250884
22,L736,__init__,timerange.TimeRange.__init__~Fn,L733,L103,/content/freqtrade/freqtrade/configuration/timerange.py,25,5,31,33,0,0,0,6,7,1,0,0,0,0,4,5,0,0,6,7,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
23,L744,startdt,timerange.TimeRange.startdt~Fn,L733,L103,/content/freqtrade/freqtrade/configuration/timerange.py,33,5,37,19,0,0,0,5,5,2,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
24,L746,stopdt,timerange.TimeRange.stopdt~Fn,L733,L103,/content/freqtrade/freqtrade/configuration/timerange.py,39,5,43,19,0,0,0,5,5,2,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
25,L748,timerange_str,timerange.TimeRange.timerange_str~Fn,L733,L103,/content/freqtrade/freqtrade/configuration/timerange.py,45,5,57,32,0,4,4,9,13,3,0,0,0,0,7,1,0,4,9,13,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
26,L751,start_fmt,timerange.TimeRange.start_fmt~Fn,L733,L103,/content/freqtrade/freqtrade/configuration/timerange.py,59,5,67,18,0,3,3,6,9,2,0,0,0,0,4,1,0,3,6,9,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
27,L754,stop_fmt,timerange.TimeRange.stop_fmt~Fn,L733,L103,/content/freqtrade/freqtrade/configuration/timerange.py,69,5,77,18,0,3,3,6,9,2,0,0,0,0,4,1,0,3,6,9,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
28,L757,__eq__,timerange.TimeRange.__eq__~Fn,L733,L103,/content/freqtrade/freqtrade/configuration/timerange.py,79,5,82,82,0,1,1,3,4,4,0,0,0,0,1,2,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,26.0,1.5,84.70916641962775,0.0188242592043617,17,10,4.706064801090431,56.47277761308517
29,L761,subtract_start,timerange.TimeRange.subtract_start~Fn,L733,L103,/content/freqtrade/freqtrade/configuration/timerange.py,84,5,91,49,0,5,5,3,8,2,0,0,0,0,2,2,0,5,3,8,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
30,L765,adjust_start_if_necessary,timerange.TimeRange.adjust_start_if_necessary~Fn,L733,L103,/content/freqtrade/freqtrade/configuration/timerange.py,93,5,110,35,0,10,9,8,18,4,0,0,0,0,4,4,0,10,8,18,4,0,0,0,0,0,0,0,0,0,0,48.72905595320056,3.3,224.4,0.0226666666666666,17,16,12.466666666666663,68.0
31,L771,parse_timerange,timerange.TimeRange.parse_timerange~Fn,L733,L103,/content/freqtrade/freqtrade/configuration/timerange.py,112,5,162,78,0,7,5,45,51,13,0,0,0,0,29,2,0,7,45,51,29,0,0,1,0,0,1,1,0,0,0,113.61727061434748,3.5454545454545454,681.7703344008966,0.0640980656274347,40,28,37.8761296889387,192.29419688230416
32,L1069,__init__,dataprovider.DataProvider.__init__~Fn,L1067,L103,/content/freqtrade/freqtrade/data/dataprovider.py,36,5,64,60,0,0,0,25,29,1,0,0,0,0,16,5,0,0,25,29,16,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
33,L1077,_set_dataframe_max_index,dataprovider.DataProvider._set_dataframe_max_index~Fn,L1067,L103,/content/freqtrade/freqtrade/data/dataprovider.py,66,5,72,40,0,5,5,2,7,1,0,0,0,0,1,2,0,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
34,L1081,_set_dataframe_max_date,dataprovider.DataProvider._set_dataframe_max_date~Fn,L1067,L103,/content/freqtrade/freqtrade/data/dataprovider.py,74,5,80,38,0,5,5,2,7,1,0,0,0,0,1,2,0,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
