,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L632,__init__,autodidax.Trace.__init__~Fn,L629,L103,/content/jax/docs/autodidax.py,183,3,184,20,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L637,pure,autodidax.Trace.pure~Fn,L629,L103,/content/jax/docs/autodidax.py,186,3,186,35,0,1,0,1,1,1,0,0,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L640,lift,autodidax.Trace.lift~Fn,L629,L103,/content/jax/docs/autodidax.py,187,3,187,35,0,1,0,1,1,1,0,0,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L643,process_primitive,autodidax.Trace.process_primitive~Fn,L629,L103,/content/jax/docs/autodidax.py,189,3,190,16,0,1,0,2,2,1,0,0,0,0,1,4,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L652,aval,autodidax.Tracer.aval~Fn,L648,L103,/content/jax/docs/autodidax.py,217,3,219,16,0,1,0,3,3,1,0,0,0,0,1,1,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
5,L656,full_lower,autodidax.Tracer.full_lower~Fn,L648,L103,/content/jax/docs/autodidax.py,221,3,222,15,0,1,0,2,2,1,0,0,0,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L658,__neg__,autodidax.Tracer.__neg__~Fn,L648,L103,/content/jax/docs/autodidax.py,224,3,224,48,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L660,__add__,autodidax.Tracer.__add__~Fn,L648,L103,/content/jax/docs/autodidax.py,225,3,225,62,0,0,0,1,1,1,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,0.001,3,2,0.1666666666666666,3.0
8,L663,__radd__,autodidax.Tracer.__radd__~Fn,L648,L103,/content/jax/docs/autodidax.py,226,3,226,64,0,0,0,1,1,1,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L666,__mul__,autodidax.Tracer.__mul__~Fn,L648,L103,/content/jax/docs/autodidax.py,227,3,227,62,0,0,0,1,1,1,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L669,__rmul__,autodidax.Tracer.__rmul__~Fn,L648,L103,/content/jax/docs/autodidax.py,228,3,228,64,0,0,0,1,1,1,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L672,__gt__,autodidax.Tracer.__gt__~Fn,L648,L103,/content/jax/docs/autodidax.py,229,3,229,60,0,0,0,1,1,1,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L675,__lt__,autodidax.Tracer.__lt__~Fn,L648,L103,/content/jax/docs/autodidax.py,230,3,230,60,0,0,0,1,1,1,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L678,__bool__,autodidax.Tracer.__bool__~Fn,L648,L103,/content/jax/docs/autodidax.py,231,3,231,50,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L680,__nonzero__,autodidax.Tracer.__nonzero__~Fn,L648,L103,/content/jax/docs/autodidax.py,232,3,232,56,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L682,__getattr__,autodidax.Tracer.__getattr__~Fn,L648,L103,/content/jax/docs/autodidax.py,234,3,238,80,0,0,0,5,5,2,0,0,0,0,3,2,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L692,__init__,autodidax.ShapedArray.__init__~Fn,L687,L103,/content/jax/docs/autodidax.py,249,3,251,22,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L698,ndim,autodidax.ShapedArray.ndim~Fn,L687,L103,/content/jax/docs/autodidax.py,253,3,255,26,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
