,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L149,__init__,client.Client.__init__~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,69,5,141,63,0,12,9,57,73,10,0,0,0,3,33,7,0,12,57,73,33,0,0,1,0,0,2,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L169,duplicate,client.Client.duplicate~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,143,5,258,21,0,33,30,84,116,16,0,0,0,0,34,10,0,33,84,116,34,0,0,4,0,0,2,1,0,0,3,40.13896548741762,4.444444444444445,406.1178583528111,0.0304588393764608,24,14,22.56210324182284,91.37651812938248
2,L163,_get_space_state,client.Client._get_space_state~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,260,5,264,25,0,0,0,5,5,2,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
3,L182,predict,client.Client.predict~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,266,5,292,80,0,15,15,12,27,2,0,0,0,2,4,4,0,15,12,27,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L188,submit,client.Client.submit~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,294,5,353,18,0,20,19,27,52,5,0,0,0,2,13,5,0,20,34,60,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L203,view_api,client.Client.view_api~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,355,5,478,23,0,73,69,46,124,14,0,0,0,1,32,4,0,73,46,124,32,0,0,2,0,0,1,1,0,0,1,86.66829050039843,3.333333333333333,542.8274347268416,0.0542827434726841,36,23,30.157079707046755,162.84823041805248
6,L211,reset_session,client.Client.reset_session~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,480,5,481,45,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L209,_render_endpoints_info,client.Client._render_endpoints_info~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,483,5,532,25,0,0,0,47,50,11,0,0,0,0,31,3,0,0,47,50,31,0,0,1,0,0,1,1,0,0,0,35.219280948873624,1.6,137.66256002769242,0.0286797000057692,24,12,7.647920001538468,86.03910001730776
8,L216,__repr__,client.Client.__repr__~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,534,5,535,67,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L219,__str__,client.Client.__str__~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,537,5,538,67,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L221,_telemetry_thread,client.Client._telemetry_thread~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,540,5,553,16,0,1,0,13,14,2,0,0,0,0,4,1,0,1,13,14,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L190,_infer_fn_index,client.Client._infer_fn_index~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,555,5,587,32,0,0,0,33,33,12,0,0,0,0,22,3,0,0,33,33,22,0,0,1,0,0,1,1,0,0,0,110.43856189774723,5.6,1157.611065231471,0.0689054205494923,43,28,64.31172584619283,206.71626164847697
12,L226,__del__,client.Client.__del__~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,589,5,591,45,0,0,0,3,3,2,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L165,_space_name_to_src,client.Client._space_name_to_src~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,593,5,594,74,0,1,0,2,2,1,0,0,0,0,1,2,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L167,_get_config,client.Client._get_config~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,596,5,616,25,0,3,0,20,21,4,0,0,0,0,11,1,0,3,20,21,11,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
15,L231,deploy_discord,client.Client.deploy_discord~Fn,L146,L103,/content/gradio/client/python/gradio_client/client.py,618,5,756,18,0,9,9,115,139,26,0,0,0,0,56,6,0,9,115,139,56,0,0,5,0,0,1,1,0,0,4,241.4064488084753,4.95,1889.9113335291795,0.1272667564666114,68,49,104.9950740849544,381.8002693998342
16,L241,__init__,client.Endpoint.__init__~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,762,5,781,33,0,2,0,18,20,5,0,0,0,2,14,4,0,2,18,20,14,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L250,__repr__,client.Endpoint.__repr__~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,783,5,784,103,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L252,__str__,client.Endpoint.__str__~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,786,5,787,30,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L255,make_end_to_end_fn,client.Endpoint.make_end_to_end_fn~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,789,5,808,21,0,0,0,3,5,1,0,0,0,1,2,2,0,2,16,20,14,0,0,0,0,0,0,0,0,0,0,2.0,0.5,3.1699250014423126,0.0021132833342948,4,3,0.1761069445245729,6.339850002884625
20,L262,make_predict,client.Endpoint.make_predict~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,810,5,855,23,0,0,0,2,3,1,0,0,0,0,1,2,0,0,44,46,18,0,0,0,0,0,0,0,0,0,0,37.97416845103709,2.1,163.18939157002217,0.0259030780269876,21,13,9.066077309445676,77.70923408096293
21,L267,_predict_resolve,client.Endpoint._predict_resolve~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,857,5,862,22,0,1,1,5,6,2,0,0,0,2,4,2,0,1,5,6,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
22,L271,_upload,client.Endpoint._upload~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,864,5,910,23,0,5,0,43,47,8,0,0,0,0,23,2,0,5,43,47,23,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.7142857142857142,74.03154040034694,0.0143950217445119,13,10,4.11286335557483,43.18506523353572
23,L274,_add_uploaded_files_to_data,client.Endpoint._add_uploaded_files_to_data~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,912,5,922,33,0,1,1,10,11,3,0,0,0,0,5,3,0,1,10,11,5,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
24,L279,insert_state,client.Endpoint.insert_state~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,924,5,929,26,0,0,0,6,6,3,0,0,0,0,5,2,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
25,L282,remove_skipped_components,client.Endpoint.remove_skipped_components~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,931,5,937,26,0,0,0,7,7,1,0,0,0,0,2,2,0,0,7,7,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
26,L285,reduce_singleton_output,client.Endpoint.reduce_singleton_output~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,939,5,952,23,0,0,0,14,14,2,0,0,0,0,3,2,0,0,14,14,3,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
27,L288,serialize,client.Endpoint.serialize~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,954,5,969,16,0,0,0,15,16,2,0,0,0,2,8,2,0,0,15,16,8,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
28,L293,deserialize,client.Endpoint.deserialize~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,971,5,987,22,0,0,0,17,17,2,0,0,0,0,4,2,0,0,17,17,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
29,L296,process_predictions,client.Endpoint.process_predictions~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,989,5,994,26,0,0,0,6,6,2,0,0,0,3,5,2,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
30,L246,_setup_serializers,client.Endpoint._setup_serializers~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,996,5,1044,41,0,2,0,46,49,14,0,0,0,0,35,1,0,2,46,49,35,0,0,1,0,0,1,1,0,0,0,28.75488750216347,2.625,190.70116797738103,0.024216021330461,21,11,10.594509332076724,72.64806399138325
31,L248,_use_websocket,client.Endpoint._use_websocket~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,1046,5,1052,79,0,0,0,7,7,3,0,0,0,0,4,2,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.5,49.82892142331043,0.0110730936496245,10,10,2.7682734124061352,33.219280948873624
32,L305,_ws_fn,client.Endpoint._ws_fn~Fn,L151,L103,/content/gradio/client/python/gradio_client/client.py,1054,5,1061,83,0,1,0,8,8,1,0,0,0,0,2,4,0,1,8,8,2,0,0,0,0,0,0,0,0,0,0,2.0,1.0,9.509775004326938,0.0031699250014423,6,3,0.5283208335737188,9.509775004326938
33,L313,__init__,client.Job.__init__~Fn,L310,L103,/content/gradio/client/python/gradio_client/client.py,1076,5,1094,32,0,7,7,12,19,1,0,0,0,0,5,5,0,7,12,19,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
34,L322,__iter__,client.Job.__iter__~Fn,L310,L103,/content/gradio/client/python/gradio_client/client.py,1096,5,1097,19,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
35,L324,__next__,client.Job.__next__~Fn,L310,L103,/content/gradio/client/python/gradio_client/client.py,1099,5,1114,41,0,0,0,14,16,6,0,0,0,0,13,1,0,0,14,16,13,0,0,0,0,0,0,0,0,0,0,24.406371956566694,2.357142857142857,133.11440437370075,0.0188242592043617,17,10,7.3952446874278195,56.47277761308517
36,L326,result,client.Job.result~Fn,L310,L103,/content/gradio/client/python/gradio_client/client.py,1116,5,1131,46,0,14,14,2,16,1,0,0,0,0,1,2,0,14,2,16,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
37,L330,outputs,client.Job.outputs~Fn,L310,L103,/content/gradio/client/python/gradio_client/client.py,1133,5,1157,52,0,19,19,6,25,2,0,0,0,0,4,1,0,19,6,25,4,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
38,L333,status,client.Job.status~Fn,L310,L103,/content/gradio/client/python/gradio_client/client.py,1159,5,1232,62,0,19,17,57,74,10,0,0,0,0,18,1,0,19,57,74,18,0,0,0,0,0,1,0,0,0,0,24.406371956566694,1.7142857142857142,68.33680652339717,0.0132877123795494,12,10,3.796489251299843,39.86313713864836
39,L336,__getattr__,client.Job.__getattr__~Fn,L310,L103,/content/gradio/client/python/gradio_client/client.py,1234,5,1236,41,0,1,1,2,3,1,0,0,0,0,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
40,L340,cancel,client.Job.cancel~Fn,L310,L103,/content/gradio/client/python/gradio_client/client.py,1238,5,1257,35,0,14,14,6,20,2,0,0,0,0,5,1,0,14,6,20,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
41,L410,serialized_info,serializing.Serializable.serialized_info~Fn,L408,L103,/content/gradio/client/python/gradio_client/serializing.py,19,5,24,30,0,4,4,2,6,1,0,0,0,1,1,1,0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
42,L415,api_info,serializing.Serializable.api_info~Fn,L408,L103,/content/gradio/client/python/gradio_client/serializing.py,26,5,31,35,0,4,4,2,6,1,0,0,0,0,1,1,0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
43,L419,example_inputs,serializing.Serializable.example_inputs~Fn,L408,L103,/content/gradio/client/python/gradio_client/serializing.py,33,5,38,35,0,4,4,2,6,1,0,0,0,0,1,1,0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
44,L422,input_api_info,serializing.Serializable.input_api_info~Fn,L408,L103,/content/gradio/client/python/gradio_client/serializing.py,41,5,44,35,0,2,0,4,4,1,0,0,0,1,3,1,0,2,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
45,L424,output_api_info,serializing.Serializable.output_api_info~Fn,L408,L103,/content/gradio/client/python/gradio_client/serializing.py,47,5,50,35,0,2,0,4,4,1,0,0,0,1,3,1,0,2,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
46,L426,serialize,serializing.Serializable.serialize~Fn,L408,L103,/content/gradio/client/python/gradio_client/serializing.py,52,5,56,16,0,3,3,2,5,1,0,0,0,0,1,4,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,27.651484454403228,2.2857142857142856,94.88726725405158,0.0138377264745491,12,11,5.27151484744731,41.51317942364757
47,L432,deserialize,serializing.Serializable.deserialize~Fn,L408,L103,/content/gradio/client/python/gradio_client/serializing.py,58,5,68,16,0,3,3,8,11,1,0,0,0,0,1,5,0,3,8,11,1,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.0,27.0,0.009,9,8,1.5,27.0
48,L442,api_info,serializing.SimpleSerializable.api_info~Fn,L439,L103,/content/gradio/client/python/gradio_client/serializing.py,74,5,78,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
49,L446,example_inputs,serializing.SimpleSerializable.example_inputs~Fn,L439,L103,/content/gradio/client/python/gradio_client/serializing.py,80,5,84,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
50,L451,api_info,serializing.StringSerializable.api_info~Fn,L448,L103,/content/gradio/client/python/gradio_client/serializing.py,90,5,94,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
51,L455,example_inputs,serializing.StringSerializable.example_inputs~Fn,L448,L103,/content/gradio/client/python/gradio_client/serializing.py,96,5,100,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
52,L460,api_info,serializing.ListStringSerializable.api_info~Fn,L457,L103,/content/gradio/client/python/gradio_client/serializing.py,106,5,110,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
53,L464,example_inputs,serializing.ListStringSerializable.example_inputs~Fn,L457,L103,/content/gradio/client/python/gradio_client/serializing.py,112,5,116,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
54,L469,api_info,serializing.BooleanSerializable.api_info~Fn,L466,L103,/content/gradio/client/python/gradio_client/serializing.py,122,5,126,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
55,L473,example_inputs,serializing.BooleanSerializable.example_inputs~Fn,L466,L103,/content/gradio/client/python/gradio_client/serializing.py,128,5,132,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
56,L478,api_info,serializing.NumberSerializable.api_info~Fn,L475,L103,/content/gradio/client/python/gradio_client/serializing.py,138,5,142,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
57,L482,example_inputs,serializing.NumberSerializable.example_inputs~Fn,L475,L103,/content/gradio/client/python/gradio_client/serializing.py,144,5,148,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
58,L487,serialized_info,serializing.ImgSerializable.serialized_info~Fn,L484,L103,/content/gradio/client/python/gradio_client/serializing.py,154,5,158,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
59,L491,api_info,serializing.ImgSerializable.api_info~Fn,L484,L103,/content/gradio/client/python/gradio_client/serializing.py,160,5,161,85,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
60,L493,example_inputs,serializing.ImgSerializable.example_inputs~Fn,L484,L103,/content/gradio/client/python/gradio_client/serializing.py,163,5,167,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
61,L495,serialize,serializing.ImgSerializable.serialize~Fn,L484,L103,/content/gradio/client/python/gradio_client/serializing.py,169,5,186,62,0,7,7,11,18,3,0,0,0,0,5,4,0,7,11,18,5,0,0,0,0,0,0,0,0,0,0,27.651484454403228,2.2857142857142856,94.88726725405158,0.0138377264745491,12,11,5.27151484744731,41.51317942364757
62,L501,deserialize,serializing.ImgSerializable.deserialize~Fn,L484,L103,/content/gradio/client/python/gradio_client/serializing.py,188,5,207,24,0,9,9,11,20,3,0,0,0,0,4,5,0,9,11,20,4,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.0,27.0,0.009,9,8,1.5,27.0
63,L511,__init__,serializing.FileSerializable.__init__~Fn,L508,L103,/content/gradio/client/python/gradio_client/serializing.py,213,5,216,26,0,0,0,4,4,1,0,0,0,0,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
64,L515,serialized_info,serializing.FileSerializable.serialized_info~Fn,L508,L103,/content/gradio/client/python/gradio_client/serializing.py,218,5,219,50,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
65,L519,_single_file_api_info,serializing.FileSerializable._single_file_api_info~Fn,L508,L103,/content/gradio/client/python/gradio_client/serializing.py,221,5,225,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
66,L517,_single_file_serialized_info,serializing.FileSerializable._single_file_serialized_info~Fn,L508,L103,/content/gradio/client/python/gradio_client/serializing.py,227,5,231,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
67,L522,_multiple_file_serialized_info,serializing.FileSerializable._multiple_file_serialized_info~Fn,L508,L103,/content/gradio/client/python/gradio_client/serializing.py,233,5,241,9,0,0,0,9,9,1,0,0,0,0,1,1,0,0,9,9,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
68,L524,_multiple_file_api_info,serializing.FileSerializable._multiple_file_api_info~Fn,L508,L103,/content/gradio/client/python/gradio_client/serializing.py,243,5,247,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
69,L526,api_info,serializing.FileSerializable.api_info~Fn,L508,L103,/content/gradio/client/python/gradio_client/serializing.py,249,5,250,43,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
70,L529,example_inputs,serializing.FileSerializable.example_inputs~Fn,L508,L103,/content/gradio/client/python/gradio_client/serializing.py,252,5,253,49,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
71,L531,_single_file_example_inputs,serializing.FileSerializable._single_file_example_inputs~Fn,L508,L103,/content/gradio/client/python/gradio_client/serializing.py,255,5,259,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
72,L534,_multiple_file_example_inputs,serializing.FileSerializable._multiple_file_example_inputs~Fn,L508,L103,/content/gradio/client/python/gradio_client/serializing.py,261,5,267,9,0,0,0,7,7,1,0,0,0,0,1,1,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
