,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L128,__init__,adapters.Adapter.__init__~Fn,L125,L103,/content/ChatterBot/chatterbot/adapters.py,8,5,9,30,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L152,__init__,chatterbot.ChatBot.__init__~Fn,L149,L103,/content/ChatterBot/chatterbot/chatterbot.py,13,5,57,55,0,3,0,29,45,3,0,0,0,0,19,3,0,3,29,45,19,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L158,get_response,chatterbot.ChatBot.get_response~Fn,L149,L103,/content/ChatterBot/chatterbot/chatterbot.py,59,5,135,23,0,19,15,39,77,14,0,0,0,2,34,3,0,19,39,77,34,0,0,1,0,0,1,1,0,0,0,59.71535681027101,2.5,218.92106257572135,0.0291894750100961,21,18,12.162281254206745,87.56842503028855
3,L163,generate_response,chatterbot.ChatBot.generate_response~Fn,L149,L103,/content/ChatterBot/chatterbot/chatterbot.py,137,5,208,23,0,7,5,47,68,12,0,0,0,0,31,3,0,7,51,72,33,0,0,1,0,0,1,1,0,0,0,83.65148445440323,5.03125,796.5709881994146,0.0527748894873318,35,23,44.25394378885637,158.32466846199546
4,L165,learn_response,chatterbot.ChatBot.learn_response~Fn,L149,L103,/content/ChatterBot/chatterbot/chatterbot.py,210,5,235,59,0,4,3,17,26,6,0,0,0,1,13,3,0,4,17,26,13,0,0,0,0,0,0,0,0,0,0,2.0,0.75,7.132331253245203,0.0031699250014423,6,3,0.3962406251802891,9.509775004326938
5,L183,get_latest_response,chatterbot.ChatBot.get_latest_response~Fn,L149,L103,/content/ChatterBot/chatterbot/chatterbot.py,237,5,272,19,0,6,4,24,36,5,0,0,0,0,11,2,0,6,24,36,11,0,0,0,0,0,0,0,0,0,0,0.0,1.0,4.0,0.0013333333333333,4,2,0.2222222222222222,4.0
6,L196,__init__,comparisons.Comparator.__init__~Fn,L194,L103,/content/ChatterBot/chatterbot/comparisons.py,11,5,13,32,0,0,0,2,3,1,0,0,0,0,1,2,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L201,__call__,comparisons.Comparator.__call__~Fn,L194,L103,/content/ChatterBot/chatterbot/comparisons.py,15,5,16,53,0,0,0,2,2,1,0,0,0,1,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L205,compare,comparisons.Comparator.compare~Fn,L194,L103,/content/ChatterBot/chatterbot/comparisons.py,18,5,19,16,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,21.67132888561538,0.0054178322214038,7,5,1.2039627158675212,16.253496664211536
9,L213,compare,comparisons.LevenshteinDistance.compare~Fn,L210,L103,/content/ChatterBot/chatterbot/comparisons.py,32,5,57,22,0,9,6,12,26,3,0,0,0,0,7,3,0,9,12,26,7,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,21.67132888561538,0.0054178322214038,7,5,1.2039627158675212,16.253496664211536
10,L223,__init__,comparisons.SpacySimilarity.__init__~Fn,L220,L103,/content/ChatterBot/chatterbot/comparisons.py,65,5,77,54,0,0,0,12,13,2,0,0,0,0,6,2,0,0,12,13,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L228,compare,comparisons.SpacySimilarity.compare~Fn,L220,L103,/content/ChatterBot/chatterbot/comparisons.py,79,5,89,48,0,6,6,4,11,1,0,0,0,0,3,3,0,6,4,11,3,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,21.67132888561538,0.0054178322214038,7,5,1.2039627158675212,16.253496664211536
12,L236,__init__,comparisons.JaccardSimilarity.__init__~Fn,L233,L103,/content/ChatterBot/chatterbot/comparisons.py,118,5,130,54,0,0,0,12,13,2,0,0,0,0,6,2,0,0,12,13,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L241,compare,comparisons.JaccardSimilarity.compare~Fn,L233,L103,/content/ChatterBot/chatterbot/comparisons.py,132,5,153,20,0,6,4,13,22,1,0,0,0,0,8,3,0,6,13,22,8,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,21.67132888561538,0.0054178322214038,7,5,1.2039627158675212,16.253496664211536
