,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L321,__init__,fine_csv_logger.StreamTableFormatter.__init__~Fn,L319,L103,/content/HanLP/hanlp/callbacks/fine_csv_logger.py,14,5,16,30,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L325,format_row,fine_csv_logger.StreamTableFormatter.format_row~Fn,L319,L103,/content/HanLP/hanlp/callbacks/fine_csv_logger.py,18,5,25,97,0,0,0,8,8,4,0,0,0,1,7,2,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,10.0,1.0,18.09473750504809,0.0060315791683493,7,6,1.0052631947248942,18.09473750504809
2,L328,format_cell,fine_csv_logger.StreamTableFormatter.format_cell~Fn,L319,L103,/content/HanLP/hanlp/callbacks/fine_csv_logger.py,27,5,30,47,0,0,0,4,4,2,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L335,__init__,fine_csv_logger.FineCSVLogger.__init__~Fn,L333,L103,/content/HanLP/hanlp/callbacks/fine_csv_logger.py,35,5,42,47,0,0,0,8,8,1,0,0,0,0,7,4,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L342,on_train_begin,fine_csv_logger.FineCSVLogger.on_train_begin~Fn,L333,L103,/content/HanLP/hanlp/callbacks/fine_csv_logger.py,44,5,46,67,0,0,0,3,3,2,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L345,on_train_end,fine_csv_logger.FineCSVLogger.on_train_end~Fn,L333,L103,/content/HanLP/hanlp/callbacks/fine_csv_logger.py,48,5,49,24,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L348,on_epoch_end,fine_csv_logger.FineCSVLogger.on_epoch_end~Fn,L333,L103,/content/HanLP/hanlp/callbacks/fine_csv_logger.py,51,5,71,24,0,4,0,14,21,4,0,0,0,0,13,3,0,4,14,21,13,0,0,0,0,0,0,0,0,0,0,72.0,2.625,363.04195997053847,0.0461005663454652,32,20,20.168997776141023,138.3016990363956
7,L361,predict,component.Component.predict~Fn,L359,L103,/content/HanLP/hanlp/common/component.py,12,5,23,95,0,9,9,3,12,1,0,0,0,0,1,3,0,9,3,12,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L368,__call__,component.Component.__call__~Fn,L359,L103,/content/HanLP/hanlp/common/component.py,25,5,36,44,0,10,10,2,12,1,0,0,0,1,1,3,0,10,2,12,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L379,__init__,dataset.Transformable.__init__~Fn,L377,L103,/content/HanLP/hanlp/common/dataset.py,31,5,41,66,0,6,6,5,11,3,0,0,0,0,4,2,0,6,5,11,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L385,append_transform,dataset.Transformable.append_transform~Fn,L377,L103,/content/HanLP/hanlp/common/dataset.py,43,5,62,19,0,9,9,11,20,5,0,0,0,0,9,2,0,9,11,20,9,0,0,0,0,0,0,0,0,0,0,12.75488750216347,5.333333333333333,194.6432745959939,0.0121652046622496,13,7,10.813515255332996,36.49561398674886
11,L389,insert_transform,dataset.Transformable.insert_transform~Fn,L377,L103,/content/HanLP/hanlp/common/dataset.py,64,5,85,19,0,10,10,12,22,5,0,0,0,0,10,3,0,10,12,22,10,0,0,0,0,0,0,0,0,0,0,12.75488750216347,5.333333333333333,194.6432745959939,0.0121652046622496,13,7,10.813515255332996,36.49561398674886
12,L394,transform_sample,dataset.Transformable.transform_sample~Fn,L377,L103,/content/HanLP/hanlp/common/dataset.py,87,5,106,21,0,14,14,6,20,3,0,0,0,0,5,3,0,14,6,20,5,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
13,L401,__init__,dataset.TransformableDataset.__init__~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,111,5,137,29,0,10,9,17,27,4,0,0,0,1,10,5,0,10,17,27,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L410,load_data,dataset.TransformableDataset.load_data~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,139,5,160,19,0,13,11,9,22,5,0,0,0,2,8,3,0,13,9,22,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L416,should_load_file,dataset.TransformableDataset.should_load_file~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,166,5,175,36,0,11,8,2,10,1,0,0,0,0,1,2,0,11,2,10,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L418,load_file,dataset.TransformableDataset.load_file~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,177,5,184,12,0,5,5,3,8,1,0,0,0,0,1,2,0,5,3,8,1,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,47.548875021634686,0.0105664166714743,10,9,2.6416041678685938,31.699250014423125
17,L426,__getitem__,dataset.TransformableDataset.__getitem__~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,186,5,210,21,0,11,8,13,25,5,0,0,0,1,12,2,0,11,13,25,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L431,__len__,dataset.TransformableDataset.__len__~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,212,5,213,29,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L433,__repr__,dataset.TransformableDataset.__repr__~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,215,5,216,73,0,0,0,2,2,2,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L435,purge_cache,dataset.TransformableDataset.purge_cache~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,218,5,221,44,0,2,2,2,4,1,0,0,0,0,1,1,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
21,L438,split,dataset.TransformableDataset.split~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,223,5,248,22,0,9,9,17,26,4,0,0,0,0,16,2,0,9,17,26,16,0,0,0,0,0,0,0,0,0,0,27.651484454403228,2.0,76.10749561002055,0.01268458260167,11,11,4.228194200556697,38.05374780501028
22,L442,k_fold,dataset.TransformableDataset.k_fold~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,250,5,263,68,0,10,10,4,14,1,0,0,0,1,3,3,0,10,4,14,3,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.5,5.0,0.0033333333333333,5,4,0.2777777777777778,10.0
23,L447,subset,dataset.TransformableDataset.subset~Fn,L399,L103,/content/HanLP/hanlp/common/dataset.py,265,5,278,22,0,8,8,6,14,2,0,0,0,0,5,2,0,8,6,14,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
