,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L208,_dummy,mocks.Params._dummy~Fn,L206,L103,/content/horovod/docs/mocks.py,29,5,31,26,0,0,0,3,3,1,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L244,__init__,adasum_small_model.Net.__init__~Fn,L242,L103,/content/horovod/examples/adasum/adasum_small_model.py,22,5,30,77,0,0,0,8,9,2,0,0,0,0,6,2,0,0,8,9,6,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,21.67132888561538,0.0054178322214038,7,5,1.2039627158675212,16.253496664211536
2,L249,forward,adasum_small_model.Net.forward~Fn,L242,L103,/content/horovod/examples/adasum/adasum_small_model.py,32,5,36,81,0,0,0,5,5,2,0,0,0,0,3,2,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,85.46551025759159,2.131578947368421,389.7308527761701,0.0609455654547097,41,22,21.651714043120563,182.8366963641292
3,L293,__init__,pytorch_imagenet_resnet50_elastic.Metric.__init__~Fn,L272,L103,/content/horovod/examples/elastic/pytorch/pytorch_imagenet_resnet50_elastic.py,199,5,202,33,0,0,0,4,4,1,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L280,update,pytorch_imagenet_resnet50_elastic.Metric.update~Fn,L272,L103,/content/horovod/examples/elastic/pytorch/pytorch_imagenet_resnet50_elastic.py,204,5,206,19,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
5,L298,avg,pytorch_imagenet_resnet50_elastic.Metric.avg~Fn,L272,L103,/content/horovod/examples/elastic/pytorch/pytorch_imagenet_resnet50_elastic.py,208,5,210,32,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
6,L341,__init__,pytorch_mnist_elastic.Net.__init__~Fn,L339,L103,/content/horovod/examples/elastic/pytorch/pytorch_mnist_elastic.py,81,5,87,36,0,0,0,7,7,1,0,0,0,0,6,1,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L345,forward,pytorch_mnist_elastic.Net.forward~Fn,L339,L103,/content/horovod/examples/elastic/pytorch/pytorch_mnist_elastic.py,89,5,96,31,0,0,0,8,8,1,0,0,0,0,7,2,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
8,L594,__init__,mxnet_imagenet_resnet50.SyntheticDataIter.__init__~Fn,L592,L103,/content/horovod/examples/mxnet/mxnet_imagenet_resnet50.py,214,5,224,41,0,0,0,11,11,1,0,0,0,0,8,6,0,0,11,11,8,0,0,1,0,0,0,0,0,0,1,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
9,L603,__iter__,mxnet_imagenet_resnet50.SyntheticDataIter.__iter__~Fn,L592,L103,/content/horovod/examples/mxnet/mxnet_imagenet_resnet50.py,226,5,227,19,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L605,provide_data,mxnet_imagenet_resnet50.SyntheticDataIter.provide_data~Fn,L592,L103,/content/horovod/examples/mxnet/mxnet_imagenet_resnet50.py,229,5,231,68,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L607,provide_label,mxnet_imagenet_resnet50.SyntheticDataIter.provide_label~Fn,L592,L103,/content/horovod/examples/mxnet/mxnet_imagenet_resnet50.py,233,5,236,63,0,0,0,4,4,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L609,next,mxnet_imagenet_resnet50.SyntheticDataIter.next~Fn,L592,L103,/content/horovod/examples/mxnet/mxnet_imagenet_resnet50.py,238,5,248,31,0,0,0,11,11,2,0,0,0,0,4,1,0,0,11,11,4,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,18.575424759098897,0.0046438561897747,6,5,1.0319680421721609,13.931568569324174
13,L611,__next__,mxnet_imagenet_resnet50.SyntheticDataIter.__next__~Fn,L592,L103,/content/horovod/examples/mxnet/mxnet_imagenet_resnet50.py,250,5,251,26,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L614,reset,mxnet_imagenet_resnet50.SyntheticDataIter.reset~Fn,L592,L103,/content/horovod/examples/mxnet/mxnet_imagenet_resnet50.py,253,5,254,25,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L679,__init__,pytorch_imagenet_resnet50.Metric.__init__~Fn,L660,L103,/content/horovod/examples/pytorch/pytorch_imagenet_resnet50.py,159,5,162,33,0,0,0,4,4,1,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L668,update,pytorch_imagenet_resnet50.Metric.update~Fn,L660,L103,/content/horovod/examples/pytorch/pytorch_imagenet_resnet50.py,164,5,166,19,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
17,L684,avg,pytorch_imagenet_resnet50.Metric.avg~Fn,L660,L103,/content/horovod/examples/pytorch/pytorch_imagenet_resnet50.py,168,5,170,32,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
18,L713,__init__,pytorch_lightning_mnist.Net.__init__~Fn,L711,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,37,5,43,36,0,0,0,7,7,1,0,0,0,0,6,1,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L717,forward,pytorch_lightning_mnist.Net.forward~Fn,L711,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,45,5,53,35,0,0,0,9,9,1,0,0,0,0,8,2,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,0.0,1.0,4.0,0.0013333333333333,4,2,0.2222222222222222,4.0
20,L720,configure_optimizers,pytorch_lightning_mnist.Net.configure_optimizers~Fn,L711,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,55,5,56,66,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L722,training_step,pytorch_lightning_mnist.Net.training_step~Fn,L711,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,58,5,63,54,0,0,0,6,6,1,0,0,0,0,5,3,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L726,validation_step,pytorch_lightning_mnist.Net.validation_step~Fn,L711,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,65,5,68,56,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
23,L730,validation_epoch_end,pytorch_lightning_mnist.Net.validation_epoch_end~Fn,L711,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,70,5,73,66,0,0,0,4,4,1,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
24,L756,__init__,pytorch_lightning_mnist.MyDummyCallback.__init__~Fn,L754,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,174,13,176,48,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
25,L760,on_init_start,pytorch_lightning_mnist.MyDummyCallback.on_init_start~Fn,L754,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,178,13,179,50,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
26,L763,on_init_end,pytorch_lightning_mnist.MyDummyCallback.on_init_end~Fn,L754,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,181,13,182,48,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
27,L766,on_epoch_end,pytorch_lightning_mnist.MyDummyCallback.on_epoch_end~Fn,L754,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,184,13,186,43,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
28,L770,on_train_epoch_end,pytorch_lightning_mnist.MyDummyCallback.on_train_epoch_end~Fn,L754,L103,/content/horovod/examples/pytorch/pytorch_lightning_mnist.py,188,13,190,49,0,0,0,3,3,1,0,0,0,0,2,4,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
