,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L209,get_prompt,conversation.Conversation.get_prompt~Fn,L200,L103,/content/ColossalAI/applications/Chat/coati/dataset/conversation.py,35,5,45,64,0,0,0,11,11,4,0,0,0,0,8,1,0,0,11,11,8,0,0,0,0,0,0,0,0,0,0,40.05374780501028,1.2727272727272727,98.90266155758918,0.0259030780269876,21,13,5.494592308754955,77.70923408096293
1,L214,append_message,conversation.Conversation.append_message~Fn,L200,L103,/content/ColossalAI/applications/Chat/coati/dataset/conversation.py,47,5,48,45,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L218,to_gradio_chatbot,conversation.Conversation.to_gradio_chatbot~Fn,L200,L103,/content/ColossalAI/applications/Chat/coati/dataset/conversation.py,50,5,57,18,0,0,0,8,8,3,0,0,0,0,6,1,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.8,54.0,0.01,10,8,3.0,30.0
3,L220,copy,conversation.Conversation.copy~Fn,L200,L103,/content/ColossalAI/applications/Chat/coati/dataset/conversation.py,59,5,67,9,0,0,0,9,9,1,0,0,0,0,1,1,0,0,9,9,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L222,dict,conversation.Conversation.dict~Fn,L200,L103,/content/ColossalAI/applications/Chat/coati/dataset/conversation.py,69,5,76,9,0,0,0,8,8,1,0,0,0,0,1,1,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L232,__init__,prompt_dataset.PromptDataset.__init__~Fn,L229,L103,/content/ColossalAI/applications/Chat/coati/dataset/prompt_dataset.py,16,5,39,82,0,0,0,22,24,3,0,0,0,0,13,5,0,0,22,24,13,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
6,L240,__len__,prompt_dataset.PromptDataset.__len__~Fn,L229,L103,/content/ColossalAI/applications/Chat/coati/dataset/prompt_dataset.py,41,5,42,50,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L242,__getitem__,prompt_dataset.PromptDataset.__getitem__~Fn,L229,L103,/content/ColossalAI/applications/Chat/coati/dataset/prompt_dataset.py,44,5,45,62,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L251,__init__,reward_dataset.RmStaticDataset.__init__~Fn,L248,L103,/content/ColossalAI/applications/Chat/coati/dataset/reward_dataset.py,21,5,35,112,0,0,0,13,15,2,0,0,0,0,8,5,0,0,13,15,8,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.7142857142857142,74.03154040034694,0.0143950217445119,13,10,4.11286335557483,43.18506523353572
9,L259,__len__,reward_dataset.RmStaticDataset.__len__~Fn,L248,L103,/content/ColossalAI/applications/Chat/coati/dataset/reward_dataset.py,37,5,39,21,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L261,__getitem__,reward_dataset.RmStaticDataset.__getitem__~Fn,L248,L103,/content/ColossalAI/applications/Chat/coati/dataset/reward_dataset.py,41,5,47,9,0,0,0,7,7,1,0,0,0,0,1,2,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L267,__init__,reward_dataset.HhRlhfDataset.__init__~Fn,L264,L103,/content/ColossalAI/applications/Chat/coati/dataset/reward_dataset.py,62,5,76,112,0,0,0,13,15,2,0,0,0,0,8,5,0,0,13,15,8,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.7142857142857142,74.03154040034694,0.0143950217445119,13,10,4.11286335557483,43.18506523353572
12,L275,__len__,reward_dataset.HhRlhfDataset.__len__~Fn,L264,L103,/content/ColossalAI/applications/Chat/coati/dataset/reward_dataset.py,78,5,80,21,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L277,__getitem__,reward_dataset.HhRlhfDataset.__getitem__~Fn,L264,L103,/content/ColossalAI/applications/Chat/coati/dataset/reward_dataset.py,82,5,88,9,0,0,0,7,7,1,0,0,0,0,1,2,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L301,__init__,sft_dataset.SFTDataset.__init__~Fn,L298,L103,/content/ColossalAI/applications/Chat/coati/dataset/sft_dataset.py,125,5,140,38,0,0,0,13,16,2,0,0,0,2,9,4,0,0,13,16,9,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
15,L310,__len__,sft_dataset.SFTDataset.__len__~Fn,L298,L103,/content/ColossalAI/applications/Chat/coati/dataset/sft_dataset.py,142,5,144,21,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L312,__getitem__,sft_dataset.SFTDataset.__getitem__~Fn,L298,L103,/content/ColossalAI/applications/Chat/coati/dataset/sft_dataset.py,146,5,150,79,0,0,0,5,5,2,0,0,0,0,3,2,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
17,L318,__init__,sft_dataset.SupervisedDataset.__init__~Fn,L315,L103,/content/ColossalAI/applications/Chat/coati/dataset/sft_dataset.py,156,5,188,38,0,0,0,29,33,4,0,0,0,2,16,5,0,0,29,33,16,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
18,L326,__len__,sft_dataset.SupervisedDataset.__len__~Fn,L315,L103,/content/ColossalAI/applications/Chat/coati/dataset/sft_dataset.py,190,5,192,21,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L328,__getitem__,sft_dataset.SupervisedDataset.__getitem__~Fn,L315,L103,/content/ColossalAI/applications/Chat/coati/dataset/sft_dataset.py,194,5,198,79,0,0,0,5,5,2,0,0,0,0,3,2,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
20,L353,__init__,base.ExperienceBuffer.__init__~Fn,L350,L103,/content/ColossalAI/applications/Chat/coati/experience_buffer/base.py,15,5,19,26,0,1,0,4,5,1,0,0,0,0,3,3,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L359,append,base.ExperienceBuffer.append~Fn,L350,L103,/content/ColossalAI/applications/Chat/coati/experience_buffer/base.py,21,5,23,12,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L362,clear,base.ExperienceBuffer.clear~Fn,L350,L103,/content/ColossalAI/applications/Chat/coati/experience_buffer/base.py,25,5,27,12,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
