,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L340,log_message,benchmarks.QuietSimpleHTTPServer.log_message~Fn,L338,L103,/content/cli/extras/profiling/benchmarks.py,56,5,57,12,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L353,run,benchmarks.Context.run~Fn,L348,L103,/content/cli/extras/profiling/benchmarks.py,95,5,97,45,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L358,cmd,benchmarks.Context.cmd~Fn,L348,L103,/content/cli/extras/profiling/benchmarks.py,99,5,106,37,0,0,0,7,8,2,0,0,0,0,5,1,0,0,7,8,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L360,server,benchmarks.Context.server~Fn,L348,L103,/content/cli/extras/profiling/benchmarks.py,108,5,110,55,0,0,0,3,3,1,0,0,0,1,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L363,__enter__,benchmarks.Context.__enter__~Fn,L348,L103,/content/cli/extras/profiling/benchmarks.py,112,5,113,19,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L365,__exit__,benchmarks.Context.__exit__~Fn,L348,L103,/content/cli/extras/profiling/benchmarks.py,115,5,116,26,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L373,__post_init__,benchmarks.BaseRunner.__post_init__~Fn,L368,L103,/content/cli/extras/profiling/benchmarks.py,129,5,130,39,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L377,run,benchmarks.BaseRunner.run~Fn,L368,L103,/content/cli/extras/profiling/benchmarks.py,132,5,133,33,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L380,name,benchmarks.BaseRunner.name~Fn,L368,L103,/content/cli/extras/profiling/benchmarks.py,135,5,137,48,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L386,run,benchmarks.CommandRunner.run~Fn,L382,L103,/content/cli/extras/profiling/benchmarks.py,148,5,149,82,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
