,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L287,__init__,bit_diffusion.BitDiffusion.__init__~Fn,L285,L103,/content/diffusers/examples/community/bit_diffusion.py,214,5,226,61,0,0,0,12,13,2,0,0,0,0,4,4,0,0,12,13,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L294,__call__,bit_diffusion.BitDiffusion.__call__~Fn,L285,L103,/content/diffusers/examples/community/bit_diffusion.py,228,5,264,48,0,2,0,28,37,4,0,0,0,2,13,9,0,2,28,37,13,0,0,1,0,0,1,0,0,0,1,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
2,L312,__init__,checkpoint_merger.CheckpointMergerPipeline.__init__~Fn,L309,L103,/content/diffusers/examples/community/checkpoint_merger.py,35,5,37,26,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L316,_compare_model_configs,checkpoint_merger.CheckpointMergerPipeline._compare_model_configs~Fn,L309,L103,/content/diffusers/examples/community/checkpoint_merger.py,39,5,48,20,0,0,0,10,10,3,0,0,0,1,8,3,0,0,10,10,8,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
4,L320,_remove_meta_keys,checkpoint_merger.CheckpointMergerPipeline._remove_meta_keys~Fn,L309,L103,/content/diffusers/examples/community/checkpoint_merger.py,50,5,57,37,0,0,0,8,8,3,0,0,0,0,7,2,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L324,merge,checkpoint_merger.CheckpointMergerPipeline.merge~Fn,L309,L103,/content/diffusers/examples/community/checkpoint_merger.py,59,5,258,25,0,36,22,148,200,32,0,0,0,1,94,3,0,36,148,200,94,0,0,6,0,0,1,1,0,0,5,232.64052645972987,6.184210526315789,2521.3166236808274,0.1359007541842148,73,48,140.07314576004595,407.70226255264447
6,L330,weighted_sum,checkpoint_merger.CheckpointMergerPipeline.weighted_sum~Fn,L309,L103,/content/diffusers/examples/community/checkpoint_merger.py,260,5,262,56,0,0,0,3,3,1,0,0,0,0,1,4,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.7142857142857142,68.33680652339717,0.0132877123795494,12,10,3.796489251299843,39.86313713864836
7,L335,sigmoid,checkpoint_merger.CheckpointMergerPipeline.sigmoid~Fn,L309,L103,/content/diffusers/examples/community/checkpoint_merger.py,265,5,268,51,0,1,0,4,4,1,0,0,0,0,2,4,0,1,4,4,2,0,0,0,0,0,0,0,0,0,0,37.97416845103709,2.1,163.18939157002217,0.0259030780269876,21,13,9.066077309445676,77.70923408096293
8,L340,inv_sigmoid,checkpoint_merger.CheckpointMergerPipeline.inv_sigmoid~Fn,L309,L103,/content/diffusers/examples/community/checkpoint_merger.py,271,5,276,51,0,1,0,5,6,1,0,0,0,0,3,4,0,1,5,6,3,0,0,0,0,0,0,0,0,0,0,51.01955000865388,2.333333333333333,196.0,0.028,21,16,10.88888888888889,84.0
9,L345,add_difference,checkpoint_merger.CheckpointMergerPipeline.add_difference~Fn,L309,L103,/content/diffusers/examples/community/checkpoint_merger.py,278,5,280,57,0,0,0,3,3,1,0,0,0,0,1,4,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,28.75488750216347,1.5,62.26976913547136,0.0138377264745491,12,11,3.4594316186372978,41.51317942364757
10,L370,__init__,clip_guided_images_mixing_stable_diffusion.CLIPGuidedImagesMixingStableDiffusion.__init__~Fn,L368,L103,/content/diffusers/examples/community/clip_guided_images_mixing_stable_diffusion.py,81,5,114,49,0,0,0,34,34,2,0,0,0,1,6,11,0,0,34,34,6,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
