,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L162,__init__,benchmark.BenchmarkRunner.__init__~Fn,L160,L103,/content/pytorch-image-models/benchmark.py,220,5,295,36,0,0,0,72,76,9,0,0,0,2,40,14,0,0,72,76,40,0,0,2,0,0,1,0,0,0,2,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
1,L181,_init_input,benchmark.BenchmarkRunner._init_input~Fn,L160,L103,/content/pytorch-image-models/benchmark.py,297,5,301,99,0,0,0,5,5,2,0,0,0,0,3,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L185,__init__,benchmark.InferenceBenchmarkRunner.__init__~Fn,L183,L103,/content/pytorch-image-models/benchmark.py,306,5,314,25,0,0,0,9,9,1,0,0,0,0,2,5,0,0,9,9,2,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
3,L193,run,benchmark.InferenceBenchmarkRunner.run~Fn,L183,L103,/content/pytorch-image-models/benchmark.py,316,5,376,22,0,1,0,47,55,9,0,0,0,4,32,1,0,1,53,61,37,0,0,0,0,0,0,0,0,0,0,33.28421251514428,1.8333333333333333,111.73133127247604,0.0203147875040865,17,12,6.2072961818042245,60.94436251225966
4,L202,__init__,benchmark.TrainBenchmarkRunner.__init__~Fn,L200,L103,/content/pytorch-image-models/benchmark.py,381,5,400,47,0,0,0,17,20,2,0,0,0,0,7,5,0,0,17,20,7,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
5,L210,_gen_target,benchmark.TrainBenchmarkRunner._gen_target~Fn,L200,L103,/content/pytorch-image-models/benchmark.py,402,5,404,110,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
6,L213,run,benchmark.TrainBenchmarkRunner.run~Fn,L200,L103,/content/pytorch-image-models/benchmark.py,406,5,502,22,0,0,0,66,72,7,0,0,0,2,36,1,0,1,91,97,59,0,0,1,0,0,0,0,0,0,1,33.28421251514428,1.8333333333333333,111.73133127247604,0.0203147875040865,17,12,6.2072961818042245,60.94436251225966
7,L221,__init__,benchmark.ProfileRunner.__init__~Fn,L219,L103,/content/pytorch-image-models/benchmark.py,507,5,516,25,0,0,0,10,10,4,0,0,0,0,9,5,0,0,10,10,9,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
8,L229,run,benchmark.ProfileRunner.run~Fn,L219,L103,/content/pytorch-image-models/benchmark.py,518,5,542,22,0,0,0,21,25,3,0,0,0,2,10,1,0,0,21,25,10,0,0,0,0,0,0,0,0,0,0,33.28421251514428,1.8333333333333333,111.73133127247604,0.0203147875040865,17,12,6.2072961818042245,60.94436251225966
9,L406,__init__,test_layers.MLP.__init__~Fn,L404,L103,/content/pytorch-image-models/tests/test_layers.py,8,5,12,37,0,0,0,5,5,1,0,0,0,0,4,3,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L412,forward,test_layers.MLP.forward~Fn,L404,L103,/content/pytorch-image-models/tests/test_layers.py,14,5,18,16,0,0,0,5,5,1,0,0,0,0,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L766,__init__,auto_augment.AugmentOp.__init__~Fn,L764,L103,/content/pytorch-image-models/timm/data/auto_augment.py,359,5,378,68,0,5,0,14,20,4,0,0,0,0,10,5,0,5,14,20,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L774,__call__,auto_augment.AugmentOp.__call__~Fn,L764,L103,/content/pytorch-image-models/timm/data/auto_augment.py,380,5,396,59,0,4,0,13,17,8,0,0,0,0,12,2,0,4,13,17,12,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
13,L777,__repr__,auto_augment.AugmentOp.__repr__~Fn,L764,L103,/content/pytorch-image-models/timm/data/auto_augment.py,398,5,404,17,0,0,0,7,7,2,0,0,0,0,6,1,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,11.60964047443681,0.6,13.95879750389424,0.0077548875021634,9,6,0.7754887502163467,23.264662506490403
14,L799,__init__,auto_augment.AutoAugment.__init__~Fn,L797,L103,/content/pytorch-image-models/timm/data/auto_augment.py,567,5,568,28,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L804,__call__,auto_augment.AutoAugment.__call__~Fn,L797,L103,/content/pytorch-image-models/timm/data/auto_augment.py,570,5,574,18,0,0,0,5,5,2,0,0,0,0,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
