,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L165,__init__,alias.Alias.__init__~Fn,L161,L103,/content/ipython/IPython/core/alias.py,129,5,134,36,0,0,0,6,6,1,0,0,0,1,5,4,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L172,validate,alias.Alias.validate~Fn,L161,L103,/content/ipython/IPython/core/alias.py,136,5,160,20,0,1,1,20,25,7,0,0,0,0,13,1,0,1,20,25,13,0,0,0,0,0,0,0,0,0,0,78.25484338853101,4.2,524.4291583517462,0.0416213617739481,28,22,29.13495324176368,124.86408532184431
2,L178,__repr__,alias.Alias.__repr__~Fn,L161,L103,/content/ipython/IPython/core/alias.py,162,5,163,64,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L180,__call__,alias.Alias.__call__~Fn,L161,L103,/content/ipython/IPython/core/alias.py,165,5,186,30,0,3,0,17,22,5,0,0,0,0,14,2,0,3,17,22,14,0,0,0,0,0,0,0,0,0,0,56.1057163358342,2.4615384615384617,241.47472785232785,0.0326997027300027,24,17,13.415262658462655,98.09910819000817
4,L188,__init__,alias.AliasManager.__init__~Fn,L183,L103,/content/ipython/IPython/core/alias.py,198,5,202,27,0,1,0,4,5,1,0,0,0,1,3,3,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L194,init_aliases,alias.AliasManager.init_aliases~Fn,L183,L103,/content/ipython/IPython/core/alias.py,204,5,209,45,0,1,0,5,6,4,0,0,0,1,4,1,0,1,5,6,4,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
6,L199,aliases,alias.AliasManager.aliases~Fn,L183,L103,/content/ipython/IPython/core/alias.py,211,5,214,55,0,0,0,4,4,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L197,soft_define_alias,alias.AliasManager.soft_define_alias~Fn,L183,L103,/content/ipython/IPython/core/alias.py,216,5,221,42,0,1,1,5,6,2,0,0,0,1,3,3,0,1,5,6,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L205,define_alias,alias.AliasManager.define_alias~Fn,L183,L103,/content/ipython/IPython/core/alias.py,223,5,231,68,0,5,5,4,9,1,0,0,0,0,2,3,0,5,4,9,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L211,get_alias,alias.AliasManager.get_alias~Fn,L183,L103,/content/ipython/IPython/core/alias.py,233,5,236,58,0,1,1,3,4,2,0,0,0,0,2,2,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L215,is_alias,alias.AliasManager.is_alias~Fn,L183,L103,/content/ipython/IPython/core/alias.py,238,5,240,47,0,1,1,2,3,1,0,0,0,1,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
11,L220,undefine_alias,alias.AliasManager.undefine_alias~Fn,L183,L103,/content/ipython/IPython/core/alias.py,242,5,246,57,0,0,0,5,5,2,0,0,0,1,3,2,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
12,L224,clear_aliases,alias.AliasManager.clear_aliases~Fn,L183,L103,/content/ipython/IPython/core/alias.py,248,5,250,37,0,0,0,3,3,2,0,0,0,1,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L227,retrieve_alias,alias.AliasManager.retrieve_alias~Fn,L183,L103,/content/ipython/IPython/core/alias.py,252,5,258,57,0,1,1,6,7,2,0,0,0,1,4,2,0,1,6,7,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
14,L247,load_subconfig,application.ProfileAwareConfigLoader.load_subconfig~Fn,L244,L103,/content/ipython/IPython/core/application.py,113,5,123,85,0,0,0,11,11,3,0,0,0,0,6,4,0,0,11,11,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
15,L265,_config_file_name_default,application.BaseIPythonApplication._config_file_name_default~Fn,L254,L103,/content/ipython/IPython/core/application.py,142,5,144,57,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
16,L270,_config_file_name_changed,application.BaseIPythonApplication._config_file_name_changed~Fn,L254,L103,/content/ipython/IPython/core/application.py,145,5,148,57,0,0,0,4,4,2,0,0,0,0,2,2,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
17,L275,_config_file_paths_default,application.BaseIPythonApplication._config_file_paths_default~Fn,L254,L103,/content/ipython/IPython/core/application.py,156,5,158,17,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L278,_extra_config_file_changed,application.BaseIPythonApplication._extra_config_file_changed~Fn,L254,L103,/content/ipython/IPython/core/application.py,165,5,174,37,0,0,0,10,10,2,0,0,0,0,7,2,0,0,10,10,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L282,_profile_changed,application.BaseIPythonApplication._profile_changed~Fn,L254,L103,/content/ipython/IPython/core/application.py,180,5,184,9,0,0,0,5,5,1,0,0,0,0,1,2,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L287,_ipython_dir_default,application.BaseIPythonApplication._ipython_dir_default~Fn,L254,L103,/content/ipython/IPython/core/application.py,205,5,213,16,0,0,0,9,9,1,0,0,0,1,3,1,0,0,9,9,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L293,_profile_dir_default,application.BaseIPythonApplication._profile_dir_default~Fn,L254,L103,/content/ipython/IPython/core/application.py,217,5,224,31,0,2,0,6,8,2,0,0,0,1,4,1,0,2,6,8,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
