,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L121,__init__,_device._Device.__init__~Fn,L119,L103,/content/DeOldify/deoldify/_device.py,11,5,12,30,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L127,is_gpu,_device._Device.is_gpu~Fn,L119,L103,/content/DeOldify/deoldify/_device.py,14,5,16,49,0,1,1,2,3,1,0,0,0,1,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L133,current,_device._Device.current~Fn,L119,L103,/content/DeOldify/deoldify/_device.py,18,5,19,35,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L125,set,_device._Device.set~Fn,L119,L103,/content/DeOldify/deoldify/_device.py,21,5,30,21,0,0,0,9,10,2,0,0,0,0,7,2,0,0,9,10,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
4,L203,filter,filters.IFilter.filter~Fn,L201,L103,/content/DeOldify/deoldify/filters.py,16,5,20,12,0,0,0,5,5,1,0,0,0,0,1,4,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
5,L212,__init__,filters.BaseFilter.__init__~Fn,L210,L103,/content/DeOldify/deoldify/filters.py,24,5,32,56,0,0,0,7,9,2,0,0,0,0,6,3,0,0,7,9,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L218,_transform,filters.BaseFilter._transform~Fn,L210,L103,/content/DeOldify/deoldify/filters.py,34,5,35,20,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L221,_scale_to_square,filters.BaseFilter._scale_to_square~Fn,L210,L103,/content/DeOldify/deoldify/filters.py,37,5,41,64,0,2,0,3,5,1,0,0,0,0,2,3,0,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L225,_get_model_ready_image,filters.BaseFilter._get_model_ready_image~Fn,L210,L103,/content/DeOldify/deoldify/filters.py,43,5,46,21,0,0,0,4,4,1,0,0,0,2,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L231,_model_process,filters.BaseFilter._model_process~Fn,L210,L103,/content/DeOldify/deoldify/filters.py,48,5,68,38,0,0,0,19,21,3,0,0,0,1,15,3,0,0,19,21,15,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
10,L236,_unsquare,filters.BaseFilter._unsquare~Fn,L210,L103,/content/DeOldify/deoldify/filters.py,70,5,73,20,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L242,__init__,filters.ColorizerFilter.__init__~Fn,L240,L103,/content/DeOldify/deoldify/filters.py,77,5,79,29,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L248,filter,filters.ColorizerFilter.filter~Fn,L240,L103,/content/DeOldify/deoldify/filters.py,81,5,90,28,0,0,0,9,10,2,0,0,0,3,6,5,0,0,9,10,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
13,L258,_transform,filters.ColorizerFilter._transform~Fn,L240,L103,/content/DeOldify/deoldify/filters.py,92,5,93,49,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L256,_post_process,filters.ColorizerFilter._post_process~Fn,L240,L103,/content/DeOldify/deoldify/filters.py,100,5,110,20,0,6,0,10,11,1,0,0,0,0,9,3,0,6,10,11,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L266,__init__,filters.MasterFilter.__init__~Fn,L264,L103,/content/DeOldify/deoldify/filters.py,114,5,116,42,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L272,filter,filters.MasterFilter.filter~Fn,L264,L103,/content/DeOldify/deoldify/filters.py,118,5,124,29,0,0,0,6,7,3,0,0,0,0,4,5,0,0,6,7,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
17,L359,__init__,loss.FeatureLoss.__init__~Fn,L357,L103,/content/DeOldify/deoldify/loss.py,9,5,24,34,0,0,0,15,16,1,0,0,0,0,10,2,0,0,15,16,10,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.0,27.0,0.009,9,8,1.5,27.0
