,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L175,__init__,base_benchmark.BenchmarkMetricsCallback.__init__~Fn,L173,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,38,5,42,23,0,0,0,4,5,1,0,0,0,0,3,3,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
1,L181,on_train_batch_begin,base_benchmark.BenchmarkMetricsCallback.on_train_batch_begin~Fn,L173,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,44,5,46,55,0,0,0,3,3,2,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L185,on_train_batch_end,base_benchmark.BenchmarkMetricsCallback.on_train_batch_end~Fn,L173,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,48,5,54,49,0,0,0,7,7,2,0,0,0,0,4,3,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L189,on_predict_batch_begin,base_benchmark.BenchmarkMetricsCallback.on_predict_batch_begin~Fn,L173,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,56,5,58,55,0,0,0,3,3,2,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L193,on_predict_batch_end,base_benchmark.BenchmarkMetricsCallback.on_predict_batch_end~Fn,L173,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,60,5,66,49,0,0,0,7,7,2,0,0,0,0,4,3,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L199,__init__,base_benchmark.KerasCoreBenchmarkMetricsCallback.__init__~Fn,L197,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,70,5,71,74,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
6,L205,on_train_batch_begin,base_benchmark.KerasCoreBenchmarkMetricsCallback.on_train_batch_begin~Fn,L197,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,73,5,74,56,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L209,on_train_batch_end,base_benchmark.KerasCoreBenchmarkMetricsCallback.on_train_batch_end~Fn,L197,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,76,5,77,54,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L213,on_predict_batch_begin,base_benchmark.KerasCoreBenchmarkMetricsCallback.on_predict_batch_begin~Fn,L197,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,79,5,80,58,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L217,on_predict_batch_end,base_benchmark.KerasCoreBenchmarkMetricsCallback.on_predict_batch_end~Fn,L197,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,82,5,83,56,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L223,__init__,base_benchmark.TFKerasBenchmarkMetricsCallback.__init__~Fn,L221,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,87,5,88,74,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
11,L229,on_train_batch_begin,base_benchmark.TFKerasBenchmarkMetricsCallback.on_train_batch_begin~Fn,L221,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,90,5,91,56,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L233,on_train_batch_end,base_benchmark.TFKerasBenchmarkMetricsCallback.on_train_batch_end~Fn,L221,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,93,5,94,54,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L237,on_predict_batch_begin,base_benchmark.TFKerasBenchmarkMetricsCallback.on_predict_batch_begin~Fn,L221,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,96,5,97,58,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L241,on_predict_batch_end,base_benchmark.TFKerasBenchmarkMetricsCallback.on_predict_batch_end~Fn,L221,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,99,5,100,56,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L247,__init__,base_benchmark.LayerBenchmark.__init__~Fn,L245,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,104,5,149,38,0,4,0,37,46,3,0,0,0,2,17,8,0,4,37,46,17,0,0,1,0,0,1,0,0,0,1,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
16,L258,_build_keras_model,base_benchmark.LayerBenchmark._build_keras_model~Fn,L245,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,151,5,163,58,0,0,0,11,13,4,0,0,0,0,9,3,0,0,11,13,9,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
17,L260,_build_tf_keras_model,base_benchmark.LayerBenchmark._build_tf_keras_model~Fn,L245,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,165,5,177,61,0,0,0,11,13,4,0,0,0,0,9,3,0,0,11,13,9,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
18,L268,benchmark_predict,base_benchmark.LayerBenchmark.benchmark_predict~Fn,L245,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,179,5,221,9,0,2,0,37,43,4,0,0,0,0,17,4,0,2,37,43,17,0,0,0,0,0,0,0,0,0,0,54.62919048309069,2.9166666666666665,250.3570990265833,0.0286122398887523,21,17,13.908727723699071,85.83671966625714
19,L273,benchmark_train,base_benchmark.LayerBenchmark.benchmark_train~Fn,L245,L103,/content/keras/benchmarks/layer_benchmark/base_benchmark.py,223,5,280,9,0,4,0,50,58,6,0,0,0,0,21,5,0,4,50,58,21,0,0,0,0,0,0,0,0,0,0,75.60964047443682,3.125,411.7797583855088,0.0439231742277876,30,21,22.87665324363938,131.76952268336282
20,L600,__init__,benchmark_utils.BenchmarkMetricsCallback.__init__~Fn,L598,L103,/content/keras/benchmarks/model_benchmark/benchmark_utils.py,7,5,12,39,0,1,0,4,6,1,0,0,0,0,3,3,0,1,4,6,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L606,on_train_batch_begin,benchmark_utils.BenchmarkMetricsCallback.on_train_batch_begin~Fn,L598,L103,/content/keras/benchmarks/model_benchmark/benchmark_utils.py,14,5,16,56,0,0,0,3,3,2,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
