,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L235,add_directive_header,autodoc.KivyClassDocumenter.add_directive_header~Fn,L233,L103,/content/kivy/doc/sources/sphinxext/autodoc.py,8,5,27,42,0,1,0,13,16,7,0,0,0,1,8,2,0,1,17,20,11,0,0,0,0,0,0,0,0,0,0,81.0965087756926,2.5,289.86305521142435,0.0386484073615232,26,22,16.103503067301354,115.94522208456974
1,L306,__init__,main.Renderer.__init__~Fn,L304,L103,/content/kivy/examples/3Drendering/main.py,28,5,39,58,0,0,0,12,12,1,0,0,0,1,11,2,0,0,12,12,11,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L313,setup_gl_context,main.Renderer.setup_gl_context~Fn,L304,L103,/content/kivy/examples/3Drendering/main.py,41,5,42,31,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L316,reset_gl_context,main.Renderer.reset_gl_context~Fn,L304,L103,/content/kivy/examples/3Drendering/main.py,44,5,45,32,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L319,update_glsl,main.Renderer.update_glsl~Fn,L304,L103,/content/kivy/examples/3Drendering/main.py,47,5,53,37,0,0,0,7,7,1,0,0,0,0,6,2,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,32.0,2.0,93.20902501875008,0.015534837503125,13,12,5.178279167708337,46.60451250937504
5,L311,setup_scene,main.Renderer.setup_scene~Fn,L304,L103,/content/kivy/examples/3Drendering/main.py,55,5,68,19,0,0,0,14,14,1,0,0,0,0,8,1,0,0,14,14,8,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
6,L325,build,main.RendererApp.build~Fn,L323,L103,/content/kivy/examples/3Drendering/main.py,72,5,73,25,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L334,__init__,objloader.MeshData.__init__~Fn,L332,L103,/content/kivy/examples/3Drendering/objloader.py,2,5,9,25,0,0,0,8,8,1,0,0,0,0,4,2,0,0,8,8,4,0,0,0,0,0,0,0,0,0,0,119.55169999363824,3.260869565217391,617.8084526412239,0.0631537529366584,39,29,34.32269181340133,189.46125880997533
8,L339,calculate_normals,objloader.MeshData.calculate_normals~Fn,L332,L103,/content/kivy/examples/3Drendering/objloader.py,11,5,36,49,0,0,0,22,26,4,0,0,0,0,21,1,0,0,22,26,21,0,0,0,0,0,0,0,0,0,0,194.1173000519232,2.6666666666666665,1021.8101942183736,0.1277262742772967,72,40,56.76723301213187,383.1788228318901
9,L342,finish_object,objloader.ObjFile.finish_object~Fn,L301,L103,/content/kivy/examples/3Drendering/objloader.py,40,5,73,23,0,4,0,24,34,6,0,0,0,0,23,1,0,4,24,34,23,0,0,0,0,0,0,0,0,0,0,59.71535681027101,3.8461538461538463,497.18336555658334,0.0430892250149038,31,18,27.62129808647685,129.26767504471167
