,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L210,get_prompt,conversation.Conversation.get_prompt~Fn,L196,L103,/content/FastChat/fastchat/conversation.py,58,5,216,64,0,5,1,152,159,56,0,0,0,0,128,1,0,5,152,159,128,0,0,5,0,0,1,1,0,0,4,882.3326760571978,5.96,18708.43053804537,1.0463328041412396,447,130,1039.3572521136314,3138.998412423719
1,L219,set_system_message,conversation.Conversation.set_system_message~Fn,L196,L103,/content/FastChat/fastchat/conversation.py,218,5,220,44,0,1,1,2,3,1,0,0,0,0,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L223,append_message,conversation.Conversation.append_message~Fn,L196,L103,/content/FastChat/fastchat/conversation.py,222,5,224,45,0,1,1,2,3,1,0,0,0,0,1,3,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L228,update_last_message,conversation.Conversation.update_last_message~Fn,L196,L103,/content/FastChat/fastchat/conversation.py,226,5,232,38,0,5,5,2,7,1,0,0,0,0,1,2,0,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
4,L232,to_gradio_chatbot,conversation.Conversation.to_gradio_chatbot~Fn,L196,L103,/content/FastChat/fastchat/conversation.py,234,5,242,18,0,1,1,8,9,3,0,0,0,0,6,1,0,1,8,9,6,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.8,54.0,0.01,10,8,3.0,30.0
5,L236,to_openai_api_messages,conversation.Conversation.to_openai_api_messages~Fn,L196,L103,/content/FastChat/fastchat/conversation.py,244,5,254,18,0,1,1,9,11,4,0,0,0,0,7,1,0,1,9,11,7,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
6,L239,copy,conversation.Conversation.copy~Fn,L196,L103,/content/FastChat/fastchat/conversation.py,256,5,269,9,0,0,0,14,14,1,0,0,0,0,1,1,0,0,14,14,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L242,dict,conversation.Conversation.dict~Fn,L196,L103,/content/FastChat/fastchat/conversation.py,271,5,278,9,0,0,0,8,8,1,0,0,0,0,1,1,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L950,__init__,compression.CLinear.__init__~Fn,L947,L103,/content/FastChat/fastchat/model/compression.py,42,5,50,24,0,0,0,9,9,3,0,0,0,1,7,4,0,0,9,9,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
9,L959,forward,compression.CLinear.forward~Fn,L947,L103,/content/FastChat/fastchat/model/compression.py,52,5,56,83,0,0,0,5,5,2,0,0,0,1,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
10,L1005,__init__,llama_condense_monkey_patch.CondenseRotaryEmbedding.__init__~Fn,L1003,L103,/content/FastChat/fastchat/model/llama_condense_monkey_patch.py,11,5,40,9,0,3,0,26,30,1,0,0,0,0,12,6,0,3,26,30,12,0,0,1,0,0,0,0,0,0,1,36.52932501298081,2.4444444444444446,153.7738282871965,0.0209691584027995,17,13,8.542990460399805,62.907475208398566
11,L1014,forward,llama_condense_monkey_patch.CondenseRotaryEmbedding.forward~Fn,L1003,L103,/content/FastChat/fastchat/model/llama_condense_monkey_patch.py,42,5,65,9,0,3,0,21,24,2,0,0,0,0,8,3,0,3,21,24,8,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
12,L1040,match,model_adapter.BaseModelAdapter.match~Fn,L1036,L103,/content/FastChat/fastchat/model/model_adapter.py,57,5,58,19,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
13,L1045,load_model,model_adapter.BaseModelAdapter.load_model~Fn,L1036,L103,/content/FastChat/fastchat/model/model_adapter.py,60,5,81,31,0,0,0,22,22,3,0,0,0,0,8,3,0,0,22,22,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L1049,load_compress_model,model_adapter.BaseModelAdapter.load_compress_model~Fn,L1036,L103,/content/FastChat/fastchat/model/model_adapter.py,83,5,90,9,0,0,0,8,8,1,0,0,0,0,1,5,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L1055,get_default_conv_template,model_adapter.BaseModelAdapter.get_default_conv_template~Fn,L1036,L103,/content/FastChat/fastchat/model/model_adapter.py,92,5,93,44,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L1109,match,model_adapter.PeftModelAdapter.match~Fn,L1106,L103,/content/FastChat/fastchat/model/model_adapter.py,498,5,502,43,0,1,1,4,5,2,0,0,0,0,3,2,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
17,L1115,load_model,model_adapter.PeftModelAdapter.load_model~Fn,L1106,L103,/content/FastChat/fastchat/model/model_adapter.py,504,5,551,31,0,17,1,28,48,4,0,0,0,1,18,3,0,17,28,48,18,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L1120,get_default_conv_template,model_adapter.PeftModelAdapter.get_default_conv_template~Fn,L1106,L103,/content/FastChat/fastchat/model/model_adapter.py,553,5,564,85,0,1,1,10,12,2,0,0,0,1,7,2,0,1,10,12,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L1128,match,model_adapter.VicunaAdapter.match~Fn,L1124,L103,/content/FastChat/fastchat/model/model_adapter.py,572,5,573,45,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
20,L1133,load_model,model_adapter.VicunaAdapter.load_model~Fn,L1124,L103,/content/FastChat/fastchat/model/model_adapter.py,575,5,586,31,0,0,0,12,12,1,0,0,0,1,5,3,0,0,12,12,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L1139,get_default_conv_template,model_adapter.VicunaAdapter.get_default_conv_template~Fn,L1124,L103,/content/FastChat/fastchat/model/model_adapter.py,588,5,591,47,0,0,0,4,4,2,0,0,0,1,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L1137,raise_warning_for_old_weights,model_adapter.VicunaAdapter.raise_warning_for_old_weights~Fn,L1124,L103,/content/FastChat/fastchat/model/model_adapter.py,593,5,602,13,0,0,0,10,10,3,0,0,0,0,2,2,0,0,10,10,2,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
23,L1148,match,model_adapter.AiroborosAdapter.match~Fn,L1145,L103,/content/FastChat/fastchat/model/model_adapter.py,608,5,611,20,0,0,0,4,4,2,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
24,L1153,get_default_conv_template,model_adapter.AiroborosAdapter.get_default_conv_template~Fn,L1145,L103,/content/FastChat/fastchat/model/model_adapter.py,613,5,616,48,0,0,0,4,4,3,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
25,L1156,load_model,model_adapter.AiroborosAdapter.load_model~Fn,L1145,L103,/content/FastChat/fastchat/model/model_adapter.py,618,5,631,31,0,0,0,14,14,2,0,0,0,0,5,3,0,0,14,14,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
26,L1164,match,model_adapter.LongChatAdapter.match~Fn,L1160,L103,/content/FastChat/fastchat/model/model_adapter.py,639,5,640,47,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
