,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L359,to_query_string,custom_roles.QueryReference.to_query_string~Fn,L356,L103,/content/matplotlib/doc/sphinxext/custom_roles.py,17,5,19,76,0,1,1,2,3,1,0,0,0,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L395,__call__,gallery_order.MplExplicitOrder.__call__~Fn,L392,L103,/content/matplotlib/doc/sphinxext/gallery_order.py,59,5,64,67,0,1,1,5,6,2,0,0,0,0,3,2,0,1,5,6,3,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,18.575424759098897,0.0046438561897747,6,5,1.0319680421721609,13.931568569324174
2,L406,__init__,gallery_order.MplExplicitSubOrder.__init__~Fn,L403,L103,/content/matplotlib/doc/sphinxext/gallery_order.py,110,5,112,53,0,1,0,3,3,1,0,0,0,0,2,2,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L411,__call__,gallery_order.MplExplicitSubOrder.__call__~Fn,L403,L103,/content/matplotlib/doc/sphinxext/gallery_order.py,114,5,120,31,0,2,1,5,7,2,0,0,0,0,3,2,0,2,5,7,3,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,18.575424759098897,0.0046438561897747,6,5,1.0319680421721609,13.931568569324174
4,L479,run,math_symbol_table.MathSymbolTableDirective.run~Fn,L472,L103,/content/matplotlib/doc/sphinxext/math_symbol_table.py,121,5,122,38,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L495,__init__,missing_references.MissingReferenceFilter.__init__~Fn,L492,L103,/content/matplotlib/doc/sphinxext/missing_references.py,37,5,39,26,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L500,_record_reference,missing_references.MissingReferenceFilter._record_reference~Fn,L492,L103,/content/matplotlib/doc/sphinxext/missing_references.py,41,5,51,49,0,0,0,9,11,4,0,0,0,1,5,2,0,0,9,11,5,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,47.548875021634686,0.0105664166714743,10,9,2.6416041678685938,31.699250014423125
7,L505,filter,missing_references.MissingReferenceFilter.filter~Fn,L492,L103,/content/matplotlib/doc/sphinxext/missing_references.py,53,5,55,19,0,0,0,3,3,1,0,0,0,1,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L571,redirects,redirect_from.RedirectFromDomain.redirects~Fn,L566,L103,/content/matplotlib/doc/sphinxext/redirect_from.py,71,5,74,52,0,1,1,3,4,1,0,0,0,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L576,clear_doc,redirect_from.RedirectFromDomain.clear_doc~Fn,L566,L103,/content/matplotlib/doc/sphinxext/redirect_from.py,76,5,77,30,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L579,merge_domaindata,redirect_from.RedirectFromDomain.merge_domaindata~Fn,L566,L103,/content/matplotlib/doc/sphinxext/redirect_from.py,79,5,86,79,0,0,0,8,8,4,0,0,0,0,5,3,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
11,L586,run,redirect_from.RedirectFrom.run~Fn,L583,L103,/content/matplotlib/doc/sphinxext/redirect_from.py,92,5,103,17,0,0,0,12,12,2,0,0,0,0,9,1,0,0,12,12,9,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
12,L765,__init__,bayes_update.UpdateDist.__init__~Fn,L763,L103,/content/matplotlib/galleries/examples/animation/bayes_update.py,28,5,42,60,0,3,0,10,15,1,0,0,0,0,9,3,0,3,10,15,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L771,start,bayes_update.UpdateDist.start~Fn,L763,L103,/content/matplotlib/galleries/examples/animation/bayes_update.py,44,5,47,25,0,2,0,2,4,1,0,0,0,0,1,1,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L773,__call__,bayes_update.UpdateDist.__call__~Fn,L763,L103,/content/matplotlib/galleries/examples/animation/bayes_update.py,49,5,62,25,0,3,0,10,14,3,0,0,0,1,9,2,0,3,10,14,9,0,0,0,0,0,0,0,0,0,0,27.651484454403228,3.4285714285714284,213.4963513216161,0.0207565897118237,18,11,11.860908406756447,62.26976913547136
15,L851,__init__,pause_resume.PauseAnimation.__init__~Fn,L849,L103,/content/matplotlib/galleries/examples/animation/pause_resume.py,29,5,43,71,0,1,0,11,15,1,0,0,0,0,8,1,0,1,11,15,8,0,0,0,0,0,0,0,0,0,0,83.05865002596161,2.4444444444444446,370.62831674896654,0.0505402250112227,34,22,20.590462041609253,151.6206750336681
16,L855,toggle_pause,pause_resume.PauseAnimation.toggle_pause~Fn,L849,L103,/content/matplotlib/galleries/examples/animation/pause_resume.py,45,5,50,37,0,0,0,6,6,2,0,0,0,0,4,3,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
17,L859,update,pause_resume.PauseAnimation.update~Fn,L849,L103,/content/matplotlib/galleries/examples/animation/pause_resume.py,52,5,55,24,0,0,0,4,4,1,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.7142857142857142,68.33680652339717,0.0132877123795494,12,10,3.796489251299843,39.86313713864836
