,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L119,__init__,abstract_accelerator.DeepSpeedAccelerator.__init__~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,12,5,14,47,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L123,is_synchronized_device,abstract_accelerator.DeepSpeedAccelerator.is_synchronized_device~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,16,5,18,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L126,device_name,abstract_accelerator.DeepSpeedAccelerator.device_name~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,21,5,23,11,0,1,0,2,3,1,0,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L130,device,abstract_accelerator.DeepSpeedAccelerator.device~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,25,5,27,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L134,set_device,abstract_accelerator.DeepSpeedAccelerator.set_device~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,29,5,31,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L138,current_device,abstract_accelerator.DeepSpeedAccelerator.current_device~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,33,5,35,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L141,current_device_name,abstract_accelerator.DeepSpeedAccelerator.current_device_name~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,37,5,39,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L144,device_count,abstract_accelerator.DeepSpeedAccelerator.device_count~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,41,5,43,11,0,0,0,2,3,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L147,synchronize,abstract_accelerator.DeepSpeedAccelerator.synchronize~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,45,5,47,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L151,random,abstract_accelerator.DeepSpeedAccelerator.random~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,50,5,52,11,0,1,0,2,3,1,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L154,set_rng_state,abstract_accelerator.DeepSpeedAccelerator.set_rng_state~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,54,5,56,11,0,0,0,2,3,1,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L159,get_rng_state,abstract_accelerator.DeepSpeedAccelerator.get_rng_state~Fn,L117,L103,/content/DeepSpeed/accelerator/abstract_accelerator.py,58,5,60,11,0,0,0,2,3,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
