,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L160,run,cardlinkitem.CustomCardItemDirective.run~Fn,L157,L103,/content/nni/docs/extension/cardlinkitem.py,69,5,127,21,0,2,0,46,59,6,0,0,0,0,29,1,0,2,46,59,29,0,0,0,0,0,0,0,0,0,0,21.651484454403228,1.4285714285714286,67.92696431662098,0.0158496250072115,15,9,3.7737202398122767,47.548875021634686
1,L178,run,codesnippetcard.CodeSnippetCardDirective.run~Fn,L174,L103,/content/nni/docs/extension/codesnippetcard.py,66,5,110,28,0,8,0,28,45,2,0,0,0,0,20,1,0,8,28,45,20,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L191,init,getpartialtext.PartialMessageCatalogBuilder.init~Fn,L188,L103,/content/nni/docs/extension/getpartialtext.py,17,5,20,84,0,0,0,3,4,1,0,0,0,0,2,1,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L195,write_doc,getpartialtext.PartialMessageCatalogBuilder.write_doc~Fn,L188,L103,/content/nni/docs/extension/getpartialtext.py,22,5,25,58,0,0,0,4,4,3,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L226,restore,patch_autodoc.ClassNewBlacklistPatch.restore~Fn,L222,L103,/content/nni/docs/extension/patch_autodoc.py,25,5,27,63,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
5,L232,patch,patch_autodoc.ClassNewBlacklistPatch.patch~Fn,L222,L103,/content/nni/docs/extension/patch_autodoc.py,29,5,42,75,0,7,0,4,14,1,0,0,0,0,3,3,0,7,4,14,3,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
6,L249,restore,patch_autodoc.AutoSummaryPatch.restore~Fn,L244,L103,/content/nni/docs/extension/patch_autodoc.py,80,5,83,78,0,0,0,4,4,2,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
7,L255,patch,patch_autodoc.AutoSummaryPatch.patch~Fn,L244,L103,/content/nni/docs/extension/patch_autodoc.py,85,5,126,64,0,0,0,7,11,1,0,0,0,0,6,3,0,5,30,42,27,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
8,L268,restore,patch_autodoc.ResolveDocPatch.restore~Fn,L264,L103,/content/nni/docs/extension/patch_autodoc.py,135,5,137,75,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
9,L274,patch,patch_autodoc.ResolveDocPatch.patch~Fn,L264,L103,/content/nni/docs/extension/patch_autodoc.py,139,5,157,79,0,0,0,3,5,1,0,0,0,0,2,3,0,3,14,19,11,0,0,1,0,0,1,0,0,0,1,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
10,L507,__init__,darts.DartsClassificationModule.__init__~Fn,L505,L103,/content/nni/docs/source/tutorials/darts.py,488,5,498,99,0,1,0,10,11,1,0,0,0,0,3,5,0,1,10,11,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L515,configure_optimizers,darts.DartsClassificationModule.configure_optimizers~Fn,L505,L103,/content/nni/docs/source/tutorials/darts.py,500,5,511,9,0,1,1,11,12,1,0,0,0,0,2,1,0,1,11,12,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L518,training_step,darts.DartsClassificationModule.training_step~Fn,L505,L103,/content/nni/docs/source/tutorials/darts.py,513,5,529,19,0,1,1,16,17,3,0,0,0,0,14,3,0,1,16,17,14,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.0,27.0,0.009,9,8,1.5,27.0
13,L523,on_train_epoch_start,darts.DartsClassificationModule.on_train_epoch_start~Fn,L505,L103,/content/nni/docs/source/tutorials/darts.py,531,5,536,72,0,2,0,3,6,1,0,0,0,0,2,1,0,2,3,6,2,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
14,L539,__init__,hello_nas.Net.__init__~Fn,L537,L103,/content/nni/docs/source/tutorials/hello_nas.py,42,5,49,37,0,0,0,8,8,1,0,0,0,0,7,1,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L543,forward,hello_nas.Net.forward~Fn,L537,L103,/content/nni/docs/source/tutorials/hello_nas.py,51,5,57,21,0,0,0,7,7,1,0,0,0,0,6,2,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L548,__init__,hello_nas.DepthwiseSeparableConv.__init__~Fn,L546,L103,/content/nni/docs/source/tutorials/hello_nas.py,101,5,104,64,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L554,forward,hello_nas.DepthwiseSeparableConv.forward~Fn,L546,L103,/content/nni/docs/source/tutorials/hello_nas.py,106,5,107,48,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L559,__init__,hello_nas.MyModelSpace.__init__~Fn,L557,L103,/content/nni/docs/source/tutorials/hello_nas.py,111,5,125,45,0,4,0,12,15,1,0,0,0,0,8,1,0,4,12,15,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L563,forward,hello_nas.MyModelSpace.forward~Fn,L557,L103,/content/nni/docs/source/tutorials/hello_nas.py,127,5,133,21,0,0,0,7,7,1,0,0,0,0,6,2,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L605,__init__,model.NeuralNetwork.__init__~Fn,L603,L103,/content/nni/docs/source/tutorials/hpo_nnictl/model.py,65,5,74,9,0,0,0,10,10,1,0,0,0,0,3,1,0,0,10,10,3,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,0.001,3,2,0.1666666666666666,3.0
21,L609,forward,model.NeuralNetwork.forward~Fn,L603,L103,/content/nni/docs/source/tutorials/hpo_nnictl/model.py,76,5,79,21,0,0,0,4,4,1,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L660,__init__,model.NeuralNetwork.__init__~Fn,L658,L103,/content/nni/docs/source/tutorials/hpo_quickstart_pytorch/model.py,65,5,74,9,0,0,0,10,10,1,0,0,0,0,3,1,0,0,10,10,3,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,0.001,3,2,0.1666666666666666,3.0
23,L664,forward,model.NeuralNetwork.forward~Fn,L658,L103,/content/nni/docs/source/tutorials/hpo_quickstart_pytorch/model.py,76,5,79,21,0,0,0,4,4,1,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
24,L859,__init__,quantization_quick_start.Mnist.__init__~Fn,L857,L103,/content/nni/docs/source/tutorials/quantization_quick_start.py,33,5,44,50,0,0,0,12,12,1,0,0,0,0,11,1,0,0,12,12,11,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
25,L863,forward,quantization_quick_start.Mnist.forward~Fn,L857,L103,/content/nni/docs/source/tutorials/quantization_quick_start.py,46,5,54,38,0,0,0,9,9,1,0,0,0,0,8,2,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,10.0,1.25,25.84962500721156,0.0068932333352564,8,6,1.43609027817842,20.67970000576925
26,L1002,__init__,lightning_evaluator.MyModule.__init__~Fn,L1000,L103,/content/nni/examples/compression/evaluator/lightning_evaluator.py,27,5,30,52,0,0,0,4,4,1,0,0,0,0,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
27,L1006,training_step,lightning_evaluator.MyModule.training_step~Fn,L1000,L103,/content/nni/examples/compression/evaluator/lightning_evaluator.py,32,5,37,19,0,0,0,6,6,1,0,0,0,0,5,3,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
28,L1010,evaluate,lightning_evaluator.MyModule.evaluate~Fn,L1000,L103,/content/nni/examples/compression/evaluator/lightning_evaluator.py,39,5,50,56,0,1,0,10,12,2,0,0,0,0,9,3,0,1,10,12,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
29,L1014,validation_step,lightning_evaluator.MyModule.validation_step~Fn,L1000,L103,/content/nni/examples/compression/evaluator/lightning_evaluator.py,52,5,53,35,0,0,0,2,2,1,0,0,0,1,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
30,L1019,test_step,lightning_evaluator.MyModule.test_step~Fn,L1000,L103,/content/nni/examples/compression/evaluator/lightning_evaluator.py,55,5,56,36,0,0,0,2,2,1,0,0,0,1,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
31,L1023,configure_optimizers,lightning_evaluator.MyModule.configure_optimizers~Fn,L1000,L103,/content/nni/examples/compression/evaluator/lightning_evaluator.py,58,5,64,71,0,0,0,7,7,1,0,0,0,0,3,1,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
32,L1186,__init__,bnn_example.VGG_Cifar10.__init__~Fn,L1184,L103,/content/nni/examples/compression/quantization/bnn_example.py,35,5,77,9,0,1,0,35,43,1,0,0,0,0,3,2,0,1,35,43,3,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
33,L1191,forward,bnn_example.VGG_Cifar10.forward~Fn,L1184,L103,/content/nni/examples/compression/quantization/bnn_example.py,79,5,83,16,0,0,0,5,5,1,0,0,0,0,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,10.0,1.25,25.84962500721156,0.0068932333352564,8,6,1.43609027817842,20.67970000576925
34,L1225,__init__,dorefa_example.NaiveModel.__init__~Fn,L1223,L103,/content/nni/examples/compression/quantization/dorefa_example.py,34,5,44,49,0,0,0,11,11,1,0,0,0,0,10,1,0,0,11,11,10,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
35,L1229,forward,dorefa_example.NaiveModel.forward~Fn,L1223,L103,/content/nni/examples/compression/quantization/dorefa_example.py,46,5,54,38,0,0,0,9,9,1,0,0,0,0,8,2,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
36,L1259,__init__,lsq_example.Mnist.__init__~Fn,L1257,L103,/content/nni/examples/compression/quantization/lsq_example.py,33,5,44,50,0,0,0,12,12,1,0,0,0,0,11,1,0,0,12,12,11,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
37,L1263,forward,lsq_example.Mnist.forward~Fn,L1257,L103,/content/nni/examples/compression/quantization/lsq_example.py,46,5,54,38,0,0,0,9,9,1,0,0,0,0,8,2,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,10.0,1.25,25.84962500721156,0.0068932333352564,8,6,1.43609027817842,20.67970000576925
38,L1293,__init__,ptq_example.NaiveModel.__init__~Fn,L1291,L103,/content/nni/examples/compression/quantization/ptq_example.py,34,5,45,50,0,0,0,12,12,1,0,0,0,0,11,1,0,0,12,12,11,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
39,L1297,forward,ptq_example.NaiveModel.forward~Fn,L1291,L103,/content/nni/examples/compression/quantization/ptq_example.py,47,5,55,38,0,0,0,9,9,1,0,0,0,0,8,2,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
40,L1326,__init__,qat_example.NaiveModel.__init__~Fn,L1324,L103,/content/nni/examples/compression/quantization/qat_example.py,36,5,46,49,0,0,0,11,11,1,0,0,0,0,10,1,0,0,11,11,10,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
41,L1330,forward,qat_example.NaiveModel.forward~Fn,L1324,L103,/content/nni/examples/compression/quantization/qat_example.py,48,5,56,38,0,0,0,9,9,1,0,0,0,0,8,2,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
42,L1440,__init__,benchmark_test.Benchmark.__init__~Fn,L1438,L103,/content/nni/examples/feature_engineering/gradient_feature_selector/benchmark_test.py,41,5,43,34,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
