,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L602,__init__,dispatch_tir_operator.DispatchTIROperator.__init__~Fn,L600,L103,/content/mlc-llm/mlc_llm/dispatch/dispatch_tir_operator.py,8,5,36,28,0,2,0,20,29,9,0,0,0,0,18,2,0,2,20,29,18,0,0,0,0,0,0,0,0,0,0,28.529325012980813,0.8888888888888888,70.86779935759708,0.0265754247590989,24,10,3.9370999643109488,79.72627427729671
1,L607,transform_module,dispatch_tir_operator.DispatchTIROperator.transform_module~Fn,L600,L103,/content/mlc-llm/mlc_llm/dispatch/dispatch_tir_operator.py,40,5,53,18,0,1,0,13,14,4,0,0,0,0,8,3,0,1,13,14,8,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,18.575424759098897,0.0046438561897747,6,5,1.0319680421721609,13.931568569324174
2,L838,transform_module,dispatch_tir_operator_adreno.DispatchTIROperatorAdreno.transform_module~Fn,L836,L103,/content/mlc-llm/mlc_llm/dispatch/dispatch_tir_operator_adreno.py,3226,5,3234,18,0,0,0,8,9,3,0,0,0,1,5,3,0,0,8,9,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
3,L908,fused_NT_matmul1_add3,dolly_v2_3b_mod.Module.fused_NT_matmul1_add3~Fn,L906,L103,/content/mlc-llm/mlc_llm/dispatch/gpt_neox/dolly_v2_3b_mod.py,26,5,47,130,0,1,0,21,22,3,0,0,0,0,19,4,0,1,21,22,19,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.0,27.0,0.009,9,8,1.5,27.0
4,L913,fused_NT_matmul1_add3_add5_add5,dolly_v2_3b_mod.Module.fused_NT_matmul1_add3_add5_add5~Fn,L906,L103,/content/mlc-llm/mlc_llm/dispatch/gpt_neox/dolly_v2_3b_mod.py,49,5,86,134,0,1,0,37,38,5,0,0,0,0,35,6,0,1,37,38,35,0,0,1,0,0,0,0,0,0,1,35.219280948873624,1.0,53.77443751081735,0.0179248125036057,15,12,2.987468750600964,53.77443751081735
5,L920,fused_NT_matmul1_add3_add5_add5_cast5,dolly_v2_3b_mod.Module.fused_NT_matmul1_add3_add5_add5_cast5~Fn,L906,L103,/content/mlc-llm/mlc_llm/dispatch/gpt_neox/dolly_v2_3b_mod.py,88,5,132,122,0,1,0,44,45,6,0,0,0,0,42,6,0,1,44,45,42,0,0,1,0,0,0,0,0,0,1,35.219280948873624,1.0,53.77443751081735,0.0179248125036057,15,12,2.987468750600964,53.77443751081735
6,L927,fused_NT_matmul2_divide1_maximum1_minimum1_cast7,dolly_v2_3b_mod.Module.fused_NT_matmul2_divide1_maximum1_minimum1_cast7~Fn,L906,L103,/content/mlc-llm/mlc_llm/dispatch/gpt_neox/dolly_v2_3b_mod.py,134,5,179,136,0,1,0,45,46,6,0,0,0,0,43,4,0,1,45,46,43,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.5,54.81181356564148,0.0121804030145869,11,10,3.0451007536467487,36.541209043760986
7,L932,fused_NT_matmul3_add4_gelu1,dolly_v2_3b_mod.Module.fused_NT_matmul3_add4_gelu1~Fn,L906,L103,/content/mlc-llm/mlc_llm/dispatch/gpt_neox/dolly_v2_3b_mod.py,181,5,251,139,0,1,0,70,71,10,0,0,0,0,68,4,0,1,70,71,68,0,0,1,0,0,1,0,0,0,1,55.30296890880645,1.0,84.0,0.028,21,16,4.666666666666667,84.0
8,L937,fused_NT_matmul4_add3,dolly_v2_3b_mod.Module.fused_NT_matmul4_add3~Fn,L906,L103,/content/mlc-llm/mlc_llm/dispatch/gpt_neox/dolly_v2_3b_mod.py,253,5,274,131,0,1,0,21,22,3,0,0,0,0,19,4,0,1,21,22,19,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.0,27.0,0.009,9,8,1.5,27.0
9,L942,fused_NT_matmul_divide_maximum_minimum_cast2,dolly_v2_3b_mod.Module.fused_NT_matmul_divide_maximum_minimum_cast2~Fn,L906,L103,/content/mlc-llm/mlc_llm/dispatch/gpt_neox/dolly_v2_3b_mod.py,276,5,319,136,0,1,0,43,44,6,0,0,0,0,41,4,0,1,43,44,41,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.5,54.81181356564148,0.0121804030145869,11,10,3.0451007536467487,36.541209043760986
