,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L199,__init__,actions.GlancesActions.__init__~Fn,L196,L103,/content/glances/glances/actions.py,29,5,42,39,0,7,1,6,14,2,0,0,0,0,4,2,0,7,6,14,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
1,L205,get,actions.GlancesActions.get~Fn,L196,L103,/content/glances/glances/actions.py,44,5,49,23,0,1,1,5,6,2,0,0,0,0,3,2,0,1,5,6,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L209,set,actions.GlancesActions.set~Fn,L196,L103,/content/glances/glances/actions.py,51,5,53,44,0,1,1,2,3,1,0,0,0,0,1,3,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L214,run,actions.GlancesActions.run~Fn,L196,L103,/content/glances/glances/actions.py,55,5,94,19,0,14,10,22,40,8,0,0,0,2,14,6,0,14,22,40,14,0,0,1,0,0,0,0,0,0,1,32.0,2.0,93.20902501875008,0.015534837503125,13,12,5.178279167708337,46.60451250937504
4,L240,__init__,glances_amp.GlancesAmp.__init__~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,39,5,57,29,0,6,1,9,19,2,0,0,0,0,7,3,0,6,9,19,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
5,L249,load_config,glances_amp.GlancesAmp.load_config~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,59,5,106,28,0,15,1,28,48,9,0,0,0,1,20,2,0,15,28,48,20,0,0,0,0,0,0,0,0,0,0,32.0,2.0,86.03910001730776,0.0143398500028846,12,12,4.779950000961542,43.01955000865388
6,L255,get,glances_amp.GlancesAmp.get~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,108,5,113,23,0,1,1,5,6,2,0,0,0,0,3,2,0,1,5,6,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
7,L253,enable,glances_amp.GlancesAmp.enable~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,115,5,121,49,0,1,1,6,7,2,0,0,0,1,4,1,0,1,6,7,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L262,regex,glances_amp.GlancesAmp.regex~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,123,5,125,32,0,1,1,2,3,1,0,0,0,1,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L265,refresh,glances_amp.GlancesAmp.refresh~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,127,5,129,34,0,1,1,2,3,1,0,0,0,1,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L268,one_line,glances_amp.GlancesAmp.one_line~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,131,5,137,49,0,1,1,6,7,2,0,0,0,1,4,1,0,1,6,7,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
11,L271,time_until_refresh,glances_amp.GlancesAmp.time_until_refresh~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,139,5,141,31,0,1,1,2,3,1,0,0,0,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L274,should_update,glances_amp.GlancesAmp.should_update~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,143,5,154,20,0,6,6,6,12,2,0,0,0,2,5,1,0,6,6,12,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L278,set_count,glances_amp.GlancesAmp.set_count~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,156,5,158,37,0,1,1,2,3,1,0,0,0,0,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L282,count,glances_amp.GlancesAmp.count~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,160,5,162,32,0,1,1,2,3,1,0,0,0,1,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L285,count_min,glances_amp.GlancesAmp.count_min~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,164,5,166,35,0,1,1,2,3,1,0,0,0,1,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L288,count_max,glances_amp.GlancesAmp.count_max~Fn,L232,L103,/content/glances/glances/amps/glances_amp.py,168,5,170,35,0,1,1,2,3,1,0,0,0,1,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
