,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L134,setup,bench_app.LaplaceInplace.setup~Fn,L130,L103,/content/numpy/benchmarks/benchmarks/bench_app.py,10,5,46,22,0,0,0,9,15,1,0,0,0,0,8,2,0,0,31,37,23,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L154,time_it,bench_app.LaplaceInplace.time_it~Fn,L130,L103,/content/numpy/benchmarks/benchmarks/bench_app.py,48,5,49,18,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L159,setup,bench_app.MaxesOfDots.setup~Fn,L157,L103,/content/numpy/benchmarks/benchmarks/bench_app.py,53,5,60,45,0,0,0,7,8,1,0,0,0,0,5,1,0,0,7,8,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L163,maxes_of_dots,bench_app.MaxesOfDots.maxes_of_dots~Fn,L157,L103,/content/numpy/benchmarks/benchmarks/bench_app.py,62,5,82,29,0,13,13,8,21,3,0,0,0,0,7,2,0,13,8,21,7,0,0,0,0,0,0,0,0,0,0,35.219280948873624,1.2,77.43519001557698,0.0215097750043269,18,12,4.301955000865387,64.52932501298082
4,L167,time_it,bench_app.MaxesOfDots.time_it~Fn,L157,L103,/content/numpy/benchmarks/benchmarks/bench_app.py,84,5,85,39,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L178,time_array_invalid_kwarg,bench_array_coercion.ArrayCoercionSmall.time_array_invalid_kwarg~Fn,L173,L103,/content/numpy/benchmarks/benchmarks/bench_array_coercion.py,13,5,17,16,0,0,0,5,5,2,0,0,0,0,3,2,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L183,time_array,bench_array_coercion.ArrayCoercionSmall.time_array~Fn,L173,L103,/content/numpy/benchmarks/benchmarks/bench_array_coercion.py,19,5,20,28,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L186,time_array_dtype_not_kwargs,bench_array_coercion.ArrayCoercionSmall.time_array_dtype_not_kwargs~Fn,L173,L103,/content/numpy/benchmarks/benchmarks/bench_array_coercion.py,22,5,23,40,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L189,time_array_no_copy,bench_array_coercion.ArrayCoercionSmall.time_array_no_copy~Fn,L173,L103,/content/numpy/benchmarks/benchmarks/bench_array_coercion.py,25,5,26,40,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L192,time_array_subok,bench_array_coercion.ArrayCoercionSmall.time_array_subok~Fn,L173,L103,/content/numpy/benchmarks/benchmarks/bench_array_coercion.py,28,5,29,40,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
