,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L200,__init__,download-model.ModelDownloader.__init__~Fn,L198,L103,/content/text-generation-webui/download-model.py,29,5,37,87,0,0,0,9,9,5,0,0,0,0,8,2,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.3333333333333333,48.0,0.012,12,8,2.6666666666666665,36.0
1,L205,sanitize_model_and_branch_names,download-model.ModelDownloader.sanitize_model_and_branch_names~Fn,L198,L103,/content/text-generation-webui/download-model.py,39,5,58,28,0,0,0,16,20,7,0,0,0,0,13,3,0,0,16,20,13,0,0,0,0,0,0,0,0,0,0,53.563522809337215,4.090909090909091,401.3145335045788,0.0326997027300027,24,17,22.29525186136549,98.09910819000817
2,L209,get_download_links_from_huggingface,download-model.ModelDownloader.get_download_links_from_huggingface~Fn,L198,L103,/content/text-generation-webui/download-model.py,60,5,132,50,0,1,0,62,73,25,0,0,0,0,61,5,0,1,62,73,61,0,0,1,0,0,1,1,0,0,0,198.0537478050103,6.359375,2001.443840617152,0.1049077852575739,58,43,111.19132447873066,314.7233557727217
3,L215,get_output_folder,download-model.ModelDownloader.get_output_folder~Fn,L198,L103,/content/text-generation-webui/download-model.py,134,5,147,28,0,1,0,10,14,5,0,0,0,0,9,6,0,1,10,14,9,0,0,1,0,0,0,0,0,0,1,44.03910001730775,3.333333333333333,208.36749843245437,0.0208367498432454,16,15,11.575972135136352,62.5102495297363
4,L222,get_single_file,download-model.ModelDownloader.get_single_file~Fn,L198,L103,/content/text-generation-webui/download-model.py,149,5,178,94,0,4,0,25,30,7,0,0,0,0,24,4,0,4,25,30,24,0,0,0,0,0,0,0,0,0,0,93.48686830125578,4.470588235294118,602.0622966037348,0.044890609834489,29,25,33.44790536687415,134.671829503467
5,L227,start_download_threads,download-model.ModelDownloader.start_download_threads~Fn,L198,L103,/content/text-generation-webui/download-model.py,180,5,181,157,0,0,0,2,2,1,0,0,0,1,1,5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L234,download_model_files,download-model.ModelDownloader.download_model_files~Fn,L198,L103,/content/text-generation-webui/download-model.py,183,5,206,113,0,1,0,17,24,4,0,0,0,0,13,11,0,1,17,24,13,0,0,1,0,0,1,0,0,0,1,20.264662506490406,1.75,61.02105627776452,0.0116230583386218,11,9,3.3900586820980285,34.86917501586544
7,L246,check_model_files,download-model.ModelDownloader.check_model_files~Fn,L198,L103,/content/text-generation-webui/download-model.py,208,5,231,90,0,1,0,20,24,5,0,0,0,0,17,6,0,1,20,24,17,0,0,1,0,0,0,0,0,0,1,20.264662506490406,1.75,61.02105627776452,0.0116230583386218,11,9,3.3900586820980285,34.86917501586544
8,L300,__init__,custom_scheduler.FPSchedulerTrainer.__init__~Fn,L298,L103,/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py,123,5,124,41,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L306,create_scheduler,custom_scheduler.FPSchedulerTrainer.create_scheduler~Fn,L298,L103,/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py,126,5,175,104,0,1,0,41,50,7,0,0,0,2,27,3,0,1,41,50,27,0,0,0,0,0,0,0,0,0,0,74.11313393845472,4.4,637.7644897874761,0.0483154916505663,33,21,35.431360543748674,144.94647495169912
