,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L6971,__init__,det_inferencer.DetInferencer.__init__~Fn,L6964,L103,/content/mmdetection/mmdet/apis/det_inferencer.py,86,5,102,42,0,2,0,15,17,1,0,0,0,0,7,7,0,2,15,17,7,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L6981,_load_weights_to_model,det_inferencer.DetInferencer._load_weights_to_model~Fn,L6964,L103,/content/mmdetection/mmdet/apis/det_inferencer.py,104,5,157,60,0,12,7,40,54,7,0,0,0,0,24,4,0,12,40,54,24,0,0,0,0,0,0,0,0,0,0,32.0,3.0,193.5879750389425,0.0215097750043269,18,12,10.75488750216347,64.52932501298082
2,L6987,_init_pipeline,det_inferencer.DetInferencer._init_pipeline~Fn,L6964,L103,/content/mmdetection/mmdet/apis/det_inferencer.py,159,5,175,36,0,2,1,13,17,3,0,0,0,1,8,2,0,2,13,17,8,0,0,0,0,0,0,0,0,0,0,27.651484454403228,2.857142857142857,168.02953576238303,0.0196034458389446,17,11,9.33497420902128,58.81033751683406
3,L6991,_get_transform_idx,det_inferencer.DetInferencer._get_transform_idx~Fn,L6964,L103,/content/mmdetection/mmdet/apis/det_inferencer.py,177,5,186,17,0,4,4,6,10,3,0,0,0,0,4,3,0,4,6,10,4,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
4,L6997,_init_visualizer,det_inferencer.DetInferencer._init_visualizer~Fn,L6964,L103,/content/mmdetection/mmdet/apis/det_inferencer.py,188,5,199,25,0,8,8,4,12,1,0,0,0,0,3,2,0,8,4,12,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L7001,_inputs_to_list,det_inferencer.DetInferencer._inputs_to_list~Fn,L6964,L103,/content/mmdetection/mmdet/apis/det_inferencer.py,201,5,234,27,0,20,17,12,34,5,0,0,0,0,8,2,0,20,12,34,8,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
6,L7005,preprocess,det_inferencer.DetInferencer.preprocess~Fn,L6964,L103,/content/mmdetection/mmdet/apis/det_inferencer.py,236,5,261,53,0,23,23,3,26,1,0,0,0,1,2,4,0,23,3,26,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L7011,_get_chunk_data,det_inferencer.DetInferencer._get_chunk_data~Fn,L6964,L103,/content/mmdetection/mmdet/apis/det_inferencer.py,263,5,293,21,0,9,9,22,31,7,0,0,0,0,16,3,0,9,22,31,16,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L7017,__call__,det_inferencer.DetInferencer.__call__~Fn,L6964,L103,/content/mmdetection/mmdet/apis/det_inferencer.py,298,5,418,27,0,43,37,77,121,13,0,0,0,4,26,17,0,43,77,121,26,0,0,4,0,0,2,1,0,0,3,72.0,2.75,392.2149746110282,0.0475412090437609,33,20,21.78972081172379,142.62362713128297
9,L7038,visualize,det_inferencer.DetInferencer.visualize~Fn,L6964,L103,/content/mmdetection/mmdet/apis/det_inferencer.py,420,5,497,22,0,23,23,48,78,10,0,0,0,0,23,11,0,23,48,78,23,0,0,1,0,0,2,0,0,0,1,62.67103446305711,4.666666666666667,495.591543235085,0.0353993959453632,25,19,27.53286351306028,106.19818783608964
