,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L543,__init__,pystone.Record.__init__~Fn,L541,L103,/content/pyodide/benchmark/benchmarks/pystone_benchmarks/pystone.py,60,5,65,36,0,0,0,6,6,1,0,0,0,0,5,6,0,0,6,6,5,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L552,copy,pystone.Record.copy~Fn,L541,L103,/content/pyodide/benchmark/benchmarks/pystone_benchmarks/pystone.py,67,5,70,9,0,0,0,4,4,1,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L2128,run,setup.build_py_after_build_ext.run~Fn,L2126,L103,/content/pyodide/packages/nlopt/extras/setup.py,69,5,72,28,0,0,0,4,4,1,0,0,0,1,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L3398,__init__,buildpkg.BashRunnerWithSharedEnvironment.__init__~Fn,L3395,L103,/content/pyodide/pyodide-build/pyodide_build/buildpkg.py,69,5,75,38,0,0,0,6,7,2,0,0,0,0,5,2,0,0,6,7,5,0,0,0,0,0,0,0,0,0,0,10.0,1.5,34.89699375973561,0.0077548875021634,9,6,1.938721875540867,23.264662506490403
4,L3403,__enter__,buildpkg.BashRunnerWithSharedEnvironment.__enter__~Fn,L3395,L103,/content/pyodide/pyodide-build/pyodide_build/buildpkg.py,77,5,80,19,0,0,0,4,4,1,0,0,0,0,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L3405,run_unchecked,buildpkg.BashRunnerWithSharedEnvironment.run_unchecked~Fn,L3395,L103,/content/pyodide/pyodide-build/pyodide_build/buildpkg.py,82,5,104,21,0,0,0,22,23,2,0,0,0,0,9,3,0,0,22,23,9,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.2,30.319433158222125,0.0084220647661728,9,7,1.6844129532345624,25.26619429851844
6,L3409,run,buildpkg.BashRunnerWithSharedEnvironment.run~Fn,L3395,L103,/content/pyodide/pyodide-build/pyodide_build/buildpkg.py,106,5,127,21,0,1,1,21,22,4,0,0,0,1,13,5,0,1,21,22,13,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
7,L3417,__exit__,buildpkg.BashRunnerWithSharedEnvironment.__exit__~Fn,L3395,L103,/content/pyodide/pyodide-build/pyodide_build/buildpkg.py,129,5,142,31,0,1,1,12,14,3,0,0,0,0,6,4,0,1,12,14,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L3798,_check_url_has_hash,io._SourceSpec._check_url_has_hash~Fn,L3787,L103,/content/pyodide/pyodide-build/pyodide_build/io.py,30,5,36,21,0,0,0,7,7,3,0,0,0,0,3,2,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.8,48.6,0.009,9,8,2.7,27.0
9,L3801,_check_in_tree_url,io._SourceSpec._check_in_tree_url~Fn,L3787,L103,/content/pyodide/pyodide-build/pyodide_build/io.py,38,5,52,21,0,4,0,9,15,3,0,0,0,0,5,2,0,4,9,15,5,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.2,30.319433158222125,0.0084220647661728,9,7,1.6844129532345624,25.26619429851844
