,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L346,get_help_option,options.PipenvGroup.get_help_option~Fn,L343,L103,/content/pipenv/pipenv/cli/options.py,26,5,51,9,0,0,0,14,17,3,0,0,0,0,6,2,0,2,21,26,11,0,0,0,0,0,0,0,0,0,0,28.75488750216347,1.5,72.64806399138325,0.0161440142203073,14,11,4.036003555076848,48.43204266092217
1,L355,main,options.PipenvGroup.main~Fn,L343,L103,/content/pipenv/pipenv/cli/options.py,53,5,58,71,0,4,4,2,6,1,0,0,0,0,1,3,0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L362,__init__,options.State.__init__~Fn,L360,L103,/content/pipenv/pipenv/cli/options.py,62,5,73,40,0,0,0,12,12,1,0,0,0,0,11,1,0,0,12,12,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L373,__init__,options.InstallState.__init__~Fn,L363,L103,/content/pipenv/pipenv/cli/options.py,77,5,88,30,0,0,0,12,12,1,0,0,0,0,11,1,0,0,12,12,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L376,__init__,options.LockOptions.__init__~Fn,L366,L103,/content/pipenv/pipenv/cli/options.py,92,5,93,29,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L599,__init__,cmdparse.Script.__init__~Fn,L595,L103,/content/pipenv/pipenv/cmdparse.py,51,5,54,36,0,0,0,4,4,2,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L605,parse,cmdparse.Script.parse~Fn,L595,L103,/content/pipenv/pipenv/cmdparse.py,56,5,65,39,0,0,0,10,10,4,0,0,0,1,8,2,0,0,10,10,8,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
7,L611,__repr__,cmdparse.Script.__repr__~Fn,L595,L103,/content/pipenv/pipenv/cmdparse.py,67,5,68,41,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L613,command,cmdparse.Script.command~Fn,L595,L103,/content/pipenv/pipenv/cmdparse.py,70,5,72,29,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L615,args,cmdparse.Script.args~Fn,L595,L103,/content/pipenv/pipenv/cmdparse.py,74,5,76,30,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L617,cmd_args,cmdparse.Script.cmd_args~Fn,L595,L103,/content/pipenv/pipenv/cmdparse.py,78,5,80,26,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L619,extend,cmdparse.Script.extend~Fn,L595,L103,/content/pipenv/pipenv/cmdparse.py,82,5,83,38,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L622,cmdify,cmdparse.Script.cmdify~Fn,L595,L103,/content/pipenv/pipenv/cmdparse.py,85,5,134,9,0,43,43,7,50,1,0,0,0,1,1,1,0,43,7,50,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L632,__init__,environment.Environment.__init__~Fn,L630,L103,/content/pipenv/pipenv/environment.py,52,5,85,36,0,0,0,34,34,11,0,0,0,1,24,8,0,0,34,34,24,0,0,2,0,0,2,1,0,0,1,49.66338827944709,2.9545454545454546,248.1818181818182,0.028,21,16,13.787878787878787,84.0
14,L645,safe_import,environment.Environment.safe_import~Fn,L630,L103,/content/pipenv/pipenv/environment.py,87,5,101,21,0,1,1,14,15,4,0,0,0,0,10,2,0,1,14,15,10,0,0,0,0,0,0,0,0,0,0,12.75488750216347,1.875,42.11032383086406,0.0074862797921536,8,7,2.339462435048004,22.458839376460837
15,L649,resolve_dist,environment.Environment.resolve_dist~Fn,L630,L103,/content/pipenv/pipenv/environment.py,103,5,132,19,0,13,9,17,30,4,0,0,0,0,11,3,0,13,17,30,11,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
16,L654,extend_dists,environment.Environment.extend_dists~Fn,L630,L103,/content/pipenv/pipenv/environment.py,134,5,138,43,0,0,0,5,5,2,0,0,0,1,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L658,add_dist,environment.Environment.add_dist~Fn,L630,L103,/content/pipenv/pipenv/environment.py,140,5,142,31,0,0,0,3,3,1,0,0,0,1,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L662,python_version,environment.Environment.python_version~Fn,L630,L103,/content/pipenv/pipenv/environment.py,144,5,149,29,0,0,0,6,6,1,0,0,0,2,4,1,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L667,find_libdir,environment.Environment.find_libdir~Fn,L630,L103,/content/pipenv/pipenv/environment.py,151,5,153,55,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
20,L669,python_info,environment.Environment.python_info~Fn,L630,L103,/content/pipenv/pipenv/environment.py,155,5,172,17,0,0,0,18,18,6,0,0,0,1,14,1,0,0,18,18,14,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,47.548875021634686,0.0105664166714743,10,9,2.6416041678685938,31.699250014423125
21,L673,_replace_parent_version,environment.Environment._replace_parent_version~Fn,L630,L103,/content/pipenv/pipenv/environment.py,174,5,183,19,0,0,0,10,10,2,0,0,0,0,6,3,0,0,10,10,6,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
22,L677,install_scheme,environment.Environment.install_scheme~Fn,L630,L103,/content/pipenv/pipenv/environment.py,185,5,192,33,0,0,0,8,8,3,0,0,0,0,5,1,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
23,L679,base_paths,environment.Environment.base_paths~Fn,L630,L103,/content/pipenv/pipenv/environment.py,194,5,271,20,0,25,22,52,78,11,0,0,0,4,32,1,0,25,52,78,32,0,0,1,0,0,1,1,0,0,0,64.91260938324326,3.2142857142857144,395.96752893170566,0.0410632992966213,29,19,21.998196051761425,123.18989788986396
24,L685,script_basedir,environment.Environment.script_basedir~Fn,L630,L103,/content/pipenv/pipenv/environment.py,273,5,284,31,0,1,1,11,12,1,0,0,0,0,3,1,0,1,11,12,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
25,L688,python,environment.Environment.python~Fn,L630,L103,/content/pipenv/pipenv/environment.py,286,5,298,17,0,1,1,12,13,5,0,0,0,0,9,1,0,1,12,13,9,0,0,0,0,0,0,0,0,0,0,32.0,2.0,93.20902501875008,0.015534837503125,13,12,5.178279167708337,46.60451250937504
26,L691,sys_path,environment.Environment.sys_path~Fn,L630,L103,/content/pipenv/pipenv/environment.py,300,5,321,19,0,6,6,13,22,5,0,0,0,0,10,1,0,6,13,22,10,0,0,0,0,0,0,0,0,0,0,20.264662506490406,2.0,82.41805003750012,0.0137363416729166,13,9,4.578780557638896,41.20902501875006
27,L694,build_command,environment.Environment.build_command~Fn,L630,L103,/content/pipenv/pipenv/environment.py,323,5,371,25,0,12,12,36,49,5,0,0,0,0,16,5,0,12,36,49,16,0,0,0,0,0,0,0,0,0,0,26.0,1.25,62.28615177913805,0.0166096404744368,15,10,3.4603417655076694,49.82892142331044
28,L643,get_paths,environment.Environment.get_paths~Fn,L630,L103,/content/pipenv/pipenv/environment.py,373,5,403,19,0,6,6,25,31,5,0,0,0,1,14,1,0,6,25,31,14,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.2,30.319433158222125,0.0084220647661728,9,7,1.6844129532345624,25.26619429851844
29,L683,get_lib_paths,environment.Environment.get_lib_paths~Fn,L630,L103,/content/pipenv/pipenv/environment.py,405,5,454,17,0,5,5,45,50,9,0,0,0,1,26,1,0,5,45,50,26,0,0,0,0,0,0,0,0,0,0,28.75488750216347,1.875,103.78294855911894,0.0184503019660655,16,11,5.765719364395497,55.35090589819677
30,L671,get_include_path,environment.Environment.get_include_path~Fn,L630,L103,/content/pipenv/pipenv/environment.py,456,5,474,19,0,5,5,14,19,4,0,0,0,1,12,1,0,5,14,19,12,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
31,L708,sys_prefix,environment.Environment.sys_prefix~Fn,L630,L103,/content/pipenv/pipenv/environment.py,476,5,488,25,0,6,6,6,13,1,0,0,0,0,4,1,0,6,6,13,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
32,L711,paths,environment.Environment.paths~Fn,L630,L103,/content/pipenv/pipenv/environment.py,490,5,501,20,0,0,0,12,12,2,0,0,0,0,10,1,0,0,12,12,10,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
33,L713,scripts_dir,environment.Environment.scripts_dir~Fn,L630,L103,/content/pipenv/pipenv/environment.py,503,5,505,36,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
34,L715,libdir,environment.Environment.libdir~Fn,L630,L103,/content/pipenv/pipenv/environment.py,507,5,512,47,0,0,0,6,6,3,0,0,0,0,4,1,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
35,L717,expand_egg_links,environment.Environment.expand_egg_links~Fn,L630,L103,/content/pipenv/pipenv/environment.py,514,5,533,51,0,4,4,16,20,5,0,0,0,0,9,1,0,4,16,20,9,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
36,L720,get_distributions,environment.Environment.get_distributions~Fn,L630,L103,/content/pipenv/pipenv/environment.py,535,5,545,55,0,6,6,4,11,1,0,0,0,0,3,1,0,6,4,11,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
37,L723,find_egg,environment.Environment.find_egg~Fn,L630,L103,/content/pipenv/pipenv/environment.py,547,5,559,26,0,1,1,12,13,4,0,0,0,0,10,2,0,1,12,13,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
38,L727,locate_dist,environment.Environment.locate_dist~Fn,L630,L103,/content/pipenv/pipenv/environment.py,561,5,567,40,0,3,3,3,7,2,0,0,0,1,2,2,0,3,3,7,2,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,0.001,3,2,0.1666666666666666,3.0
39,L732,dist_is_in_project,environment.Environment.dist_is_in_project~Fn,L630,L103,/content/pipenv/pipenv/environment.py,569,5,582,70,0,1,1,12,14,2,0,0,0,1,7,2,0,1,12,14,7,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
40,L737,get_installed_packages,environment.Environment.get_installed_packages~Fn,L630,L103,/content/pipenv/pipenv/environment.py,584,5,592,23,0,1,1,8,9,2,0,0,0,2,3,1,0,1,8,9,3,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
41,L743,get_finder,environment.Environment.get_finder~Fn,L630,L103,/content/pipenv/pipenv/environment.py,594,5,609,20,0,0,0,15,16,1,0,0,0,0,9,2,0,0,15,16,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
42,L746,get_package_info,environment.Environment.get_package_info~Fn,L630,L103,/content/pipenv/pipenv/environment.py,611,5,644,26,0,2,0,30,34,5,0,0,0,2,18,2,0,2,30,34,18,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.5,6.0,0.004,6,4,0.3333333333333333,12.0
43,L751,get_outdated_packages,environment.Environment.get_outdated_packages~Fn,L630,L103,/content/pipenv/pipenv/environment.py,646,5,653,9,0,0,0,8,8,1,0,0,0,1,1,2,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,0.001,3,2,0.1666666666666666,3.0
44,L755,_get_requirements_for_package,environment.Environment._get_requirements_for_package~Fn,L630,L103,/content/pipenv/pipenv/environment.py,655,5,676,16,0,1,0,18,22,4,0,0,0,0,9,5,0,1,18,22,9,0,0,0,0,0,0,0,0,0,0,12.75488750216347,2.25,56.848937171666485,0.0084220647661728,9,7,3.158274287314805,25.26619429851844
45,L761,get_package_requirements,environment.Environment.get_package_requirements~Fn,L630,L103,/content/pipenv/pipenv/environment.py,678,5,697,79,0,0,0,15,20,3,0,0,0,0,13,2,0,0,15,20,13,0,0,0,0,0,0,0,0,0,0,12.75488750216347,3.0,101.06477719407376,0.0112294196882304,12,7,5.614709844115208,33.68825906469125
46,L764,reverse_dependency,environment.Environment.reverse_dependency~Fn,L630,L103,/content/pipenv/pipenv/environment.py,699,5,711,22,0,0,0,13,13,3,0,0,0,0,7,2,0,0,13,13,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
47,L767,reverse_dependencies,environment.Environment.reverse_dependencies~Fn,L630,L103,/content/pipenv/pipenv/environment.py,713,5,739,20,0,0,0,27,27,8,0,0,0,0,18,1,0,0,27,27,18,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
48,L741,get_working_set,environment.Environment.get_working_set~Fn,L630,L103,/content/pipenv/pipenv/environment.py,741,5,749,26,0,5,5,3,9,1,0,0,0,0,2,1,0,5,3,9,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
49,L771,is_installed,environment.Environment.is_installed~Fn,L630,L103,/content/pipenv/pipenv/environment.py,751,5,759,84,0,6,6,2,9,1,0,0,0,0,1,2,0,6,2,9,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
50,L775,is_satisfied,environment.Environment.is_satisfied~Fn,L630,L103,/content/pipenv/pipenv/environment.py,761,5,806,20,0,0,0,46,46,15,0,0,0,0,28,2,0,0,46,46,28,0,0,1,0,0,1,1,0,0,0,109.71713608445737,2.727272727272727,466.8435002124133,0.0570586500259616,36,27,25.93575001180074,171.1759500778849
51,L778,run_activate_this,environment.Environment.run_activate_this~Fn,L630,L103,/content/pipenv/pipenv/environment.py,808,5,816,55,0,1,1,8,9,3,0,0,0,0,7,1,0,1,8,9,7,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
52,L665,activated,environment.Environment.activated~Fn,L630,L103,/content/pipenv/pipenv/environment.py,818,5,866,44,0,18,18,31,49,4,0,0,0,0,19,1,0,18,31,49,19,0,0,0,0,0,0,0,0,0,0,10.0,1.0,18.09473750504809,0.0060315791683493,7,6,1.0052631947248942,18.09473750504809
53,L801,__init__,environments.Setting.__init__~Fn,L798,L103,/content/pipenv/pipenv/environments.py,107,5,408,31,0,18,0,245,302,15,0,0,0,2,95,1,0,18,245,302,95,0,0,6,0,0,1,1,0,0,5,82.60335893412778,4.266666666666667,482.5132753127481,0.0376963496338084,25,23,26.806293072930448,113.08904890142531
54,L807,is_verbose,environments.Setting.is_verbose~Fn,L798,L103,/content/pipenv/pipenv/environments.py,410,5,411,49,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
