,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L154,__post_init__,config.PackageFilterPolicy.__post_init__~Fn,L150,L103,/content/poetry/src/poetry/config/config.py,46,5,51,30,0,0,0,6,6,3,0,0,0,1,5,2,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
1,L161,allows,config.PackageFilterPolicy.allows~Fn,L150,L103,/content/poetry/src/poetry/config/config.py,53,5,61,9,0,0,0,8,9,4,0,0,0,0,3,2,0,0,8,9,3,0,0,0,0,0,0,0,0,0,0,27.651484454403228,2.857142857142857,148.26135508445563,0.0172971580931864,15,11,8.236741949136423,51.89147427955947
2,L164,is_reserved,config.PackageFilterPolicy.is_reserved~Fn,L150,L103,/content/poetry/src/poetry/config/config.py,63,5,65,52,0,0,0,3,3,1,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L159,normalize,config.PackageFilterPolicy.normalize~Fn,L150,L103,/content/poetry/src/poetry/config/config.py,67,5,81,9,0,0,0,14,15,4,0,0,0,2,5,2,0,0,14,15,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L171,validator,config.PackageFilterPolicy.validator~Fn,L150,L103,/content/poetry/src/poetry/config/config.py,83,5,99,19,0,0,0,14,17,7,0,0,0,1,8,2,0,0,14,17,8,0,0,0,0,0,0,0,0,0,0,32.0,2.0,86.03910001730776,0.0143398500028846,12,12,4.779950000961542,43.01955000865388
5,L181,__init__,config.Config.__init__~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,138,5,145,67,0,0,0,8,8,1,0,0,0,0,5,3,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L186,config,config.Config.config~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,147,5,149,27,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L188,config_source,config.Config.config_source~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,151,5,153,34,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L190,auth_config_source,config.Config.auth_config_source~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,155,5,157,39,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L192,set_config_source,config.Config.set_config_source~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,159,5,162,19,0,0,0,3,4,1,0,0,0,0,2,2,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L195,set_auth_config_source,config.Config.set_auth_config_source~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,164,5,167,19,0,0,0,3,4,1,0,0,0,0,2,2,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L198,merge,config.Config.merge~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,169,5,172,41,0,0,0,3,4,1,0,0,0,0,2,2,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L201,all,config.Config.all~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,174,5,192,32,0,0,0,2,3,1,0,0,0,1,1,1,0,0,15,19,12,0,0,0,0,0,0,0,0,0,0,13.60964047443681,2.0,84.22064766172812,0.014036774610288,15,7,4.678924870096007,42.11032383086406
13,L209,raw,config.Config.raw~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,194,5,195,27,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L211,_get_environment_repositories,config.Config._get_environment_repositories~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,197,5,209,27,0,0,0,11,13,3,0,0,0,0,7,0,0,0,11,13,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L212,repository_cache_directory,config.Config.repository_cache_directory~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,211,5,213,82,0,0,0,3,3,1,0,0,0,1,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,8.0,0.5,6.965784284662087,0.0046438561897747,6,5,0.3869880158145604,13.931568569324174
16,L214,artifacts_cache_directory,config.Config.artifacts_cache_directory~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,215,5,217,69,0,0,0,3,3,1,0,0,0,1,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
17,L216,virtualenvs_path,config.Config.virtualenvs_path~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,219,5,224,38,0,0,0,6,6,2,0,0,0,1,4,1,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
18,L206,get,config.Config.get~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,226,5,253,34,0,6,3,17,28,7,0,0,0,3,16,3,0,6,17,28,16,0,0,0,0,0,0,0,0,0,0,32.0,2.0,86.03910001730776,0.0143398500028846,12,12,4.779950000961542,43.01955000865388
19,L223,process,config.Config.process~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,255,5,269,61,0,0,0,4,6,2,0,0,0,0,3,2,0,2,10,15,8,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
20,L225,_get_normalizer,config.Config._get_normalizer~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,271,5,294,30,0,0,0,20,24,5,0,0,0,0,9,1,0,0,20,24,9,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.6,53.901214503506,0.0112294196882304,12,7,2.9945119168614447,33.68825906469125
21,L232,create,config.Config.create~Fn,L176,L103,/content/poetry/src/poetry/config/config.py,296,5,319,30,0,2,0,16,24,5,0,0,0,0,14,2,0,2,16,24,14,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.7142857142857142,68.33680652339717,0.0132877123795494,12,10,3.796489251299843,39.86313713864836
22,L240,add_property,config_source.ConfigSource.add_property~Fn,L238,L103,/content/poetry/src/poetry/config/config_source.py,7,5,8,35,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
23,L246,remove_property,config_source.ConfigSource.remove_property~Fn,L238,L103,/content/poetry/src/poetry/config/config_source.py,10,5,11,35,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
24,L254,__init__,dict_config_source.DictConfigSource.__init__~Fn,L252,L103,/content/poetry/src/poetry/config/dict_config_source.py,9,5,10,41,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
25,L258,config,dict_config_source.DictConfigSource.config~Fn,L252,L103,/content/poetry/src/poetry/config/dict_config_source.py,12,5,14,27,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
26,L260,add_property,dict_config_source.DictConfigSource.add_property~Fn,L252,L103,/content/poetry/src/poetry/config/dict_config_source.py,16,5,28,32,0,0,0,10,13,5,0,0,0,0,9,3,0,0,10,13,9,0,0,0,0,0,0,0,0,0,0,44.82892142331043,3.0,210.97209216286,0.0234413435736511,18,15,11.720671786825555,70.32403072095333
27,L264,remove_property,dict_config_source.DictConfigSource.remove_property~Fn,L252,L103,/content/poetry/src/poetry/config/dict_config_source.py,30,5,43,32,0,0,0,10,14,4,0,0,0,0,9,2,0,0,10,14,9,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
28,L272,__init__,file_config_source.FileConfigSource.__init__~Fn,L270,L103,/content/poetry/src/poetry/config/file_config_source.py,22,5,24,39,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
29,L278,name,file_config_source.FileConfigSource.name~Fn,L270,L103,/content/poetry/src/poetry/config/file_config_source.py,26,5,28,35,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
30,L280,file,file_config_source.FileConfigSource.file~Fn,L270,L103,/content/poetry/src/poetry/config/file_config_source.py,30,5,32,25,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
