,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L148,__init__,admonition_inserter.AdmonitionInserter.__init__~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,76,5,94,11,0,1,0,18,19,1,0,0,0,0,2,1,0,1,18,19,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L153,insert_admonitions,admonition_inserter.AdmonitionInserter.insert_admonitions~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,96,5,118,79,0,8,4,12,23,4,0,0,0,1,7,3,0,8,12,23,7,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.8,48.6,0.009,9,8,2.7,27.0
2,L160,_create_available_in,admonition_inserter.AdmonitionInserter._create_available_in~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,120,5,246,90,0,47,3,69,127,14,0,0,0,3,38,1,0,47,69,127,38,0,0,3,0,0,1,1,0,0,2,54.62919048309069,2.5,194.15448495939117,0.0258872646612521,19,17,10.78636027552173,77.66179398375645
3,L169,_create_returned_in,admonition_inserter.AdmonitionInserter._create_returned_in~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,248,5,277,91,0,5,3,20,30,4,0,0,0,0,10,1,0,5,20,30,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L172,_create_shortcuts,admonition_inserter.AdmonitionInserter._create_shortcuts~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,279,5,317,96,0,14,3,21,39,6,0,0,0,1,13,1,0,14,21,39,13,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
5,L176,_create_use_in,admonition_inserter.AdmonitionInserter._create_use_in~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,319,5,350,86,0,6,3,21,32,5,0,0,0,0,11,1,0,6,21,32,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L158,_find_insert_pos_for_admonition,admonition_inserter.AdmonitionInserter._find_insert_pos_for_admonition~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,352,5,375,29,0,12,7,12,24,7,0,0,0,0,4,1,0,12,12,24,4,0,0,0,0,0,0,0,0,0,0,21.651484454403228,1.0,28.529325012980813,0.0095097750043269,9,9,1.5849625007211563,28.529325012980813
7,L163,_generate_admonitions,admonition_inserter.AdmonitionInserter._generate_admonitions~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,377,5,431,35,0,24,20,25,55,6,0,0,0,0,15,3,0,24,25,55,15,0,0,0,0,0,0,0,0,0,0,51.01955000865388,2.333333333333333,196.0,0.028,21,16,10.88888888888889,84.0
8,L165,_generate_class_name_for_link,admonition_inserter.AdmonitionInserter._generate_class_name_for_link~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,433,5,439,46,0,2,1,4,7,2,0,0,0,0,2,1,0,2,4,7,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
9,L187,_generate_link_to_method,admonition_inserter.AdmonitionInserter._generate_link_to_method~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,441,5,444,81,0,1,1,2,4,1,0,0,0,0,1,3,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L192,_iter_subclasses,admonition_inserter.AdmonitionInserter._iter_subclasses~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,446,5,453,9,0,1,0,7,8,1,0,0,0,0,1,1,0,1,7,8,1,0,0,0,0,0,0,0,0,0,0,4.0,1.0,8.0,0.0026666666666666,4,4,0.4444444444444444,8.0
11,L167,_resolve_arg_and_add_link,admonition_inserter.AdmonitionInserter._resolve_arg_and_add_link~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,455,5,477,61,0,9,6,12,23,5,0,0,0,0,6,4,0,9,12,23,6,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
12,L199,_resolve_arg,admonition_inserter.AdmonitionInserter._resolve_arg~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,479,5,560,13,0,25,6,47,82,16,0,0,0,0,28,2,0,25,47,82,28,0,0,1,0,0,1,1,0,0,0,72.0,2.375,287.4082183100096,0.040337995552282,28,20,15.967123239444978,121.01398665684616
13,L203,_resolve_class,admonition_inserter.AdmonitionInserter._resolve_class~Fn,L139,L103,/content/python-telegram-bot/docs/auxil/admonition_inserter.py,562,5,589,24,0,15,9,12,28,3,0,0,0,0,4,1,0,15,12,28,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L275,process_link,tg_const_role.TGConstXRefRole.process_link~Fn,L272,L103,/content/python-telegram-bot/docs/auxil/tg_const_role.py,45,5,92,32,0,6,0,42,48,8,0,0,0,0,15,6,0,6,42,48,15,0,0,1,0,0,0,0,0,0,1,33.28421251514428,1.6666666666666667,89.62406251802892,0.0179248125036057,15,12,4.9791145843349405,53.77443751081735
15,L415,__init__,contexttypesbot.ChatData.__init__~Fn,L412,L103,/content/python-telegram-bot/examples/contexttypesbot.py,42,5,43,73,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L422,__init__,contexttypesbot.CustomContext.__init__~Fn,L419,L103,/content/python-telegram-bot/examples/contexttypesbot.py,50,5,57,46,0,0,0,8,8,1,0,0,0,0,2,4,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
