,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L231,run,beta_status.BetaStatus.run~Fn,L223,L103,/content/vision/docs/source/beta_status.py,10,5,12,73,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L249,__init__,conf.CustomGalleryExampleSortKey.__init__~Fn,L247,L103,/content/vision/docs/source/conf.py,82,5,83,30,0,2,0,2,2,1,0,0,0,0,1,2,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L255,__call__,conf.CustomGalleryExampleSortKey.__call__~Fn,L247,L103,/content/vision/docs/source/conf.py,95,5,106,27,0,1,0,11,12,3,0,0,0,0,5,2,0,1,11,12,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
3,L421,__init__,plot_repurposing_annotations.SegmentationToDetectionDataset.__init__~Fn,L419,L103,/content/vision/gallery/others/plot_repurposing_annotations.py,171,5,177,77,0,2,0,5,7,1,0,0,0,0,4,3,0,2,5,7,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L427,__getitem__,plot_repurposing_annotations.SegmentationToDetectionDataset.__getitem__~Fn,L419,L103,/content/vision/gallery/others/plot_repurposing_annotations.py,179,5,211,26,0,5,0,18,33,2,0,0,0,0,17,2,0,5,18,33,17,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
5,L442,__init__,plot_scripted_tensor_transforms.Predictor.__init__~Fn,L440,L103,/content/vision/gallery/others/plot_scripted_tensor_transforms.py,84,5,88,60,0,0,0,5,5,1,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L446,forward,plot_scripted_tensor_transforms.Predictor.forward~Fn,L440,L103,/content/vision/gallery/others/plot_scripted_tensor_transforms.py,90,5,94,39,0,0,0,5,5,1,0,0,0,0,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L485,__init__,plot_video_api.RandomDataset.__init__~Fn,L483,L103,/content/vision/gallery/others/plot_video_api.py,253,5,265,46,0,1,0,9,13,2,0,0,0,1,8,6,0,1,9,13,8,0,0,1,0,0,0,0,0,0,1,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L495,__iter__,plot_video_api.RandomDataset.__iter__~Fn,L483,L103,/content/vision/gallery/others/plot_video_api.py,267,5,292,24,0,5,0,21,26,4,0,0,0,0,15,1,0,5,21,26,15,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
9,L567,forward,plot_custom_transforms.MyCustomTransform.forward~Fn,L565,L103,/content/vision/gallery/transforms/plot_custom_transforms.py,47,5,53,33,0,2,0,6,7,1,0,0,0,0,2,4,0,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
