,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L309,__contains__,setup.LazyBuildExtCommandClass.__contains__~Fn,L306,L103,/content/zipline/setup.py,41,5,45,9,0,0,0,5,5,2,0,0,0,0,1,2,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
1,L314,__setitem__,setup.LazyBuildExtCommandClass.__setitem__~Fn,L306,L103,/content/zipline/setup.py,47,5,50,69,0,0,0,4,4,2,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L318,__getitem__,setup.LazyBuildExtCommandClass.__getitem__~Fn,L306,L103,/content/zipline/setup.py,52,5,78,24,0,0,0,10,9,2,0,0,0,0,5,2,0,12,23,27,9,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
3,L390,init_instance_fixtures,test_core.BundleCoreTestCase.init_instance_fixtures~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,54,5,62,66,0,0,0,9,9,1,0,0,0,0,3,1,0,0,9,9,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L394,test_register_decorator,test_core.BundleCoreTestCase.test_register_decorator~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,64,5,75,41,0,0,0,2,3,1,0,0,0,1,1,1,0,0,10,12,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L402,test_register_call,test_core.BundleCoreTestCase.test_register_call~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,77,5,92,41,0,0,0,6,8,1,0,0,0,1,2,1,0,0,14,16,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L400,_check_bundles,test_core.BundleCoreTestCase._check_bundles~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,94,5,100,34,0,0,0,5,7,2,0,0,0,0,4,2,0,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L410,test_register_no_create,test_core.BundleCoreTestCase.test_register_no_create~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,102,5,124,30,0,0,0,4,6,1,0,0,0,0,3,1,0,0,21,23,8,0,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L424,test_ingest,test_core.BundleCoreTestCase.test_ingest~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,126,5,266,9,0,2,0,102,114,4,0,0,0,0,24,1,0,2,127,141,32,0,0,4,0,0,2,0,0,0,4,6.754887502163469,2.333333333333333,65.01398665684614,0.0092877123795494,12,5,3.611888147602564,27.863137138648348
9,L438,test_ingest_assets_versions,test_core.BundleCoreTestCase.test_ingest_assets_versions~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,268,5,334,59,0,3,0,31,39,2,0,0,0,0,17,1,0,3,58,67,25,0,0,1,0,0,1,0,0,0,1,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
10,L455,test_bundle_doesnt_exist,test_core.BundleCoreTestCase.test_bundle_doesnt_exist~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,336,5,341,45,0,0,0,5,6,1,0,0,0,0,3,2,0,0,5,6,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L458,test_load_no_data,test_core.BundleCoreTestCase.test_load_no_data~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,343,5,355,9,0,1,0,9,13,1,0,0,0,0,5,1,0,1,9,13,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
12,L460,_list_bundle,test_core.BundleCoreTestCase._list_bundle~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,357,5,363,9,0,0,0,7,7,1,0,0,0,0,1,1,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L462,_empty_ingest,test_core.BundleCoreTestCase._empty_ingest~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,365,5,400,27,0,7,7,12,20,2,0,0,0,0,7,2,0,7,28,36,8,0,0,1,0,0,1,0,0,0,1,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
14,L478,test_clean_keep_last,test_core.BundleCoreTestCase.test_clean_keep_last~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,402,5,470,9,0,0,0,59,69,1,0,0,0,0,18,1,0,0,59,69,18,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
15,L480,_ts_of_run,test_core.BundleCoreTestCase._ts_of_run~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,472,5,474,73,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
16,L482,test_clean_before_after,test_core.BundleCoreTestCase.test_clean_before_after~Fn,L386,L103,/content/zipline/tests/data/bundles/test_core.py,476,5,560,9,0,0,0,78,85,1,0,0,0,0,17,1,0,0,78,85,17,0,0,1,0,0,0,0,0,0,1,6.754887502163469,1.3333333333333333,18.575424759098897,0.0046438561897747,6,5,1.0319680421721609,13.931568569324174
17,L498,_expected_data,test_csvdir.CSVDIRBundleTestCase._expected_data~Fn,L487,L103,/content/zipline/tests/data/bundles/test_csvdir.py,25,5,96,35,0,0,0,38,44,1,0,0,0,0,4,2,0,1,66,72,12,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
18,L507,test_bundle,test_csvdir.CSVDIRBundleTestCase.test_bundle~Fn,L487,L103,/content/zipline/tests/data/bundles/test_csvdir.py,98,5,131,42,0,0,0,29,34,2,0,0,0,1,14,1,0,0,29,34,14,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
