,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L128,use,default.Default.use~Fn,L125,L103,/content/ranger/doc/config/colorschemes/default.py,17,5,186,27,0,5,0,154,170,77,0,0,0,0,146,2,0,5,154,170,146,0,0,7,0,0,1,1,0,0,6,227.95057052383703,12.078947368421051,10667.88023642857,0.2943932091389147,159,47,592.6600131349205,883.1796274167443
1,L142,use,jungle.Scheme.use~Fn,L139,L103,/content/ranger/doc/config/colorschemes/jungle.py,13,5,27,27,0,0,0,11,15,10,0,0,0,0,9,2,0,0,11,15,9,0,0,0,0,0,1,0,0,0,0,66.60335893412778,2.0,203.9005206452921,0.0339834201075486,24,19,11.327806702516227,101.95026032264605
2,L152,use,snow.Snow.use~Fn,L150,L103,/content/ranger/doc/config/colorschemes/snow.py,12,5,47,27,0,0,0,29,36,17,0,0,0,0,28,2,0,0,29,36,28,0,0,1,0,0,1,1,0,0,0,46.05374780501028,5.090909090909091,835.3642437155669,0.0546964683385192,42,15,46.409124650864825,164.0894050155578
3,L165,execute,commands.alias.execute~Fn,L160,L103,/content/ranger/doc/config/commands.py,112,5,117,57,0,0,0,5,6,3,0,0,0,0,4,1,0,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L172,execute,commands.echo.execute~Fn,L169,L103,/content/ranger/doc/config/commands.py,126,5,127,36,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L179,execute,commands.cd.execute~Fn,L176,L103,/content/ranger/doc/config/commands.py,139,5,161,35,0,0,0,21,23,7,0,0,0,0,18,1,0,0,21,23,18,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L183,_tab_args,commands.cd._tab_args~Fn,L176,L103,/content/ranger/doc/config/commands.py,163,5,181,43,0,1,0,17,19,4,0,0,0,0,12,1,0,1,17,19,12,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
7,L185,_tab_paths,commands.cd._tab_paths~Fn,L176,L103,/content/ranger/doc/config/commands.py,183,5,197,25,0,0,0,13,15,5,0,0,0,0,9,3,0,0,13,15,9,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
8,L189,_tab_match,commands.cd._tab_match~Fn,L176,L103,/content/ranger/doc/config/commands.py,199,5,205,46,0,0,0,7,7,4,0,0,0,0,6,3,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,13.60964047443681,1.2,30.319433158222125,0.0084220647661728,9,7,1.6844129532345624,25.26619429851844
9,L193,_tab_normal,commands.cd._tab_normal~Fn,L176,L103,/content/ranger/doc/config/commands.py,207,5,216,97,0,0,0,8,10,2,0,0,0,1,6,3,0,0,8,10,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L198,_tab_fuzzy_match,commands.cd._tab_fuzzy_match~Fn,L176,L103,/content/ranger/doc/config/commands.py,218,5,237,19,0,1,1,18,20,7,0,0,0,1,15,3,0,1,18,20,15,0,0,0,0,0,0,0,0,0,0,16.36452797660028,2.1,75.60000000000001,0.012,12,8,4.2,36.0
